brand,artist,title,album,style,difficulty,total_xp,artwork_filename,pdf_filename,assignment_title,assignment_xp,soundslice_slug,publishing_status,instrument_removed,pdf_filename_tabs_and_notation,content_id
drumeo,Bloodywood,Aaj,Rakshak,Metal,8,200,bloodywood-rakshak.jpg,bloodywood-aaj.pdf,Aaj,25,JkJ4c,published,0,,
drumeo,Bobby Caldwell,What You Won't Do For Love,Bobby Caldwell,Pop,4,150,bobby-caldwell-bobby-caldwell.jpg,bobby-caldwell-what-you-wont-do-for-love.pdf,What You Won't Do For Love,25,rkJ4c,published,0,,
drumeo,Bush,Comedown,Sixteen Stone,Rock,6,150,bush-sixteen-stone.jpg,bush-comedown.pdf,Comedown,25,t2J4c,published,0,,
drumeo,Cheap Trick,Ain't That A Shame,Cheap Trick At Budokan,Rock,4,150,cheap-trick-cheap-trick-at-budokan.jpg,cheap-trick-aint-that-a-shame.pdf,Ain't That A Shame,25,TCJ4c,published,0,,
drumeo,Clutch,The Face,Earth Rocker,Rock,6,150,clutch-earth-rocker.jpg,clutch-the-face.pdf,The Face,25,B3J4c,published,0,,
drumeo,Cory Wong & Dirty Loops,Follow The Light,Turbo,"Rock, Funk",8,200,cory-wong-and-dirty-loops-turbo.jpg,cory-wong-and-dirty-loops-follow-the-light.pdf,Follow The Light,25,t3J4c,published,0,,
drumeo,Dave Matthews Band,Stay,Before These Crowded Streets,"Rock, Funk",8,200,dave-matthews-band-before-these-crowded-streets.jpg,dave-matthews-band-stay.pdf,Stay,25,2XJ4c,published,0,,
drumeo,Dave Matthews Band,Shake Me Like A Monkey,Big Whiskey & The GrooGrux King,Rock,6,150,dave-matthews-band-big-whiskey-and-the-groogrux-king.jpg,dave-matthews-band-shake-me-like-a-monkey.pdf,Shake Me Like A Monkey,25,cMJ4c,published,0,,
drumeo,Deep Purple,Pictures Of Home,Machine Head,Rock,8,200,deep-purple-machine-head.jpg,deep-purple-pictures-of-home.pdf,Pictures Of Home,25,R8J4c,published,0,,
drumeo,"Emerson, Lake & Palmer",Nutrocker,Pictures At An Exhibition,Rock,8,200,emerson-lake-and-palmer-pictures-at-an-exhibition.jpg,emerson-lake-and-palmer-nutrocker.pdf,Nutrocker,25,68J4c,published,0,,
drumeo,Elton John,Crocodile Rock,Don't Shoot Me I'm Only The Piano Player,Rock,6,150,elton-john-dont-shoot-me-im-only-the-piano-player.jpg,elton-john-crocodile-rock.pdf,Crocodile Rock,25,ddJ4c,published,0,,
drumeo,Extreme,Get The Funk Out,Pornograffitti,Rock,5,150,extreme-pornograffitti.jpg,extreme-get-the-funk-out.pdf,Get The Funk Out,25,1jJ4c,published,0,,
drumeo,Gojira,In The Wilderness,From Mars To Sirius,Metal,10,200,gojira-from-mars-to-sirius.jpg,gojira-in-the-wilderness.pdf,In The Wilderness,25,j9J4c,published,0,,
drumeo,Greta Van Fleet,Built By Nations,The Battle At Garden's Gate,"Rock, Odd Time",6,150,greta-van-fleet-the-battle-at-gardens-gate.jpg,greta-van-fleet-built-by-nations.pdf,Built By Nations,25,kKJ4c,published,0,,
drumeo,Hank Mobley,Soul Station,Soul Station,"Jazz, R&B/Soul",4,150,hank-mobley-soul-station.jpg,hank-mobley-soul-station.pdf,Soul Station,25,TDJ4c,published,0,,
drumeo,Hootie & The Blowfish,Let Her Cry,Cracked Rear View,Pop,3,100,hootie-and-the-blowfish-cracked-rear-view.jpg,hootie-and-the-blowfish-let-her-cry.pdf,Let Her Cry,25,gKJ4c,published,0,,
drumeo,Incubus,Blood On The Ground,Morning View,Rock,6,150,incubus-morning-view.jpg,incubus-blood-on-the-ground.pdf,Blood On The Ground,25,MxJ4c,published,0,,
drumeo,Jeff Wayne,Forever Autumn,Jeff Wayne's Musical Version Of The War Of The Worlds,Rock,4,150,jeff-wayne-jeff-waynes-musical-version-of-the-war-of-the-worlds.jpg,jeff-wayne-forever-autumn.pdf,Forever Autumn,25,qxJ4c,published,0,,
drumeo,Joe Satriani,If,Joe Satriani,Rock,8,200,joe-satriani-joe-satriani.jpg,joe-satriani-if.pdf,If,25,WxJ4c,published,0,,
drumeo,Laura Branigan,Self Control,Self Control,Pop,3,100,laura-branigan-self-control.jpg,laura-branigan-self-control.pdf,Self Control,25,Y-J4c,published,0,,
drumeo,Live,Lightning Crashes,Throwing Copper,Rock,3,100,live-throwing-copper.jpg,live-lightning-crashes.pdf,Lightning Crashes,25,DgJ4c,published,0,,
drumeo,Megadeth,Angry Again,Hidden Treasures,Metal,4,150,megadeth-hidden-treasures.jpg,megadeth-angry-again.pdf,Angry Again,25,YgJ4c,published,0,,
drumeo,Megadeth,Skin O' My Teeth,Countdown To Extinction,Metal,6,150,megadeth-countdown-to-extinction.jpg,megadeth-skin-o-my-teeth.pdf,Skin O' My Teeth,25,HgJ4c,published,0,,
drumeo,Metal Church,Metal Church,Metal Church,Metal,7,200,metal-church-metal-church.jpg,metal-church-metal-church.pdf,Metal Church,25,ZgJ4c,published,0,,
drumeo,Metallica,Murder One,Hardwired...To Self-Destruct,Metal,4,150,metallica-hardwiredto-selfdestruct.jpg,metallica-murder-one.pdf,Murder One,25,KD14c,published,0,,
drumeo,Monster Magnet,Space Mother,Powertrip,Rock,4,150,monster-magnet-powertrip.jpg,monster-magnet-space-mother.pdf,Space Mother,25,nD14c,published,0,,
drumeo,Mother's Finest,Baby Love,Another Mother Further,Rock,6,150,mothers-finest-another-mother-further.jpg,mothers-finest-baby-love.pdf,Baby Love,25,2M14c,published,0,,
drumeo,Nerve,To Listen Is To Love,Nerve,Jazz,7,200,nerve-nerve.jpg,nerve-to-listen-is-to-love.pdf,To Listen Is To Love,25,RM14c,published,0,,
