brand,artist,title,album,style,difficulty,total_xp,artwork_filename,pdf_filename,assignment_title,assignment_xp,soundslice_slug,publishing_status,instrument_removed
pianote,Adele,When We Were Young,25,Soul,6,150,adele-25.jpg,adele-when-we-were-young.pdf,When We Were Young,25,WMV4c,Published,0
pianote,Bill Haley and His Comets,Shake Rattle and Roll,,Rock,8,200,bill-haley-and-his-comets-shake-rattle-and-roll-single.jpg,bill-haley-and-his-comets-shake-rattle-and-roll.pdf,Shake Rattle And Roll,25,BMV4c,Published,0
pianote,Billie Eilish,No Time To Die,No Time to Die: Original Motion Picture Soundtrack,Pop,6,150,billie-eilish-no-time-to-die-original-motion-picture-soundtrack.jpg,billie-eilish-no-time-to-die.pdf,No Time To Die,25,ZMV4c,Published,0
pianote,Billie Eilish and Khalid,lovely,13 Reasons Why: Season 2 (A Netflix Original Series Soundtrack),Pop,7,200,billie-eilish-and-khalid-13-reasons-why-season-2-a-netflix-original-series-soundtrack.jpg,billie-eilish-and-khalid-lovely.pdf,lovely,25,LMV4c,Published,0
pianote,Billy Joel,Just The Way You Are,The Stranger,Pop,7,200,billy-joel-the-stranger.jpg,billy-joel-just-the-way-you-are.pdf,Just The Way You Are,25,jMV4c,Published,0
pianote,Billy Joel,My Life,52nd Street,Pop,7,200,billy-joel-52nd-street.jpg,billy-joel-my-life.pdf,My Life,25,PMV4c,Published,0
pianote,Billy Joel,'She''s Got A Way',Songs in the Attic,Pop,7,200,billy-joel-songs-in-the-attic.jpg,billy-joel-shes-got-a-way.pdf,'She''s Got A Way',25,9MV4c,Published,0
pianote,Bonnie Raitt,'I Can''t Make You Love Me',Luck of the Draw,Pop,7,200,bonnie-raitt-luck-of-the-draw.jpg,bonnie-raitt-i-cant-make-you-love-me.pdf,'I Can''t Make You Love Me',25,KMV4c,Published,0
pianote,Brian McKnight,Back At One,Back At One,R&B,7,200,brian-mcknight-back-at-one.jpg,brian-mcknight-back-at-one.pdf,Back At One,25,xMV4c,Published,0
pianote,Alicia Keys,'If I Ain''t Got You',The Diary of Alicia Keys,R&B,7,200,alicia-keys-the-diary-of-alicia-keys.jpg,alicia-keys-if-i-aint-got-you.pdf,'If I Ain''t Got You',25,-MV4c,Published,0
guitareo,B.B. King,Paying The Cost To Be The Boss,Blues On Top Of Blues,Blues,7,200,bb-king-blues-on-top-of-blues.jpg,,Paying The Cost To Be The Boss,25,JN5kc,Published,0
guitareo,Beyoncé,Halo,I Am... Sasha Fierce,PopRock,5,150,beyonce-i-am-sasha-fierce.jpg,,Halo,25,zDf4c,Published,0
guitareo,Billie Eilish,Bad Guy,When We All Fall Asleep Where Do We Go?,PopRock,5,150,billie-eilish-when-we-all-fall-asleep-where-do-we-go.jpg,,Bad Guy,25,dff4c,Published,0
guitareo,Bobby McFerrin,'Don''t Worry Be Happy',Simple Pleasures,PopRock,5,150,bobby-mcferrin-simple-pleasures.jpg,,'Don''t Worry Be Happy',25,P4c4c,Published,0
guitareo,'Booker T. & The M.G.''s',Green Onions,Green Onions,Blues,7,200,booker-t-and-the-mgs-green-onions.jpg,,Green Onions,25,M-mkc,Published,0
guitareo,Buddy Holly,'That''ll Be The Day',"The ""Chirping"" Crickets",PopRock,8,200,buddy-holly-the-chirping-crickets.jpg,,'That''ll Be The Day',25,zzN4c,Published,0
guitareo,Maroon 5 feat. Christina Aguilera,Moves Like Jagger,Hands All Over,PopRock,7,200,maroon-5-feat-christina-aguilera-hands-all-over.jpg,,Moves Like Jagger,25,vpgkc,Published,0
