brand,artist,title,album,style,difficulty,total_xp,artwork_filename,pdf_filename,assignment_title,assignment_xp,soundslice_slug,publishing_status,instrument_removed,content_id
Pianote,Adele,When We Were Young,25,Soul,6,150,adele-25.jpg,adele-when-we-were-young.pdf,When We Were Young,25,WMV4c,Published,FALSE,
pianote,Bill Haley and His Comets,Shake Rattle and Roll,,Rock,8,200,bill-haley-and-his-comets-shake-rattle-and-roll-single.jpg,bill-haley-and-his-comets-shake-rattle-and-roll.pdf,Shake Rattle And Roll,25,BMV4c,Published,0,
Pianote,Billie Eilish,No Time To Die,No Time to Die: Original Motion Picture Soundtrack,Pop,6,150,billie-eilish-no-time-to-die-original-motion-picture-soundtrack.jpg,billie-eilish-no-time-to-die.pdf,No Time To Die,25,ZMV4c,Published,FALSE,
Pianote,Billie Eilish and Khalid,lovely,13 Reasons Why: Season 2 (A Netflix Original Series Soundtrack),Pop,7,200,billie-eilish-and-khalid-13-reasons-why-season-2-a-netflix-original-series-soundtrack.jpg,billie-eilish-and-khalid-lovely.pdf,lovely,25,LMV4c,Published,FALSE,
Pianote,Billy Joel,Just The Way You Are,The Stranger,Pop,7,200,billy-joel-the-stranger.jpg,billy-joel-just-the-way-you-are.pdf,Just The Way You Are,25,jMV4c,Published,FALSE,
Pianote,Billy Joel,My Life,52nd Street,Pop,7,200,billy-joel-52nd-street.jpg,billy-joel-my-life.pdf,My Life,25,PMV4c,Published,FALSE,
Pianote,Billy Joel,'She''s Got A Way',Songs in the Attic,Pop,7,200,billy-joel-songs-in-the-attic.jpg,billy-joel-shes-got-a-way.pdf,'She''s Got A Way',25,9MV4c,Published,FALSE,
Pianote,Bonnie Raitt,'I Can''t Make You Love Me',Luck of the Draw,Pop,7,200,bonnie-raitt-luck-of-the-draw.jpg,bonnie-raitt-i-cant-make-you-love-me.pdf,'I Can''t Make You Love Me',25,KMV4c,Published,FALSE,
Pianote,Brian McKnight,Back At One,Back At One,R&B,7,200,brian-mcknight-back-at-one.jpg,brian-mcknight-back-at-one.pdf,Back At One,25,xMV4c,Published,FALSE,
Pianote,Alicia Keys,'If I Ain''t Got You',The Diary of Alicia Keys,R&B,7,200,alicia-keys-the-diary-of-alicia-keys.jpg,alicia-keys-if-i-aint-got-you.pdf,'If I Ain''t Got You',25,-MV4c,Published,FALSE,
Guitareo,B.B. King,Paying The Cost To Be The Boss,Blues On Top Of Blues,Blues,7,200,bb-king-blues-on-top-of-blues.jpg,,Paying The Cost To Be The Boss,25,JN5kc,Published,FALSE,
Guitareo,Beyoncé,Halo,I Am... Sasha Fierce,PopRock,5,150,beyonce-i-am-sasha-fierce.jpg,,Halo,25,zDf4c,Published,FALSE,
guitareo,Billie Eilish,Bad Guy,When We All Fall Asleep Where Do We Go?,PopRock,5,150,billie-eilish-when-we-all-fall-asleep-where-do-we-go.jpg,,Bad Guy,25,dff4c,Published,0,
Guitareo,Bobby McFerrin,'Don''t Worry Be Happy',Simple Pleasures,PopRock,5,150,bobby-mcferrin-simple-pleasures.jpg,,'Don''t Worry Be Happy',25,P4c4c,Published,FALSE,
Guitareo,'Booker T. & The M.G.''s',Green Onions,Green Onions,Blues,7,200,booker-t-and-the-mgs-green-onions.jpg,,Green Onions,25,M-mkc,Published,FALSE,
Guitareo,Buddy Holly,'That''ll Be The Day',"The ""Chirping"" Crickets",PopRock,8,200,buddy-holly-the-chirping-crickets.jpg,,'That''ll Be The Day',25,zzN4c,Published,FALSE,
Guitareo,Maroon 5 feat. Christina Aguilera,Moves Like Jagger,Hands All Over,PopRock,7,200,maroon-5-feat-christina-aguilera-hands-all-over.jpg,,Moves Like Jagger,25,vpgkc,Published,FALSE,
Guitareo,The Beatles,Blackbird,The Beatles (White Album),PopRock,8,200,the-beatles-the-beatles-white-album.jpg,,Blackbird,25,Mnmkc,Published,FALSE,
Guitareo,The Black Keys,Lonely Boy,El Camino,PopRock,8,200,the-black-keys-el-camino.jpg,,Lonely Boy,25,NGc4c,Published,FALSE,
Singeo,Norah Jones,'Don''t Know Why',Come Away with Me,PopRock,5,150,norah-jones-come-away-with-me.jpg,norah-jones-dont-know-why.pdf,'Don''t Know Why',25,R8D4c,Published,FALSE,
Singeo,Carpenters,Hurting Each Other,A Song For You,PopRock,4,150,carpenters-a-song-for-you.jpg,carpenters-hurting-each-other.pdf,Hurting Each Other,25,f8D4c,Published,FALSE,
Singeo,Elvis Presley,Blue Suede Shoes,Elvis Presley,PopRock,6,150,elvis-presley-elvis-presley.jpg,elvis-presley-blue-suede-shoes.pdf,Blue Suede Shoes,25,V8D4c,Published,FALSE,
Singeo,Elvis Presley,Hound Dog,Hound Dog - Single,PopRock,6,150,elvis-presley-hound-dog-single.jpg,elvis-presley-hound-dog.pdf,Hound Dog,25,c8D4c,Published,FALSE,
Singeo,Janis Joplin,Piece Of My Heart,Cheap Thrills (With Big Brother And The Holding Company),PopRock,5,150,janis-joplin-cheap-thrills-with-big-brother-and-the-holding-company.jpg,janis-joplin-piece-of-my-heart.pdf,Piece Of My Heart,25,N8D4c,Published,FALSE,
Singeo,Katy Perry,I Kissed A Girl,One of the Boys,PopRock,6,150,katy-perry-one-of-the-boys.jpg,katy-perry-i-kissed-a-girl.pdf,I Kissed A Girl,25,p1D4c,Published,FALSE,
Singeo,Katy Perry,Teenage Dream,Katy Perry,PopRock,6,150,katy-perry-katy-perry.jpg,katy-perry-teenage-dream.pdf,Teenage Dream,25,S1D4c,Published,FALSE,
Singeo,Kelly Clarkson,Because Of You,Breakaway,PopRock,3,100,kelly-clarkson-breakaway.jpg,kelly-clarkson-because-of-you.pdf,Because Of You,25,v1D4c,Published,FALSE,
Singeo,Lady Gaga,Bad Romance,The Fame Monster,PopRock,5,150,lady-gaga-the-fame-monster.jpg,lady-gaga-bad-romance.pdf,Bad Romance,25,m1D4c,Published,FALSE,
Singeo,Lady Gaga,'I''ll Never Love Again',A Star Is Born: Original Motion Picture Soundtrack,Soundtrack,4,150,lady-gaga-a-star-is-born-original-motion-picture-soundtrack.jpg,lady-gaga-ill-never-love-again-.pdf,'I''ll Never Love Again',25,h1D4c,Published,FALSE,
Drumeo,David Bowie,Ashes To Ashes,Scary Monsters (And Super Creeps),Pop/Rock,3,100,david-bowie-scary-monsters-and-super-creeps.jpg,david-bowie-ashes-to-ashes.pdf,Ashes To Ashes,25,Stckc,Published,TRUE,356022
Drumeo,U2,Stuck In A Moment You Can’t Get Out Of,'All That You Can''t Leave Behind',Pop/Rock,4,150,u2-all-that-you-cant-leave-behind.jpg,u2-stuck-in-a-moment.pdf,Stuck In A Moment You Can’t Get Out Of,25,4QcMc,Published,TRUE,323922
Drumeo,U2,When I Look At The World,'All That You Can''t Leave Behind',Pop/Rock,4,150,u2-all-that-you-cant-leave-behind.jpg,u2-when-I-look-at-the-world.pdf,When I Look At The World,25,bncMc,Published,TRUE,323934
Drumeo,U2,Unknown Caller,No Line On The Horizon,Pop/Rock,3,100,u2-no-line-on-the-horizon.jpg,u2-unknown-caller.pdf,Unknown Caller,25,1ScMc,Published,TRUE,324020
Drumeo,U2,The Ground Beneath Her Feet,'All That You Can''t Leave Behind',Pop/Rock,4,150,u2-all-that-you-cant-leave-behind.jpg,u2-the-ground-beneath-her-feet.pdf,The Ground Beneath Her Feet,25,zQcMc,Published,TRUE,323926
Drumeo,Rihanna,Umbrella,Good Girl Gone Bad,"R&B/Soul  Pop/Rock",5,150,rihanna-good-girl-gone-bad.jpg,Rihanna - Umbrella.pdf,Umbrella,25,qXFfc,Published,TRUE,285062
Drumeo,Slipknot,Unsainted,We Are Not Your Kind,Metal,7,200,slipknot-we-are-not-your-kind.jpg,slipknot-unsainted.pdf,Unsainted,25,9mwMc,Published,TRUE,328239
Drumeo,Avenged Sevenfold,Unholy Confessions,Waking The Fallen,Metal,8,200,avenged-sevenfold-waking-the-fallen.jpg,Avenged Sevenfold - Unholy Confessions.pdf,Unholy Confessions,25,Hcffc,Published,TRUE,264279
Drumeo,Van Halen,Intruder/(Oh) Pretty Woman,Diver Down,Pop/Rock,3,100,van-halen-diver-down.jpg,van-halen-intruderoh-pretty-woman.pdf,Intruder/(Oh) Pretty Woman,25,XnFMc,Published,TRUE,349887
