title,brand,type,soundslice_slug,video,original_thumbnail_url,thumbnail_url,difficulty,xp,registration_url,topic,style,instructor,description,permissions,status,published_on,enrollment_start_date,enrollment_end_date,logo_image_url,header_image_url,parent,Chapter 1,Chapter 2,Chapter 3,Chapter 4,Chapter 5,Chapter 6,Video Host
10-Day Fills,drumeo,challenge,,,https://d1923uyy6spedc.cloudfront.net/Fills-PackCards-WithLogo-1695855950.jpg,https://d1923uyy6spedc.cloudfront.net/Fills-PackCards-WithLogo-1695855950.jpg,2,100,,Creativity,,Domino Santantonio,,"1,78,91,92",published,2023-12-28 08:01:00,,,https://d1923uyy6spedc.cloudfront.net/FillsLogo--1702680617.svg,https://d1923uyy6spedc.cloudfront.net/Headers-Ghost-Notes-Fills-02-1701991165.jpg,,,,,,,,
10-Day Ghost Notes,drumeo,challenge,,,https://d1923uyy6spedc.cloudfront.net/GhostNotes-PackCards_Mobile copy 4-1695855891.jpg,https://d1923uyy6spedc.cloudfront.net/GhostNotes-PackCards_Mobile copy 4-1695855891.jpg,2,100,,Grooves,,Domino Santantonio,,"1,78,91,92",published,2023-12-28 08:01:00,,,https://d1923uyy6spedc.cloudfront.net/GhostNotesLogo-1702680500.svg,https://d1923uyy6spedc.cloudfront.net/Headers-Ghost-Notes-Fills-01-1701991220.jpg,,,,,,,,
30-Day Drummer,drumeo,challenge,,,https://d1923uyy6spedc.cloudfront.net/30DayDrummer-16x9-1702425557.jpg,https://d1923uyy6spedc.cloudfront.net/30DayDrummer-16x9-1702425557.jpg,1,100,,30-Day Drummer,,Domino Santantonio,,"1,78,91,92 ,101",published,2023-12-28 08:01:00,,,https://d1923uyy6spedc.cloudfront.net/30DayDrummer-Logos-07-1702425574.svg,https://d1fyshwdvi6fth.cloudfront.net/Drumeo/carousels/c81fc533-403d-4b98-9ee0-b18bbe375cdb-Desktop.jpg,,,,,,,,
30-Day Chops,drumeo,challenge,,,https://d1923uyy6spedc.cloudfront.net/30DayChops-Banner-1683560940.jpg,https://d1923uyy6spedc.cloudfront.net/30DayChops-Banner-1683560940.jpg,5,150,https://www.musora.com/drumeo/enrollment/30-day-drummer,Grooves,,Zack Grooves,"<p>Learn to explode creatively around the drums. <em>30-Day Chops</em> will teach you the fundamentals of drum chops through consistent daily practice. By the end of the month, you'll have a new arsenal of chops to help you explode in 1, 2, and 4 bar patterns anytime the song calls for it.</p>",,published,2024-01-01 14:00:00,2023-11-22 08:00:00,2023-12-15 08:00:00,https://d1923uyy6spedc.cloudfront.net/30DayChops-Logo-1683560809.png,https://d1923uyy6spedc.cloudfront.net/30DayChops-Header-No-Logo-1683566896.jpg,,,,,,,,
Day 1,drumeo,challenge-part,jwYYc,868503352,https://d1923uyy6spedc.cloudfront.net/s02-1-1695856080.jpg,https://d1923uyy6spedc.cloudfront.net/s02-1-1695856080.jpg,2,100,,,,Domino Santantonio,,"1,78,91,92",published,2023-12-28 08:01:00,,,,,10-Day Fills,Short Fill:77,Hi-Hat Groove + Short Fill:162,Hi-Hat + Short Fill:247,Ride Groove + Short Fill:418,Tom Groove + Short Fill:503,Wrap-Up:674,Vimeo
Day 2,drumeo,challenge-part,PwYYc,868526256,https://d1923uyy6spedc.cloudfront.net/s02-2-1695856195.jpg,https://d1923uyy6spedc.cloudfront.net/s02-2-1695856195.jpg,2,100,,,,Domino Santantonio,,"1,78,91,92",published,2023-12-28 08:01:00,,,,,10-Day Fills,Short Fill:18,Hi-Hat Groove + Short Fill:103,Short Fill:274,Ride Groove + Short Fill:316,Tom Groove + Short Fill:487,Wrap-Up:573,Vimeo
Day 3,drumeo,challenge-part,9wYYc,868526327,https://d1923uyy6spedc.cloudfront.net/s02-3-1695856233.jpg,https://d1923uyy6spedc.cloudfront.net/s02-3-1695856233.jpg,2,100,,,,Domino Santantonio,,"1,78,91,92",published,2023-12-28 08:01:00,,,,,10-Day Fills,Hi-Hat Groove:20,Hi-Hat Groove + Short Fill:90,Hi-Hat Groove + Short Tom Fill:160,Ride Groove + Fills:229,Tom Groove + Fills:439,Wrap-Up:579,Vimeo
Day 4,drumeo,challenge-part,KwYYc,868526455,https://d1923uyy6spedc.cloudfront.net/s02-4-1695856513.jpg,https://d1923uyy6spedc.cloudfront.net/s02-4-1695856513.jpg,2,100,,,,Domino Santantonio,,"1,78,91,92",published,2023-12-28 08:01:00,,,,,10-Day Fills,Long Fill:23,Hi-Hat Groove + Long Fill:108,Long Fill:279,Ride Groove + Long Fill:364,Tom Groove + Long Fill:535,Wrap-Up:621,Vimeo
Day 5,drumeo,challenge-part,xwYYc,868526572,https://d1923uyy6spedc.cloudfront.net/s02-5-1695856472.jpg,https://d1923uyy6spedc.cloudfront.net/s02-5-1695856472.jpg,2,100,,,,Domino Santantonio,,"1,78,91,92",published,2023-12-28 08:01:00,,,,,10-Day Fills,Long Fill:13,Hi-Hat Groove + Long Fill:98,Long Fill:269,Ride Groove + Long Fill:354,Tom Groove + Long Fill:525,Wrap-Up:611,Vimeo
Day 6,drumeo,challenge-part,-wYYc,868051016,https://d1923uyy6spedc.cloudfront.net/s02-6_2-1701456728.jpg,https://d1923uyy6spedc.cloudfront.net/s02-6_2-1701456728.jpg,2,100,,,,Domino Santantonio,,"1,78,91,92",published,2023-12-28 08:01:00,,,,,10-Day Fills,Hi-Hat Groove:22,Hi-Hat Groove + Long Fill:92,Hi-Hat Groove + Long Tom Fill:162,Ride Groove + Fills:231,Tom Groove + Fills:411,Wrap-Up:582,Vimeo
Day 7,drumeo,challenge-part,QwYYc,868529957,https://d1923uyy6spedc.cloudfront.net/s02-7-1695856384.jpg,https://d1923uyy6spedc.cloudfront.net/s02-7-1695856384.jpg,2,100,,,,Domino Santantonio,,"1,78,91,92",published,2023-12-28 08:01:00,,,,,10-Day Fills,Crash Fill:32,Hi-Hat Groove + Crash Fill:118,Crash Fill:288,Ride Groove + Crash Fill:374,Tom Groove + Crash Fill:544,Wrap-Up:631,Vimeo
Day 8,drumeo,challenge-part,nwYYc,868051444,https://d1923uyy6spedc.cloudfront.net/s02-8-1695856356.jpg,https://d1923uyy6spedc.cloudfront.net/s02-8-1695856356.jpg,2,100,,,,Domino Santantonio,,"1,78,91,92",published,2023-12-28 08:01:00,,,,,10-Day Fills,Hi-Hat Groove:22,Hi-Hat To Ride + Crash Fill:91,Tom Groove + Crash Fill:231,Hi-Hat Groove + Crash Fill:371,Ride To Tom Groove + Crash Fill:441,Wrap-Up:581,Vimeo
Day 9,drumeo,challenge-part,FwYYc,868051685,https://d1923uyy6spedc.cloudfront.net/s02-9-1701456686.jpg,https://d1923uyy6spedc.cloudfront.net/s02-9-1701456686.jpg,2,100,,,,Domino Santantonio,,"1,78,91,92",published,2023-12-28 08:01:00,,,,,10-Day Fills,Hi-Hat & Ride Grooves + Long Fill:25,Hi-Hat & Ride Grooves + Short Fill:113,Floor Tom & Ride Grooves + Crash Fill:198,Practice The Entire Song:283,Wrap-Up:550,,Vimeo
Day 10,drumeo,challenge-part,twYYc,868051981,https://d1923uyy6spedc.cloudfront.net/s02-10-1695856296.jpg,https://d1923uyy6spedc.cloudfront.net/s02-10-1695856296.jpg,2,100,,,,Domino Santantonio,,"1,78,91,92",published,2023-12-28 08:01:00,,,,,10-Day Fills,Hi-Hat & Ride Grooves + Snare Fills:21,Hi-Hat & Ride Grooves + Tom Fills:93,Floor Tom & Ride Grooves + Crash Fill:163,Practice The Entire Song:223,Wrap-Up:669,,Vimeo
Day 1,drumeo,challenge-part,JwYYc,868051981,https://d1923uyy6spedc.cloudfront.net/GhostNotes-Co-1-1695825039.jpg,https://d1923uyy6spedc.cloudfront.net/GhostNotes-Co-1-1695825039.jpg,2,100,,,,Domino Santantonio,,"1,78,91,92",published,2023-12-28 08:01:00,,,,,10-Day Ghost Notes,Play Hi-Hat & Snare Drum:120,Add One Ghost Note:208,Add Two Ghost Notes:294,Play On The Ride:550,Play On The Floor Tom:635,Wrap-Up:720,Vimeo
Day 2,drumeo,challenge-part,bwYYc,869378776,https://d1923uyy6spedc.cloudfront.net/GhostNotes-Co-2-1695833356.jpg,https://d1923uyy6spedc.cloudfront.net/GhostNotes-Co-2-1695833356.jpg,2,100,,,,Domino Santantonio,,"1,78,91,92",published,2023-12-28 08:01:00,,,,,10-Day Ghost Notes,Hi-Hat Rock Groove:20,Add One Ghost Note:105,Add Two Ghost Notes:191,Hi-Hat To Ride Ghost-Note Grooves:276,Floor Tom Ghost-Note Groove:532,Wrap-Up:617,Vimeo
