title,brand,type,difficulty,xp,registration_url,topic,style,instructor,description,permissions,status,published_on,enrollment_start_date,enrollment_end_date,original_thumbnail_url,thumbnail_url,logo_image_url,header_image_url,parent,video,soundslice_slug
10-Day Fills,drumeo,challenge,2,100,,Creativity,,273806,"<p>Welcome to <em>10-Day Fills</em>! In this 10-day challenge, Domino will show you four easy drum fills that you can start playing right now. By the end of the series, you will be playing all of these fills, along with a full song!</p>",,published,2024-01-01 14:00:00,,,https://d1923uyy6spedc.cloudfront.net/Fills-PackCards-WithLogo-1695855950.jpg,https://d1923uyy6spedc.cloudfront.net/Fills-PackCards-WithLogo-1695855950.jpg,,,,,
10-Day Ghost Notes,drumeo,challenge,2,100,,Grooves,,273806,,,published,2024-01-01 14:00:00,,,https://d1923uyy6spedc.cloudfront.net/GhostNotes-PackCards_Mobile copy 4-1695855891.jpg,https://d1923uyy6spedc.cloudfront.net/GhostNotes-PackCards_Mobile copy 4-1695855891.jpg,,,,,
30-Day Drummer,drumeo,challenge,1,100,,30-Day Drummer,,273806,"<p><em>30-Day Drummer: Season 3</em> is the next evolution on learning how to play drums – where you learn by actually playing the drums. By focusing on timing &amp; coordination, you’ll build your skills over thirty days following daily guided workouts with your instructor, Domino Santantonio.</p>",,published,2024-01-01 14:00:00,,,,,,https://d1923uyy6spedc.cloudfront.net/30DayDrummer-Headers_Header-02-1690799704.jpg,,,
30-Day Chops,drumeo,challenge,5,150,https://www.musora.com/drumeo/enrollment/30-day-drummer,Grooves,,387205,"<p>Learn to explode creatively around the drums. <em>30-Day Chops</em> will teach you the fundamentals of drum chops through consistent daily practice. By the end of the month, you'll have a new arsenal of chops to help you explode in 1, 2, and 4 bar patterns anytime the song calls for it.</p>",,published,2024-01-01 14:00:00,2023-11-22 08:00:00,2023-12-15 08:00:00,https://d1923uyy6spedc.cloudfront.net/30DayChops-Banner-1683560940.jpg,https://d1923uyy6spedc.cloudfront.net/30DayChops-Banner-1683560940.jpg,https://d1923uyy6spedc.cloudfront.net/30DayChops-Logo-1683560809.png,https://d1923uyy6spedc.cloudfront.net/30DayChops-Header-No-Logo-1683566896.jpg,,,
Day 1,drumeo,challenge-part,2,100,,,,273806,,,published,2024-01-01 14:00:00,,,https://d1923uyy6spedc.cloudfront.net/s02-1-1695856080.jpg,https://d1923uyy6spedc.cloudfront.net/s02-1-1695856080.jpg,,,10-Day Fills,397061,jwYYc
Day 2,drumeo,challenge-part,2,100,,,,273806,,,published,2024-01-01 14:00:00,,,https://d1923uyy6spedc.cloudfront.net/s02-2-1695856195.jpg,https://d1923uyy6spedc.cloudfront.net/s02-2-1695856195.jpg,,,10-Day Fills,397086,PwYYc
Day 3,drumeo,challenge-part,2,100,,,,273806,,,published,2024-01-01 14:00:00,,,https://d1923uyy6spedc.cloudfront.net/s02-3-1695856233.jpg,https://d1923uyy6spedc.cloudfront.net/s02-3-1695856233.jpg,,,10-Day Fills,397082,9wYYc
Day 4,drumeo,challenge-part,2,100,,,,273806,,,published,2024-01-01 14:00:00,,,https://d1923uyy6spedc.cloudfront.net/s02-4-1695856513.jpg,https://d1923uyy6spedc.cloudfront.net/s02-4-1695856513.jpg,,,10-Day Fills,397078,KwYYc
Day 5,drumeo,challenge-part,2,100,,,,273806,,,published,2024-01-01 14:00:00,,,https://d1923uyy6spedc.cloudfront.net/s02-5-1695856472.jpg,https://d1923uyy6spedc.cloudfront.net/s02-5-1695856472.jpg,,,10-Day Fills,397074,xwYYc
Day 6,drumeo,challenge-part,2,100,,,,273806,,,published,2024-01-01 14:00:00,,,https://d1923uyy6spedc.cloudfront.net/s02-6_2-1701456728.jpg,https://d1923uyy6spedc.cloudfront.net/s02-6_2-1701456728.jpg,,,10-Day Fills,396987,-wYYc
