id,slug,coach_card_image,coach_bottom_banner_image,coach_top_banner_image,coach_featured_image
257517,ghost-note,https://d1923uyy6spedc.cloudfront.net/coach-cards/Ghost-Note-Portrait.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Ghost-Note-1920-823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Ghost-Note-1920-823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Ghost-Note-1920x1080.jpg
255287,aquiles-priester,https://d1923uyy6spedc.cloudfront.net/coach-cards/Aquiles-Priester-Portrait.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Aquiles-Priester-1920-823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Aquiles-Priester-1920-823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Aquiles-Priester-1920x1080.jpg
252399,horacio-hernandez,https://d1923uyy6spedc.cloudfront.net/coach-cards/Horacio-Hernandez-Portrait.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Horacio-Hernandez-1920x823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Horacio-Hernandez-1920x823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Horacio-Hernandez-1920x1080.jpg
251228,chris-coleman,https://d1923uyy6spedc.cloudfront.net/coach-cards/Chris-Coleman-Portrait.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Chris-Coleman-1920-823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Chris-Coleman-1920-823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Chris-Coleman-1920x1080.jpg
247864,alex-rudinger,https://d1923uyy6spedc.cloudfront.net/coach-cards/Alex-Rudinger-Portrait.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Alex-Rudinger-1920-823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Alex-Rudinger-1920-823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Alex-Rudinger-1920x1080.jpg
240515,steve-gadd,https://d1923uyy6spedc.cloudfront.net/coach-cards/Steve-Gadd-Portrait.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Steve-Gadd-1920x823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Steve-Gadd-1920x823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Steve-Gadd-1920x1080.jpg
239928,stephane-chamberland,https://d1923uyy6spedc.cloudfront.net/coach-cards/Stephane-Chamberland-Portrait.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Stephane-Chamberland-1920-823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Stephane-Chamberland-1920-823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Stephane-Chamberland-1920x1080.jpg
236679,aaron-gillespie,https://d1923uyy6spedc.cloudfront.net/coach-cards/Aaron-Gillespie-Portrait.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Aaron-Gillespie-1920x823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Aaron-Gillespie-1920x823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Aaron-Gillespie-1920x1080.jpg
235178,tim-proznick,https://d1923uyy6spedc.cloudfront.net/coach-cards/Tim-Proznick-Portrait.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Tim-Proznick-1920x823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Tim-Proznick-1920x823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Tim-Proznick-1920x1080.jpg
235167,david-raouf,https://d1923uyy6spedc.cloudfront.net/coach-cards/David-Raouf-Portrait.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/David-Raouf-1920-823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/David-Raouf-1920-823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/David-Raouf-1920x1080.jpg
233797,babyboydrummer,https://d1923uyy6spedc.cloudfront.net/coach-cards/Baby-Boy-Drummer-Portrait.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Baby-Boy-Drummer-1920-823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Baby-Boy-Drummer-1920-823.jpg,https://d1923uyy6spedc.cloudfront.net/coach-cards/Baby-Boy-Drummer-1920x1080.jpg
