id,type,title,Genre,Essentials-1,Essentials-2,Theory-1,Theory-2,Creativity-1,Creativity-2,Lifestyle-1,Lifestyle-2
10125,live,Your First Drum Lesson,,Rudiments,,Notation,,,,,
10165,live,Polyrhythms Made Simple #1,,,,Time Signatures,,Grooves,,,
10236,live,Polyrhythms Made Simple #2,,,,Time Signatures,,Grooves,,,
10273,live,Hi-Hat Barking,,,,,,Grooves,,,
10422,live,Djent Drumming,,,,,,Grooves,,,
11641,live,Jeff Porcaro Licks & Grooves,,,,,,Grooves,Fills & Chops,,
11662,live,Paradiddle Accent Exercises,,Rudiments,Hand Technique,,,Grooves,Fills & Chops,,
11847,live,Advanced 20-Minute Workout,,Rudiments,Hand Technique,,,,,,
12102,live,10 Must Know Drum Fills,,,,,,Fills & Chops,,,
12523,live,Swing/Shuffle Funk Feel,Funk/Disco,,,,,Double Bass,,,
12816,live,The Touring Drummer,,,,,,,,,Gigging Tips & Gear
12952,live,Danny Carey Licks & Grooves,,,,,,Grooves,Fills & Chops,,
13410,live,Your Second Drum Lesson,,,,Notation,,Grooves,Fills & Chops,,
13430,live,Fusion Grooves & Fills,Jazz/Blues,,,,,Grooves,Fills & Chops,,
13492,live,Your Third Drum Lesson,,,,,,Grooves,Fills & Chops,,
13760,live,Developing Jazz #1,Jazz/Blues,,,,,Grooves,Fills & Chops,,
13772,live,Recording Studio Tips,,,,,,,,,Gigging Tips & Gear
13943,live,Developing Jazz #2,Jazz/Blues,,,,,Grooves,Fills & Chops,,
13987,live,Punk Rock For Beginners,,,,,,Grooves,Fills & Chops,,
14072,live,Developing Jazz #3,Jazz/Blues,,,,,Grooves,Fills & Chops,,
14125,live,How To Mic Your Drums,,,,,,,,,Gigging Tips & Gear
14207,live,Developing Jazz #4,Jazz/Blues,,,,,Grooves,Fills & Chops,,
14260,live,Developing Your Drags,,Rudiments,Hand Technique,,,,,,
14303,live,Jazz Drumming Applied,Jazz/Blues,,,,,Grooves,,,
14465,live,De-Stupifying Your Left Hand,,,,,,,,,
15357,live,Practicing With A Metronome,,Timing,,,,,,,Gigging Tips & Gear
15692,live,Mambo Cascara Variations #1,Latin/World,,,,,Grooves,,,
16287,live,Mike's Crazy Tom Grooves,,,,,,Grooves,,,
16298,live,How To Learn Songs,,,,,,,,,Gigging Tips & Gear
16431,live,Mambo Cascara Variations #2,Latin/World,,,,,Grooves,,,
16519,live,10 Beats For The Working Drummer,,,,,,Grooves,,,
16640,live,Mambo Cascara Variations #3,Latin/World,,,,,Grooves,,,
16844,live,Ronnie Tutt Q&A,,,,,,,,,Other
16885,live,Developing Jazz #5,Jazz/Blues,,,,,Grooves,Fills & Chops,,
16918,live,Playing With Electronics,,,,,,,,,Gigging Tips & Gear
16942,live,Playing With A Guitarist,,,,,,,,,Gigging Tips & Gear
16964,live,Developing Jazz #6,Jazz/Blues,,,,,Grooves,Fills & Chops,,
17002,live,Developing Double Bass #1,,Foot Technique,,,,Grooves,,,
17018,live,Developing Double Bass #2,,Foot Technique,,,,Grooves,,,
