id,type,title,Topic,Gear
373171,rudiment,Single Stroke Roll,Rolls,Practice Pad
373173,rudiment,Single Stroke Four,Rolls,Practice Pad
373175,rudiment,Single Stroke Seven,Rolls,Practice Pad
373177,rudiment,Multiple Bounce Roll,Rolls,Practice Pad
373179,rudiment,Double Stroke Roll,Rolls,Practice Pad
373181,rudiment,Triple Stroke Roll,Rolls,Practice Pad
373183,rudiment,Five Stroke Roll,Rolls,Practice Pad
373185,rudiment,Six Stroke Roll,Rolls,Practice Pad
373187,rudiment,Seven Stroke Roll,Rolls,Practice Pad
373189,rudiment,Nine Stroke Roll,Rolls,Practice Pad
373191,rudiment,Ten Stroke Roll,Rolls,Practice Pad
373193,rudiment,Eleven Stroke Roll,Rolls,Practice Pad
373195,rudiment,Thirteen Stroke Roll,Rolls,Practice Pad
373197,rudiment,Fifteen Stroke Roll,Rolls,Practice Pad
373199,rudiment,Seventeen Stroke Roll,Rolls,Practice Pad
373201,rudiment,Single Paradiddle,Paradiddles,Practice Pad
373203,rudiment,Double Paradiddle,Paradiddles,Practice Pad
373205,rudiment,Triple Paradiddle,Paradiddles,Practice Pad
373207,rudiment,Single Paradiddle-diddle,Paradiddles,Practice Pad
373209,rudiment,Flam,Flams,Practice Pad
373211,rudiment,Flam Accent,Flams,Practice Pad
373213,rudiment,Flam Tap,Flams,Practice Pad
373215,rudiment,Flamacue,Flams,Practice Pad
373217,rudiment,Flam Paradiddle,Flams,Practice Pad
373219,rudiment,Pataflafla,Flams,Practice Pad
373221,rudiment,Single Flammed Mill,Flams,Practice Pad
373223,rudiment,Flam Paradiddle-diddle,Flams,Practice Pad
373225,rudiment,Swiss Army Triplet,Flams,Practice Pad
373227,rudiment,Inverted Flam Tap,Flams,Practice Pad
373229,rudiment,Flam Drag,Flams,Practice Pad
373231,rudiment,Drag,Drags,Practice Pad
373233,rudiment,Single Drag Tap,Drags,Practice Pad
373235,rudiment,Double Drag Tap,Drags,Practice Pad
373237,rudiment,Lesson 25,Drags,Practice Pad
373239,rudiment,Single Dragadiddle,Drags,Practice Pad
373241,rudiment,Drag Paradiddle #1,Drags,Practice Pad
373243,rudiment,Drag Paradiddle #2,Drags,Practice Pad
373245,rudiment,Single Ratamacue,Drags,Practice Pad
373247,rudiment,Double Ratamacue,Drags,Practice Pad
373249,rudiment,Triple Ratamacue,Drags,Practice Pad
375881,rudiment,Single Stroke Roll On The Drums,Rolls,Drum-Set
375887,rudiment,Single Stroke Four On The Drums,Rolls,Drum-Set
375893,rudiment,Single Stroke Seven On The Drums,Rolls,Drum-Set
375899,rudiment,Multiple Bounce Roll On The Drums,Rolls,Drum-Set
376095,rudiment,Double Stroke Roll On The Drums,Rolls,Drum-Set
376096,rudiment,Triple Stroke Roll On The Drums,Rolls,Drum-Set
376097,rudiment,Five Stroke Roll On The Drums,Rolls,Drum-Set
376098,rudiment,Six Stroke Roll On The Drums,Rolls,Drum-Set
376099,rudiment,Seven Stroke Roll On The Drums,Rolls,Drum-Set
376100,rudiment,Nine Stroke Roll On The Drums,Rolls,Drum-Set
376101,rudiment,Ten Stroke Roll On The Drums,Rolls,Drum-Set
376102,rudiment,Eleven Stroke Roll On The Drums,Rolls,Drum-Set
376103,rudiment,Thirteen Stroke Roll On The Drums,Rolls,Drum-Set
376104,rudiment,Fifteen Stroke Roll On The Drums,Rolls,Drum-Set
376105,rudiment,Seventeen Stroke Roll  On The Drums,Rolls,Drum-Set
376106,rudiment,Single Paradiddle On The Drums,Paradiddles,Drum-Set
376107,rudiment,Double Paradiddle On The Drums,Paradiddles,Drum-Set
376108,rudiment,Triple Paradiddle On The Drums,Paradiddles,Drum-Set
376109,rudiment,Single Paradiddle-diddle On The Drums,Paradiddles,Drum-Set
376110,rudiment,Flam On The Drums,Flams,Drum-Set
376111,rudiment,Flam Accent On The Drums,Flams,Drum-Set
376112,rudiment,Flam Tap On The Drums,Flams,Drum-Set
376113,rudiment,Flamacue On The Drums,Flams,Drum-Set
376114,rudiment,Flam Paradiddle On The Drums,Flams,Drum-Set
376115,rudiment,Pataflafla On The Drums,Flams,Drum-Set
376116,rudiment,Single Flammed Mill On The Drums,Flams,Drum-Set
376117,rudiment,Flam Paradiddle-diddle On The Drums,Flams,Drum-Set
376118,rudiment,Swiss Army Triplet On The Drums,Flams,Drum-Set
376119,rudiment,Inverted Flam Tap On The Drums,Flams,Drum-Set
376120,rudiment,Flam Drag On The Drums,Flams,Drum-Set
376121,rudiment,Drag On The Drums,Drags,Drum-Set
376122,rudiment,Single Drag Tap On The Drums,Drags,Drum-Set
376123,rudiment,Double Drag Tap On The Drums,Drags,Drum-Set
376124,rudiment,Lesson 25 On The Drums,Drags,Drum-Set
376125,rudiment,Single Dragadiddle On The Drums,Drags,Drum-Set
376126,rudiment,Drag Paradiddle #1 On The Drums,Drags,Drum-Set
376127,rudiment,Drag Paradiddle #2 On The Drums,Drags,Drum-Set
376128,rudiment,Single Ratamacue On The Drums,Drags,Drum-Set
376129,rudiment,Double Ratamacue On The Drums,Drags,Drum-Set
376130,rudiment,Triple Ratamacue On The Drums,Drags,Drum-Set
