BRAND,id,ARTIST,title,NEW-GENRE
drumeo,13595,Nirvana,Smells Like Teen Spirit,Rock
drumeo,13796,Kings Of Leon,Use Somebody,Rock
drumeo,13945,Radiohead,Creep,Rock
drumeo,190995,Lenny Kravitz,Always On The Run,Rock
drumeo,19307,Rush,Tom Sawyer,Rock
drumeo,19806,Paramore,Still Into You,Rock
drumeo,19999,AC/DC,Back In Black,Rock
drumeo,20249,Blink-182,All The Small Things,Rock
drumeo,210724,Twenty One Pilots,Car Radio,Rock
drumeo,21264,Ozzy Osbourne,Crazy Train,Rock
drumeo,214898,Boston,More Than A Feeling,Rock
drumeo,21576,Porcupine Tree,The Sound Of Muzak,Rock
drumeo,220948,Pink Floyd,Money,Rock
drumeo,221443,Toto,Hold The Line,Rock
drumeo,22154,Katy Perry,California Gurls,Pop
drumeo,22855,Queens Of The Stone Age,No One Knows,Rock
drumeo,22981,Paul Simon,Late In The Evening,Rock
drumeo,230848,Audioslave,Like A Stone,Rock
drumeo,231622,Breaking Benjamin,The Diary Of Jane,Rock
drumeo,23450,Maroon 5,This Love,Pop
drumeo,23527,The Police,Roxanne,Rock
drumeo,23826,Paramore,Now,Rock
drumeo,23856,Led Zeppelin,The Ocean,Rock
drumeo,24244,Guns N' Roses,Sweet Child O' Mine,Rock
drumeo,24252,Journey,Don't Stop Believin',Rock
drumeo,24391,Van Halen,Hot For Teacher,Rock
drumeo,24559,Sting,Seven Days,Pop
drumeo,24670,Foo Fighters,Rope,Rock
drumeo,24769,Green Day,Basket Case,Rock
drumeo,25013,Foo Fighters,Everlong,Rock
drumeo,25244,Blink-182,First Date,Rock
drumeo,25270,Lynyrd Skynyrd,Sweet Home Alabama,Rock
drumeo,255148,AC/DC,Hells Bells,Rock
drumeo,25548,Muse,Stockholm Syndrome,Rock
drumeo,25556,Pearl Jam,Even Flow,Rock
drumeo,260283,3 Doors Down,Kryptonite,Rock
drumeo,260286,AC/DC,Hells Bells,Rock
drumeo,260293,Aerosmith,Amazing,Rock
drumeo,260295,Aerosmith,Dream On,Rock
drumeo,260297,Aerosmith,I Don't Want To Miss A Thing,Rock
drumeo,260299,Aerosmith,Livin' On The Edge,Rock
drumeo,260301,Aerosmith,Love In An Elevator,Rock
drumeo,260306,Audioslave,Like A Stone,Rock
drumeo,260313,Billy Joel,New York State Of Mind,Pop
drumeo,260315,Blink-182,Adam's Song,Rock
drumeo,260319,Blink-182,The Rock Show,Rock
drumeo,260325,Bob Seger,Old Time Rock & Roll,Rock
drumeo,260327,Bon Iver,8 (circle),Pop
drumeo,260329,Bon Iver,Perth,Pop
drumeo,260332,Bon Jovi,You Give Love A Bad Name,Rock
drumeo,260338,Bryan Adams,Heaven,Rock
drumeo,260341,Coldplay,Clocks,Rock
drumeo,260343,Coldplay,Yellow,Rock
drumeo,260345,Collective Soul,Where The River Flows,Rock
drumeo,260347,Creedence Clearwater Revival,Fortunate Son,Rock
drumeo,260349,Creedence Clearwater Revival,Have You Ever Seen The Rain,Rock
drumeo,260356,Dave Matthews Band,"Drive In, Drive Out",Rock
drumeo,260358,David Bowie,Lazarus,Rock
drumeo,260362,Death Cab for Cutie,Grapevine Fires,Rock
drumeo,260369,Eagles,Already Gone,Rock
drumeo,260371,Eagles,Hotel California,Rock
drumeo,260375,Eagles,Take It Easy,Rock
drumeo,260379,Ed Sheeran,Thinking Out Loud,Rock
drumeo,260381,Evanescence,Bring Me To Life,Rock
drumeo,260383,Everything Everything,Cough Cough,Rock
drumeo,260385,Extreme,Unconditionally,Rock
drumeo,260387,Foo Fighters,Big Me,Rock
drumeo,260392,Foo Fighters,The Pretender,Rock
drumeo,260394,Foo Fighters,The Sky Is A Neighborhood,Rock
drumeo,260396,Georgia Satellites,Keep Your Hands To Yourself,Rock
drumeo,260400,Grand Funk Railroad,Bad Time,Rock
drumeo,260402,Grand Funk Railroad,We're An American Band,Rock
drumeo,260404,Green Day,21 Guns,Rock
drumeo,260408,Guns N' Roses,Paradise City,Rock
drumeo,260415,Hozier,Take Me To Church,Pop
drumeo,260417,Huey Lewis And The News,The Power Of Love,Rock
drumeo,260419,INXS,New Sensation,Rock
drumeo,260429,Jet,Are You Gonna Be My Girl,Rock
drumeo,260433,Jimmy Eat World,The Middle,Rock
drumeo,260435,Joan Jett & The Blackhearts,I Love Rock 'n Roll,Rock
drumeo,260437,John Cougar Mellencamp,Hurts So Good,Rock
drumeo,260439,John Lennon,Imagine,Rock
drumeo,260446,Journey,Wheel In The Sky,Rock
drumeo,260453,Kings Of Leon,Sex On Fire,Rock
drumeo,260456,KISS,I Was Made For Lovin' You,Rock
drumeo,260469,Lenny Kravitz,I'll Be Waiting,Rock
drumeo,260471,Linkin Park,In The End,Rock
drumeo,260492,Michael Jackson,Beat It,Pop
drumeo,260494,Michael Jackson,Billie Jean,Pop
drumeo,260496,Michael Jackson,Thriller,Pop
drumeo,260504,Muse,Big Freeze,Rock
drumeo,260506,Muse,Hysteria,Rock
drumeo,260508,Muse,Panic Station,Rock
drumeo,260513,Muse,Uprising,Rock
drumeo,260515,Nickelback,Animals,Rock
drumeo,260517,Nickelback,How You Remind Me,Rock
drumeo,260519,Nirvana,In Bloom,Rock
drumeo,260524,NOFX,Linoleum,Rock
drumeo,260526,Oasis,Wonderwall,Pop
drumeo,260528,Otis Redding,(Sittin’ On) The Dock Of The Bay,R&B/Soul
drumeo,260536,Pat Benatar,Hit Me With Your Best Shot,Rock
drumeo,260541,Pink Floyd,Comfortably Numb,Rock
drumeo,260544,Poison,Talk Dirty To Me,Rock
drumeo,260551,Queen,Another One Bites The Dust,Rock
drumeo,260553,Queen,Bohemian Rhapsody,Rock
drumeo,260555,Queen,Fat Bottomed Girls,Rock
drumeo,260562,Radiohead,Paranoid Android,Rock
drumeo,260565,Radiohead,Karma Police,Rock
drumeo,260569,Rick Springfield,Jessie's Girl,Rock
drumeo,260571,Rush,2112,Rock
drumeo,260573,Rush,Entre Nous,Rock
drumeo,260575,Rush,Subdivisions,Rock
drumeo,260577,Rush,Tears,Rock
