id,type,title,Genre,Essentials-1,Essentials-2,Theory-1,Theory-2,Creativity-1,Creativity-2,Lifestyle-1,Lifestyle-2
10293,gear-guides,Bass Drum Pedal Comparison,,Setup & Tuning,,,,,,,Gigging Tips & Gear
12519,gear-guides,Yamaha DTX950K Electronic Drum-set Demo,,,,,,,,,Gigging Tips & Gear
12536,gear-guides,Cleaning Your Cymbals / Q&A,,,,,,,,,Gigging Tips & Gear
13422,gear-guides,Fine Tuning Your Snare,,,,,,,,,
18920,boot-camps,Single Bass Drum Bootcamp,,,,,,,,,
18937,boot-camps,Double Bass Drum Boot Camp,,,,,,,,,Performance
189972,on-the-road,Hannah Welton PASIC 2017 Performance,,Rudiments,,,,Grooves,,,
189976,on-the-road,Nikki Glaspie PASIC 2017 Performance,Pop/Rock,,,,,,,Performance,
190166,gear-guides,Snare Drum-parisons - 12 Inch Snares,Jazz/Blues,,,,,Independence,,,
190167,quick-tips,The Science Of Muffling,,,,,,,,,
190209,course,The Power Of Your Left Hand (Beginner),,,,,,,,,
190417,course,Swing Syncopation & Coordination,,Setup & Tuning,,,,,,,
190529,challenges,The Double Bass Pyramid,,,,,,,,,
190644,course,The Power Of Your Left Hand (Intermediate),,,,Time Signatures,,Grooves,,,
190808,boot-camps,Intermediate Left Foot Hi-Hat Boot Camp,,,,,,,,,
190809,quick-tips,Conserving Energy During Shows,,Foot Technique,,,,Independence,,,
190810,behind-the-scenes,Birthday Cones,Hard Rock/Metal,,,,,,,Performance,
190811,gear-guides,The Yamaha EAD10,,,,,,,,,
190984,challenges,One Exercise To Help You Sound More Articulate,Pop/Rock,,,,,,,Performance,
190986,challenges,A Cool Twist On A Common Hand-To-Foot Combo,,Setup & Tuning,,,,,,,
190988,boot-camps,Beginner Single-Stroke Boot Camp,Worship/Gospel,,,,,,Making Music,Performance,
190992,study-the-greats,Todd Sucherman,Hard Rock/Metal,,,,,,,Performance,
190994,gear-guides,Snare Drum-parisons - 13 Inch Snares #1,,,,,,Fills & Chops,,,
191232,study-the-greats,David Garibaldi,Worship/Gospel,,,,,,,Performance,
191233,gear-guides,Snare Drum-parisons - 13 Inch Snares #2,Funk/Disco,,,,,Grooves,,,
191238,course,The Traditional Grip,,,,,,,,Gigging Tips & Gear,
195807,quick-tips,The Garden Weasel Stick Trick,,,,,,,,,
195808,challenges,Warming Up For High Intensity Shows,,,,,,,,Other,
195809,challenges,Gavin's Paradiddle Challenge,,,,,,,,,
195916,solos,Flashy Woo-dimental Solo,,,,,,,,,
195917,quick-tips,Gavin Harrison's Favorite Sticking,,Rudiments,,,,,,,
195920,study-the-greats,Benny Greb,Pop/Rock,,,,,Grooves,,,
195921,gear-guides,20 Inch Snare Drum Demo,,,,,,,,,
195925,quick-tips,6/8 Double Bass Herta Groove,,,,,,,,Gigging Tips & Gear,
195927,study-the-greats,Bernard Purdie,,,,,,,,,
195952,quick-tips,An Epic Song Ender,,,,,,,,,
195953,behind-the-scenes,The Pants Ransom,,Setup & Tuning,Hand Technique,,,,,Practice Tips,
196079,quick-tips,Metal Drumsticks Demo,,Rudiments,Foot Technique,,,,,,
196083,boot-camps,Beginner Paradiddle Boot Camp,Worship/Gospel,,,,,,,Performance,
196084,quick-tips,Making Blast Beats Groove,Pop/Rock,,,,,,Making Music,Performance,
196085,quick-tips,A Fun And Easy Triplet Fill,,,,,,,,,
196089,study-the-greats,Stanley Randolph,,,,Ear Training,,,,Practice Tips,
196090,course,Expanding Your Musical Vocabulary,,,,,,,,,
196091,challenges,Best Practice Pad Lesson Warm-up,,,,,,,,,
196095,study-the-greats,Danny Seraphine,,,,,,Fills & Chops,,,
196614,quick-tips,"Sting's ""7 Days"" Groove",,Hand Technique,Rudiments,,,,,,
196618,quick-tips,How To Tell A Good Drummer From A Bad Drummer,Funk/Disco,,,,,,Grooves,,
196619,on-the-road,Evans Drumheads,Funk/Disco,,,,,,Grooves,,
196623,course,The Fundamentals Of Groove,,Setup & Tuning,,,,,,Gigging Tips & Gear,
196629,behind-the-scenes,Mark Guiliana & The Hunt For The Dirty Dish Bandits,,,,Ear Training,Time Signatures,Independence,,,
196632,course,Evening Out Odd Time,,,,,,,Grooves,,
197604,boot-camps,Intermediate Paradiddle Boot Camp,,,,Time Signatures,Ear Training,Making Music,Grooves,,
197886,gear-guides,Remo Res-O-Tone Drumhead Demo,,Rudiments,Hand Technique,,,,,,
197887,gear-guides,Stevie Wonder's Drum Kit Set-up,,,,,,,,,
197888,gear-guides,Yamaha Tour Custom Drums,,,,,,Independence,,,
197889,gear-guides,The Switch Kick By Ahead Drumsticks,Pop/Rock,,,,,,Grooves,,
197890,gear-guides,Evans Level 360 Drumheads,,Rudiments,Hand Technique,,,,,,
197892,quick-tips,The Most Important Drum Technique In The World,,,,,,Independence,,,
197893,quick-tips,How To Play Drums - Your Very First Drum Lesson,,Timing,,Time Signatures,Ear Training,,,Practice Tips,
197894,quick-tips,3 Easy Double Bass Grooves That Sound Hard,,,Foot Technique,,,Independence,,,
