id,type,title,Genre,Essentials-1,Essentials-2,Theory-1,Theory-2,Creativity-1,Creativity-2,Lifestyle-1,Lifestyle-2
311089,question-and-answer,Welcome To The Musora Family - Live Celebration!,,,,,Scales & Modes,Licks,,,
311091,question-and-answer,Meet Your Guitareo Instructors & Ask Your Questions!,,,,,,,,,Gigging Tips & Gear
313463,question-and-answer,New Student Webinar,,,,,,,,,Other
314648,question-and-answer,How Do I Develop An Individual Style And Sound,,,,,Scales & Modes,Licks,,,
314650,question-and-answer,"Modes, Modes, Modes",,,,,,,,,Practice Tips
314651,question-and-answer,How Do I Use A Metronome,,,,,Scales & Modes,,,,
314655,question-and-answer,Show Us Some Alternate Tunings,Pop/Rock,,,,,,,,Practice Tips
320159,question-and-answer,Why Do My Strings Break,,Pedaling,,,,,,,
320284,question-and-answer,Ultimate Scale Workout,,Pedaling,,,,,,,
320285,question-and-answer,What Do Old Strings Smell Like,,,,,Chord Theory,Chords,,,
322108,question-and-answer,Guitareo's Christmas Party Livestream,,,,Composition & Arranging,,Chords,,,
322811,question-and-answer,New Student Webinar,,,,,Chord Theory,Chords,,,
322812,question-and-answer,Hand Coordination Masterclass,,Picking,,,,,,,
322914,question-and-answer,How To Prepare for a Performance,,,,,Chord Theory,Chords,,,
322922,question-and-answer,How to Learn Modes,,,,,,,,,Other
324508,question-and-answer,How to Turn Your Basic Chords into Something Beautiful,,,,,Scales & Modes,,Chords,,
324512,question-and-answer,5 Steps to Getting a Perfect Tone,,,,Rhythm,,Licks,,,
324515,question-and-answer,New Student Webinar,,,,Scales & Modes,,,,,
324517,question-and-answer,How to Play the December Student Collab,,,,,,,,,Performance
324518,question-and-answer,How Do I Play Open Triads,,,,Composition & Arranging,,Chords,,,
324519,question-and-answer,How to Use A Delay Pedal,,,,,,,,,Other
324521,question-and-answer,How To Use A Slide,,,,,,,,,Other
331528,question-and-answer,New Student Webinar,,,,,,,,,Gigging Tips & Gear
331530,question-and-answer,How Do I Improve My Picking Accuracy,,Timing & Groove,,Rhythm,,,,,
332405,question-and-answer,The Hidden Power Of Color Chords,,,,,,,,,Gigging Tips & Gear
332406,question-and-answer,How Do I Use Modulation Pedals,,,,,,,,,Other
332407,question-and-answer,How Do I Play Prog Rock?,,,,,,,,,Other
337910,question-and-answer,How Do I Make One Chord Sound Cool,,Pedaling,,,,,,,
338152,question-and-answer,New Student Webinar,,Pedaling,,,,,,Gigging Tips & Gear,
338346,question-and-answer,How Do I Use My Pickup Selector Switch,,,,,,,,,Gigging Tips & Gear
339028,question-and-answer,How to Play Legato,,,,,,Licks,,,Practice Tips
341512,question-and-answer,Carlos Welcome Party,,,,,,,,,Other
345027,question-and-answer,Multi-Effects Vs Stand Alone Units,,Fingerstyle,,,,,,,
345030,question-and-answer,How to Play Without a Roadmap,,Fingerstyle,,,,,,,
345031,question-and-answer,New Student Webinar,,Fingerstyle,,,,,,,
348975,question-and-answer,Classical Carlos Episode 1 - Getting Started In The Classical World,Funk/Disco,,,,Composition & Arranging,Licks,,,
349060,question-and-answer,D'Addario Question & Answer,Pop/Rock,,,,Scales & Modes,Licks,,,
350122,question-and-answer,"Classical Carlos Episode 2 - ""Lágrima"" B Section",,Pedaling,,,,,,,
350719,question-and-answer,Why You Should Learn Funk,,,,,,,,,Gigging Tips & Gear
350758,question-and-answer,"Making Ideas ""Click""",,Pedaling,,,,,,,
351856,question-and-answer,Classical Carlos Episode 3,,,,,,,,,Performance
352437,question-and-answer,Why You Should Learn Licks,,,,,,,,,Performance
353176,question-and-answer,Tackling Dean Lamb's Course 1/4,Pop/Rock,,,,,,,,Practice Tips
353634,question-and-answer,New Student Welcome Party,,,,,Chord Theory,,Chords,,Practice Tips
353637,question-and-answer,Tackling Dean Lamb's Course 2/4,,,,,,,,,Other
353745,question-and-answer,Get Funky On The Guitar With Mark Lettieri + Ayla Tesler Mabe,Hard Rock/Metal,Speed & Stamina,,,,Licks,,,
353746,question-and-answer,Tackling Dean Lamb's Course 3/4,Hard Rock/Metal,Speed & Stamina,,,,Licks,,,
354007,question-and-answer,New Student Webinar,,,,,,,,,Performance
355630,question-and-answer,Tackling Dean Lamb's Course 4/4,Funk/Disco,Timing & Groove,,,,Licks,,,
355868,question-and-answer,New Student Welcome Party,Pop/Rock,,,,Scales & Modes,,Licks,,
355869,question-and-answer,Developing a Practice Routine,Pop/Rock,,,,Scales & Modes,,Licks,,
356743,question-and-answer,Classical Carlos Episode 4,Pop/Rock,,,,Scales & Modes,,Licks,,
356747,question-and-answer,Creative Riffs & Songwriting With Yvette Young And Kent Shores,Pop/Rock,,,,Composition & Arranging,Improvisation & Songwriting,Licks,,
357769,question-and-answer,Break Out Of The Pentatonic Box With Dave Martone & Ayla Tesler-Mabe,Hard Rock/Metal,Speed & Stamina,,,,Licks,,,
357770,question-and-answer,Tackling Level 6 of The Method,,Fingerstyle,,,,,,,Practice Tips
359789,question-and-answer,New Student Welcome Party,,,,,,,,,Other
359790,question-and-answer,Get Back to Basics,,,,,,,,,Practice Tips
