id,type,title,Genre,Essentials-1,Essentials-2,Theory-1,Theory-2,Creativity-1,Creativity-2,Lifestyle-1,Lifestyle-2
191338,play-along,John Q. Guitar,,,,,,,,,
191340,play-along,Chicago Dog,,,,,,,,,
191341,play-along,Blueberries,,,,,,,,,
191342,play-along,Minor Education,,,,,,,,,
191343,play-along,No Foolin',,,,,,,,,
191344,play-along,Running Red Lights,,,,,,,,,
191345,play-along,Dorian's Picture,,,,,,,,,
191346,course,Understanding Your Instrument,,,,,,,,,
191347,course,Changing Chords Smoothly,,,,,,Chords,,,
191348,course,Diagrams & Reading Basics,,,,,Tab & Notation,,,,
191349,course,Making Chords Sound Clean,,,,,,Chords,,,
191350,play-along,Confectionery,,,,,,,,,
191351,course,Building Dexterity,,,Speed & Stamina,,,,,,
191352,course,Changing Guitar Strings,,,,,,,,,Gigging Tips & Gear
191353,course,How To Tune A Guitar,,,,,,,,,Gigging Tips & Gear
191354,course,Playing Your First Solo,,Picking,,,,Licks,,,
191355,course,A Guide To Guitar Gear,,,,,,,,,Gigging Tips & Gear
191356,play-along,Crying Friend,Pop/Rock,,,,Scales & Modes,Licks,Chords,,
191357,play-along,Dr. B,Pop/Rock,,,,Scales & Modes,Licks,,,
191358,play-along,Gray Station,,,,,,,,,
191359,play-along,Misty Blues,,,,,,,,,
191360,play-along,Sparrow,,,,,,,,,
191361,course,Playing Your First Song,,Picking,,,,Chords,,,
191362,course,Floatin' Down The River,,Picking,,,,Chords,,,
191363,play-along,Resonate,,,,,,,,,
191364,play-along,End Of The Day,,,,,,,,,
191366,play-along,Don't Sweat It,Funk/Disco,Timing & Groove,,,,Chords,,,
191367,play-along,Heads Up,,,,,,,,,
191368,play-along,Heads Up,,,,,,,,,
191370,play-along,Jukebox,,,,,,,,,
191371,play-along,Heartbreak Avenue,,,,,,,,,
191372,play-along,Afterall,Pop/Rock,Picking,,,,Chords,,,
191373,play-along,Mountains,Pop/Rock,Picking,,,,Chords,,,
191374,play-along,Afterlife,,,,,,,,,
191376,play-along,Crazy Times,,,,,,,,,
191377,play-along,Cyborg,Hard Rock/Metal,Embellishments,,,,Chords,,,
191378,play-along,Darkness,Hard Rock/Metal,,,,,Chords,Licks,,
191379,play-along,Flowers,,,,,,,,,
191380,play-along,Freedom,,,,,,,,,
191381,play-along,Liberation,,,,,,,,,
191382,play-along,Long Fight,Pop/Rock,Picking,,,,Chords,,,
191383,play-along,Busybody,Pop/Rock,Picking,Embellishments,,,Chords,,,
191384,play-along,Cyborg,,,,,,,,,
191385,play-along,Darkness,,,,,,,,,
191386,play-along,Liberation,,,,,,,,,
191387,play-along,Mirage,,,,,,,,,
191389,play-along,Moonbeams,Pop/Rock,Picking,,,,,Chords,,
191390,play-along,Nail,Hard Rock/Metal,Embellishments,,,,Chords,,,
191391,play-along,Purple Fog,,,,,,,,,
191392,play-along,Rockslide,,,,,,,,,
191393,play-along,Dear John,Pop/Rock,Embellishments,,,Scales & Modes,Licks,Chords,,
191394,play-along,Strings Of Gold,,,,,,,,,
191395,play-along,Sunny Day,,,,,,,,,
191396,play-along,Dear John,,,,,,,,,
191397,play-along,Rockslide,,,,,,,,,
191398,play-along,Sunny Day,,,,,,,,,
191399,play-along,Susanne,,,,,,,,,
191400,play-along,Talking Birds,Pop/Rock,,,,,Chords,Licks,,
191401,play-along,The Clock,,,,,,,,,
191411,play-along,The Road Home,,,,,,,,,
191412,play-along,Wildfire,Country/Folk,Picking,,,,Chords,,,
191414,course,Open Chords 101,,,,,,Chords,,,
191415,course,Open Chords 102,,,,,,Chords,,,
191416,course,Open Chords 103,,,,,,Chords,,,
191417,course,Open Chords 104,,,,,,Chords,,,
191418,course,The Constant Strumming Technique,,Picking,,,,,,,
191419,course,How To Strum For Beginners,,Picking,,,,,,,
191420,course,The Note Names,,,,,Chord Theory,,,,
191421,course,The Major Scale,,,,,Scales & Modes,,,,
191422,course,How To Read Guitar Tabs,,,,,Tab & Notation,,,,
191423,course,Understanding Diatonic Chords,,,,,,Chords,,,
191424,course,The Circle of 4ths & 5ths,,,,Chord Theory,Scales & Modes,,,,
191425,course,The Major Chords,,,,,,Chords,,,
191426,course,The Minor Chords,,,,,,Chords,,,
191427,course,Setting Yourself Up for Success,,,,,,,,,Practice Tips
191428,course,Unlocking the Fretboard 101,,,,,,,,,Gigging Tips & Gear
191429,course,A Guide To Power Chords,,,,,,Chords,,,
191430,course,Ear Training 101,,Ear Training,,,,,,,
191431,course,Understanding Minor and Diminished Chords,,,,Chord Theory,,Chords,,,
191432,course,How To Harmonize Scales,,,,,Scales & Modes,Chords,,,
191433,course,Understanding Diatonic Chord Progressions,,,,Chord Theory,,Chords,,,
191434,play-along,Royalty,,,,,,,,,
191435,play-along,Tom & Jerry,,,,,,,,,
191436,play-along,Busybody,,,,,,,,,
191437,play-along,Flowers,,,,,,,,,
191438,play-along,Freedom,,,,Scales & Modes,,,Licks,,
191439,play-along,Purple Fog,,,,,,,,,
191440,play-along,Talking Birds,,,,,,,,,
191441,course,Understanding 7th Chords,,,,,Chord Theory,Chords,,,
191442,course,Understanding Chords Outside the Key,,,,,Chord Theory,Chords,,,
191443,course,Understanding Upper Extensions,,,,Scales & Modes,Chord Theory,Chords,,,
191444,course,A Guide To Palm Muting,,Embellishments,,,,,,,
191445,course,The 12-Bar Blues,Jazz/Blues,,,,,Chords,Licks,,
191446,course,Adding 7th Chords to the Blues,Jazz/Blues,,,,,Chords,,,
191447,course,Picking 101,,Picking,,,,,,,
191448,course,Fingerstyle 101,,Fingerstyle,,,,,,,
191451,course,Fingerstyle 102,,Fingerstyle,,,,,,,
191452,course,Fingerstyle 103,,Fingerstyle,,,,,,,
191453,course,Playing Legato 101,,Embellishments,,,,,,,
191454,course,Playing Legato 102,,Embellishments,,,,,,,
191455,course,Picking 102,,Picking,,,,,,,
191456,course,A Beginner's Guide To Guitar Solos,,,,Scales & Modes,,Licks,Improvisation & Songwriting,,
191457,course,Minor Pentatonics 101,,,,Scales & Modes,,,,,
191458,course,Minor Pentatonics 102,,,,Scales & Modes,,,,,
191459,course,The Major Pentatonic Scale,,,,Scales & Modes,,,,,
191460,course,Getting Started with Major Scales,,,,,Scales & Modes,,,,
191461,course,Blues Scale Basics,,,,Scales & Modes,,,,,
191462,course,Unlocking the Fretboard 102,,,,,,,,,Gigging Tips & Gear
191463,course,Lead Guitar Techniques,,,Embellishments,,,Improvisation & Songwriting,Licks,,
191464,course,Bending Basics,,,Embellishments,,,,,,
191465,course,Winter Wonderland,,,Picking,,,Chords,,,
191466,course,Silent Night,,,Fingerstyle,,,Chords,Licks,,
191468,course,Winter Wonderland,,,Picking,,,Chords,,,
191471,course,Unlocking the Fretboard 103,,,,,,,,,Gigging Tips & Gear
191472,course,Bar Chords 101 - The E Shape,,,,,,Chords,,,
191473,course,Bar Chords 102 - The A Shape,,,,,,Chords,,,
191474,course,Bar Chords 103 - Minor Shapes,,,,,,,Chords,,
191475,course,Soloing with the Blues Scale,,,,,,Licks,Improvisation & Songwriting,,
191476,course,Bluegrass 101,Country/Folk,Picking,,,,Chords,,,
191477,course,Ear Training 102,,Ear Training,,,,,,,
191478,course,Learn to Play Faster,,Speed & Stamina,,,,,,,
191479,course,Bluegrass 102,Country/Folk,Picking,,,,Chords,Licks,,
191480,course,How to Play in Any Minor Key,,,,,Chord Theory,Chords,,,
191481,course,Minuet In G,,Fingerstyle,,,,,,,
191482,course,A Beginner's Guide To Natural Minor Scales,,,,,Scales & Modes,,,,
191483,course,Beef Up Your Chords with Crosspicking,,,Picking,,,,,,
191484,course,Joy To The World,,Fingerstyle,,,,,,,
191485,course,7th Chords on the 6th String,,,,,,Chords,,,
