id,type,title,Genre,Essentials-1,Essentials-2,Theory-1,Theory-2,Creativity-1,Creativity-2,Lifestyle-1,Lifestyle-2
197014,boot-camps,More Chord Progression Tips And Tricks,,,,Chord & Scale Theory,,Chording,,,
197018,boot-camps,Storylines And Practice Time,,Dynamics,,,,Improvisation & Songwriting,Chording,,
197028,boot-camps,Major and Minor Keys,,,,Key Signatures/Keys,,,,,
197030,boot-camps,Arpeggios,,Arpeggios,,,,,,,
197034,boot-camps,The Minor Keys (Harmonic and Melodic Minor),,,,Key Signatures/Keys,,,,,
197036,boot-camps,Chord Progression Tips And Tricks,,,,Chord & Scale Theory,,Chording,,,
197038,boot-camps,A Beginner's Guide To Riffs And Runs,,,,,,Fills & Riffs,Improvisation & Songwriting,,
197042,boot-camps,The Blues,Jazz/Blues,,,,,,,,
197051,boot-camps,Hand Independence,,Independence,,,,,,,
197053,boot-camps,The Minor Keys,,Chords & Scales,,Key Signatures/Keys,,,,,
197059,boot-camps,Scales and Triads,,Chords & Scales,,,,,,,
197115,boot-camps,Warm Up Practice Along With Jordan,,Chords & Scales,,,,,,Practice Tips,
203523,boot-camps,Left Hand Patterns For Improv,,Independence,,,,Improvisation & Songwriting,,,
215025,boot-camps,Beginner Left Hand Bootcamp,,Independence,Finger Strength,,,,,,
217310,boot-camps,Hand Independence Bootcamp For Beginners,,Independence,,Rhythm,,,,,
223388,boot-camps,Pop Chord Progression Bootcamp,Pop/Rock,,,Chord & Scale Theory,,Chording,,,
226815,boot-camps,Upping Your Technique Game,,Chords & Scales,Finger Strength,,,,,Practice Tips,
241675,boot-camps,Pop Progression In G Bootcamp,,,,Chord & Scale Theory,,Chording,,,
262341,boot-camps,Play Piano With Lisa - Scales,,Chords & Scales,,,,,,,
264115,boot-camps,Play Piano Warm-ups With Lisa,,Finger Strength,Speed & Stamina,,,,,,
267953,boot-camps,Play Beautiful Chord Patterns With Lisa,,,,Chord & Scale Theory,,Chording,,,
292405,boot-camps,Beautiful Arpeggio Patterns Bootcamp,,Arpeggios,Independence,,,,,,
300613,boot-camps,Complete Practice Routine In F Major,,,Chords & Scales,Key Signatures/Keys,,,,Practice Tips,
