id,type,title,Genre,Essentials-1,Essentials-2,Theory-1,Theory-2,Creativity-1,Creativity-2,Lifestyle-1,Lifestyle-2
196991,question-and-answer,Key Concepts - Basic Composition,,,,Composition & Arranging,,,,Other,
196995,question-and-answer,Key Concepts - Blues For Beginners,Jazz/Blues,,,,,,,Other,
196997,question-and-answer,Key Concepts- Hand Independence,,Independence,,,,,,Other,
197000,question-and-answer,Key Concepts - Old School Rock n Roll,Pop/Rock,,,,,,,Other,
197002,question-and-answer,Key Concepts - WHY Is It So Hard To Practice?,,,,,,,,Other,Practice Tips
197004,question-and-answer,Key Concepts - Tricks To Enhance An Instrumental Pop Song,Pop/Rock,,,,,,,Other,
197006,question-and-answer,Key Concepts - Playing With Feel,,,,,,,,Other,
197008,question-and-answer,Getting Creative With Christmas Songs - 'Christmas Time Is Here',Holiday/Soundtrack,,,,,,,Other,
197010,question-and-answer,Key Concepts - New Years Goal Setting For Piano Players,,,,,,,,Other,
197016,question-and-answer,Play Fur Elise The Easy Way,Classical,,,,,,,Other,
197020,question-and-answer,Core Skills Craziness,,,,,,,,Other,
197022,question-and-answer,Pop/Funk Playalong - Necessary Colours,Funk/Disco,,,,,,,Other,
197024,question-and-answer,Becoming A Better Blues Pianist Overnight,Jazz/Blues,,,,,,,Other,
197026,question-and-answer,A Beginner's Guide To Piano,,,,,,,,Other,
197032,question-and-answer,6 Things Piano Players Forget To Do,,,,,,,,Other,Practice Tips
197040,question-and-answer,How To Flesh Out Your Chord Progressions,,,,,,Chording,,Other,
197065,question-and-answer,Using Ear Training To Learn Songs,,Ear Training,,,,,,Other,
197085,question-and-answer,Critical Listening,,Ear Training,,,,,,Other,
197096,question-and-answer,Thinking (And Cheating) Like A Guitar Player,,,,,,Chording,,Other,
197109,question-and-answer,Technique Training,,,,,,,,Other,Practice Tips
197111,question-and-answer,More Blues Tips,Jazz/Blues,,,,,,,Other,
197113,question-and-answer,Jazz Fundamentals,Jazz/Blues,,,,,,,Other,
197117,question-and-answer,Playing with a Band,,,,,,Improvisation & Songwriting,,Other,
197123,question-and-answer,Blues Piano Basics,Jazz/Blues,,,,,,,Other,
197125,question-and-answer,Making Your Practice Feel Like A Performance,,,,,,,,Other,Practice Tips
197137,question-and-answer,Lessons In Improv - Using Each Register Of The Piano,,,,,,Improvisation & Songwriting,,Other,
197138,question-and-answer,Playalong - Landslide (Fleetwood Mac cover),Country/Folk,,,,,,,Other,
197139,question-and-answer,Pianote Playalong - Arpeggios,,Arpeggios,,,,,,Other,
197455,question-and-answer,Lessons In Improv - Blues Rhythms,Jazz/Blues,,,,,Improvisation & Songwriting,,Other,
198053,question-and-answer,Picking Out The Melody In Your Favourite Songs,,,,Chord & Scale Theory,,,,Other,
198058,question-and-answer,Sight Reading 101,,,,Sight Reading,,,,Other,
198064,question-and-answer,Matching Melodies And Chords,,,,Chord & Scale Theory,,,,Other,
198068,question-and-answer,Chord Inversions Cheats And Shortcuts,,,,Chord & Scale Theory,,,,Other,
198074,question-and-answer,(Almost) Everything You Need To Play Reggae Keys,Latin/World,,,,,,,Other,
201888,question-and-answer,Making Spooky Sounds On The Piano,,,,Chord & Scale Theory,,,,Other,
201891,question-and-answer,"Arranging Your Song - ""Desperado""",,,,Composition & Arranging,,,,Other,
201892,question-and-answer,Simple Sight Reading Challenges,,,,Sight Reading,,,,Other,
202232,question-and-answer,The Improviser's Rulebook,,,,,,Improvisation & Songwriting,,Other,
202233,question-and-answer,Teacher Becomes The Student,Holiday/Soundtrack,,,Sight Reading,,,,Other,
202590,question-and-answer,"Procol Harum - ""Whiter Shade Of Pale""",Pop/Rock,,,,,Chording,,Other,
202597,question-and-answer,Dexterity 101,,Independence,,,,,,Other,
202600,question-and-answer,Vangelis - “Chariots Of Fire”,Holiday/Soundtrack,,,,,Chording,,Other,
202601,question-and-answer,Billy Joel Blitz,Pop/Rock,,,,,Chording,,Other,
202604,question-and-answer,Disney Mashup Madness,Holiday/Soundtrack,,,,,Chording,,Other,
203338,question-and-answer,"How To Play ""Falling Slowly""",Holiday/Soundtrack,,,Chord & Scale Theory,Sight Reading,Chording,,Other,
203344,question-and-answer,Solving The Mystery Of Chord Composition,,,,Chord & Scale Theory,Composition & Arranging,,,Other,
203345,question-and-answer,Cinematic Sounds,Holiday/Soundtrack,,,,,,,Other,
203526,question-and-answer,"Getting Creative With Christmas Carols: ""We Three Kings""",Holiday/Soundtrack,,,,,Chording,,Other,
203605,question-and-answer,How To Write A Song,,,,Composition & Arranging,,Chording,Improvisation & Songwriting,Other,
207813,question-and-answer,Beach Boys Takeover,R&B/Soul,,,Chord & Scale Theory,,Chording,,Other,
210265,question-and-answer,"August 2, 2018",,,,,,,,Other,
210266,question-and-answer,"August 9, 2018",,,,,,,,Other,
210267,question-and-answer,"August 15, 2018",,,,,,,,Other,
210268,question-and-answer,"August 23, 2018",,,,,,,,Other,
210269,question-and-answer,"August 30, 2018",,,,,,,,Other,
210976,question-and-answer,"September 26, 2018",,,,,,,,Other,
212654,question-and-answer,"October 3, 2018",,,,,,,,Other,
212655,question-and-answer,"October 11, 2018",,,,,,,,Other,
212656,question-and-answer,"October 18, 2018",,,,,,,,Other,
212657,question-and-answer,"October 25, 2018",,,,,,,,Other,
215024,question-and-answer,"November 1, 2018",,,,,,,,Other,
215027,question-and-answer,"November 8, 2018",,,,,,,,Other,
215030,question-and-answer,"November 15, 2018",,,,,,,,Other,
215034,question-and-answer,"November 22, 2018",,,,,,,,Other,
215036,question-and-answer,"November 29, 2018",,,,,,,,Other,
215942,question-and-answer,"December 6, 2018",,,,,,,,Other,
215946,question-and-answer,"December 13, 2018",,,,,,,,Other,
217307,question-and-answer,"Performance - ""O Holy Night""",Holiday/Soundtrack,,,,,,,Performance,
217308,question-and-answer,"Performance - ""Have Yourself A Merry Little Christmas""",Holiday/Soundtrack,,,,,,,Performance,
217309,question-and-answer,Performance - The Christmas Song,Holiday/Soundtrack,,,,,,,Performance,
217354,question-and-answer,"January 3, 2019",,,,,,,,Other,
217356,question-and-answer,"January 10, 2019",,,,,,,,Other,
217357,question-and-answer,"January 17, 2019",,,,,,,,Other,
217515,question-and-answer,"December 20, 2018",,,,,,,,Other,
218417,question-and-answer,"January 24, 2019",,,,,,,,Other,
218893,question-and-answer,"January 31, 2019",,,,,,,,Other,
219626,question-and-answer,"February 7, 2019",,,,,,,,Other,
219629,question-and-answer,"February 21, 2019",,,,,,,,Other,
219631,question-and-answer,"February 14, 2019",,,,,,,,Other,
220406,question-and-answer,"February 28, 2019",,,,,,,,Other,
221018,question-and-answer,"March 7, 2019",,,,,,,,Other,
221021,question-and-answer,"March 14, 2019",,,,,,,,Other,
221022,question-and-answer,"March 21, 2019",,,,,,,,Other,
222626,question-and-answer,"March 28, 2019",,,,,,,,Other,
222627,question-and-answer,"April 3, 2019",,,,,,,,Other,
222628,question-and-answer,"April 18, 2019",,,,,,,,Other,
222629,question-and-answer,"April 11, 2019",,,,,,,,Other,
222630,question-and-answer,"April 25, 2019",,,,,,,,Other,
224073,question-and-answer,"May 2, 2019",,,,,,,,Other,
224074,question-and-answer,"May 9, 2019",,,,,,,,Other,
224075,question-and-answer,"May 16, 2019",,,,,,,,Other,
224076,question-and-answer,"May 23, 2019",,,,,,,,Other,
225979,question-and-answer,"May 31, 2019",,,,,,,,Other,
225982,question-and-answer,"June 05, 2019",,,,,,,,Other,
226211,question-and-answer,"June 12, 2019",,,,,,,,Other,
226215,question-and-answer,"June 19, 2019",,,,,,,,Other,
227097,question-and-answer,"June 26, 2019",,,,,,,,Other,
227476,question-and-answer,"July 3, 2019",,,,,,,,Other,
227480,question-and-answer,"July 10, 2019",,,,,,,,Other,
227484,question-and-answer,"July 17, 2019",,,,,,,,Other,
227487,question-and-answer,"July 25, 2019",,,,,,,,Other,
229424,question-and-answer,"August 1, 2019",,,,,,,,Other,
230437,question-and-answer,"August 8, 2019",,,,,,,,Other,
231053,question-and-answer,"August 15, 2019",,,,,,,,Other,
231442,question-and-answer,"August 29, 2019",,,,,,,,Other,
231443,question-and-answer,"August 22, 2019",,,,,,,,Other,
232252,question-and-answer,"September 5, 2019",,,,,,,,Other,
232351,question-and-answer,"September 12, 2019",,,,,,,,Other,
232731,question-and-answer,"September 17, 2019",,,,,,,,Other,
233374,question-and-answer,"September 26, 2019",,,,,,,,Other,
233583,question-and-answer,"October 3, 2019",,,,,,,,Other,
233894,question-and-answer,"October 16, 2019",,,,,,,,Other,
235251,question-and-answer,"October 24, 2019",,,,,,,,Other,
235252,question-and-answer,"October 30, 2019",,,,,,,,Other,
235966,question-and-answer,"November 7, 2019",,,,,,,,Other,
236822,question-and-answer,"November 14, 2019",,,,,,,,Other,
237436,question-and-answer,"November 21, 2019",,,,,,,,Other,
238708,question-and-answer,"November 28, 2019",,,,,,,,Other,
239134,question-and-answer,"December 12, 2019",,,,,,,,Other,
239922,question-and-answer,"December 5, 2019",,,,,,,,Other,
240144,question-and-answer,Live Christmas Party 2019,Holiday/Soundtrack,,,,,,,Other,
