id,type,title,Genre,Essentials-1,Essentials-2,Theory-1,Theory-2,Creativity-1,Creativity-2,Lifestyle-1,Lifestyle-2
216144,student-review,"Nelida, Tim, Jesus, Speen",,Pedaling,,Rhythm,Composition & Arranging,Chording,Improvisation & Songwriting,,
216920,student-review,"Nelida, Tim, Isabella",,Independence,Arpeggios,,,Improvisation & Songwriting,,Practice Tips,
218416,student-review,"Nelida, Salvador",,Independence,,,,Improvisation & Songwriting,,Practice Tips,
219630,student-review,"Nelida, Isabella, Marce",,Finger Strength,,,,Chording,,Practice Tips,
348993,student-review,Landing Solid Chords Together - Ahmed23t,,,Finger Strength,,,,Chording,,
364364,student-review,Finding Hand Independence - Terry,,Independence,,Rhythm,,,,,
364365,student-review,Time Signature In Burlesque - Justyna,Jazz/Blues,,,Rhythm,,,,,
364371,student-review,Gaining More Control - David Buechler,,Finger Strength,,,,,,,
364375,student-review,Practicing With A Metronome - Nicole,,,,Rhythm,,,,,
364377,student-review,Improving Clarity While Playing - Jim,,Pedaling,,Key Signatures/Keys,,,,,
365252,student-review,Developing LH Arpeggios - CasioDreamer,,Arpeggios,,,,,,,
365253,student-review,Diatonic Chords and Solo Piano - Hope player wannabe,,Independence,,Chord & Scale Theory,,Chording,,,
365256,student-review,Fluid Playing - Justikka,Classical,Dynamics,,,,,,,
365257,student-review,Piano Accompaniment Techniques - moleintheground,,Dynamics,,,,Riffs & Fills,,,
365293,student-review,Adding Dynamics To Music - Justyna,,Dynamics,,,,,,,
366179,student-review,How To Play Smooth - Jane In Kyoto,,Finger Strength,,,,,,Practice Tips,
366183,student-review,Developing Gospel Techniques - Nursehearns,Worship/Gospel,Chords & Scales,,,,Chording,,,
366193,student-review,Rhythm & Dynamics With Proper Fingering - Melanie A,,Dynamics,,Rhythm,,,,,
366198,student-review,Creating Good Flow & Dealing With Stage Fright - Carbeach,,Independence,,,,,,Practice Tips,
366203,student-review,Deciding When To Pedal - Blessel,,Pedaling,Dynamics,,,,,,
366213,student-review,Working On Rhythm - Martinbell,,,,Rhythm,,,,,
366224,student-review,Refining Hand Position and Dynamics - ILVA,,Dynamics,Posture,,,,,,
366229,student-review,Playing Hands Together - Grethel,,Chords & Scales,,Chord & Scale Theory,,,,,
366235,student-review,Phrasing Fur Elise - Diana O,Classical,Dynamics,,,,,,,
366884,student-review,A Beginner Jazz Standard - Justikka,Jazz/Blues,,,Chord & Scale Theory,,,,,
366888,student-review,Building On Themes - Allison B,,Independence,,,,,,,
366893,student-review,Bossa Nova Tips - HelenNZ,Latin/World,,,Chord & Scale Theory,,,,,
366899,student-review,Arrangement Techniques - Junith,,Independence,,Composition & Arranging,,,,,
366909,student-review,Adding Depth To A Song - Anja,,,,,,,,Practice Tips,
366912,student-review,Connecting Chords - Ely T,,,,Chord & Scale Theory,,,,,
366916,student-review,Ragtime Techniques - Pajamaman,,Dynamics,,Rhythm,,,,,
366920,student-review,Finger Dexterity & Hand Posture - Neridak,,Posture,Finger Strength,,,,,,
366923,student-review,Keeping Your Tempo & Rhythm On Track - Dick Harbert,,,,Rhythm,,,,,
366925,student-review,Developing Expression With Dynamics - Wendy,,Dynamics,,,,,,Practice Tips,
366930,student-review,Adding Dynamics - Debby,,Dynamics,,,,,,,
367830,student-review,Proper Posture and Fluid Playing - ToluSolako,,Posture,,,,Improvisation & Songwriting,Riffs & Fills,,
367831,student-review,Smooth Transitions - Bruce R,,Arpeggios,Dynamics,,,,,,
367832,student-review,Smoothing Out A Melody - Sixty7Horse,,Posture,Finger Strength,,,,,,
367833,student-review,Bringing A Piece To Performance Level - Ellinor E,,Independence,Speed & Stamina,,,,,,
367834,student-review,Voicing a Melody Line - Nitin78,,Independence,Speed & Stamina,,,,,,
367835,student-review,Learning Fluency With Für Elise - Phil Ger,Classical,Speed & Stamina,,,,,,,
367836,student-review,Phrasing Für Elise - DianaO,Classical,Dynamics,Articulation,,,,,,
367837,student-review,Freedom In The Melody - Justyna,,Posture,Independence,,,,,,
367883,student-review,Playing Fifths - Sereena,,,,Chord & Scale Theory,,,,,
367884,student-review,Curved Fingers For Easier Control - Meganw,,Posture,Finger Strength,,,,,,
367885,student-review,Choose Fingerings To Make Things Easier - Froggy68,,Finger Strength,Posture,,,,,,
368668,student-review,Stretching Your Accompaniment Style - KathyMandell,,,,,,Chording,Riffs & Fills,,
368669,student-review,Next steps:  Root Positions To Inversions - Neridak,,Posture,,Chord & Scale Theory,,,,,
368670,student-review,"Phrasing & Finishing Touches For Chopin's ""Waltz in A Minor"" - Diana O",Classical,Dynamics,Articulation,,,,,,
368722,student-review,"Adding Emotion To Bach's ""Bouree In A Minor"" - Ely T",Classical,Dynamics,,,,,,,
369547,student-review,What's In A Waltz - Leighmforrest,Classical,Finger Strength,,,,,,,
369548,student-review,Maintaining Tempo With Changing Dynamics - Arapulido,,Dynamics,Speed & Stamina,,,,,,
369549,student-review,"Hand & Finger Exercises With ""Through The Mist"" - Botanicman",,Speed & Stamina,Independence,Rhythm,,,,,
369550,student-review,Finger Accuracy and Proper Patterns - Froggy68,,Finger Strength,Speed & Stamina,,,,,,
369551,student-review,Developing Melody & Dynamics - Dave Hopper,,Dynamics,,,,,,,
369552,student-review,Developing Legato Phrasing - Author589goonit,,Articulation,Chords & Scales,,,,,,
369553,student-review,"Developing Dexterity With Coldplay's ""Trouble"" - Mac55",,Finger Strength,,Sight Reading,,,,,
369554,student-review,Bringing A Song To Life - PhilGER,,,,,,,,Practice Tips,
369555,student-review,Breaking Down Your First Waltz - Jan P,Classical,Independence,,Rhythm,,,,,
