id,type,title,Genre,Essentials-1,Essentials-2,Theory-1,Theory-2,Creativity-1,Creativity-2,Lifestyle-1,Lifestyle-2
197014,boot-camps,More Chord Progression Tips And Tricks,,,,Chord & Scale Theory,,Chording,,Practice Tips,
197018,boot-camps,Storylines And Practice Time,,,,,,Improvisation & Songwriting,,Practice Tips,
197028,boot-camps,Major and Minor Keys,,,,Key Signatures/Keys,,,,,
197030,boot-camps,Arpeggios,,Arpeggios,,,,,,,
197034,boot-camps,The Minor Keys (Harmonic and Melodic Minor),,,,Key Signatures/Keys,,,,,
197036,boot-camps,Chord Progression Tips And Tricks,,,,Chord & Scale Theory,,Chording,,,
197038,boot-camps,A Beginner's Guide To Riffs And Runs,,,,,,Riffs & Fills,Improvisation & Songwriting,,
197042,boot-camps,The Blues,Jazz/Blues,,,,,,,,
197051,boot-camps,Hand Independence,,Independence,,,,,,,
197053,boot-camps,The Minor Keys,,,,Key Signatures/Keys,,,,,
197059,boot-camps,Scales and Triads,,Chords & Scales,,,Chord & Scale Theory,Chording,,,
197061,quick-tips,Hand Independence Exercises Made Musical,,Independence,,,,,,,
197075,quick-tips,11th Chords,,,,Chord & Scale Theory,,,,,
197100,quick-tips,Chordhacks,,,,Chord & Scale Theory,,Chording,,,
197104,quick-tips,Choosing A Keyboard,,,,,,,,Gigging Tips & Gear,
197107,quick-tips,Chord Progressions Made Easy,,,,Chord & Scale Theory,,Chording,,,
197115,boot-camps,Warm Up Practice Along With Jordan,,,,,,,,Practice Tips,
197119,quick-tips,Intro To Improv,,,,,,Improvisation & Songwriting,,,
197121,quick-tips,Practice Routines With Cassi,,,,,,,,Practice Tips,
197127,quick-tips,Practice Techniques to Prevent Injury,,,,,,,,Practice Tips,
197129,quick-tips,Getting The Most Out Of Your Scale Practice ft. Deck the Halls,Holiday/Soundtrack,Chords & Scales,,Chord & Scale Theory,,,,Practice Tips,
197131,quick-tips,Intro To The Chord Progression ft. Jingle Bells,Holiday/Soundtrack,,,Chord & Scale Theory,,Chording,,,
197133,quick-tips,Your First Piano Lesson,,Finger Strength,Independence,Chord & Scale Theory,Rhythm,Chording,,Practice Tips,
198620,quick-tips,Playing With Minor & Major 7th Chords,,,,Chord & Scale Theory,,,,,
201875,quick-tips,Incorporating Improv Into Your Practice Routine,,,,,,Improvisation & Songwriting,,Practice Tips,
201877,quick-tips,Adding Color To Simple Chords,,,,Chord & Scale Theory,,Chording,,,
201886,quick-tips,Structuring Your Practice Time,,,,,,,,Practice Tips,
201890,quick-tips,Crescendos & Decrescendos,,Dynamics,,,,,,,
202231,quick-tips,Sustain Pedal Success,,Pedaling,,,,,,,
202234,quick-tips,Identifying Inversions,,,,Chord & Scale Theory,,,,,
202585,quick-tips,3 Tips To Make Your Scales More Exciting,,Chords & Scales,,Chord & Scale Theory,,,,,
202586,quick-tips,Improvising For Total Beginners,,,,,,Improvisation & Songwriting,,,
202589,quick-tips,So You Want To Sound Like A Maestro,,,,Chord & Scale Theory,,,,Practice Tips,
202598,quick-tips,What To Do When You Get Frustrated,,,,,,,,Practice Tips,
202599,quick-tips,Suspended Chords 101,,,,Chord & Scale Theory,,,,,
202603,quick-tips,Piano Practice Hacks For Busy People,,,,,,,,Practice Tips,
203339,quick-tips,Say Goodbye To Embarrassing Mistakes,,,,,,,,Practice Tips,
203342,quick-tips,The Creepiest Riff Ever,,,,,,Riffs & Fills,,,
203343,quick-tips,Playing Your First Jam Session,,,,,,Improvisation & Songwriting,,,
203417,quick-tips,Effortless Mastery,,,,,,,,Practice Tips,
203523,boot-camps,Left Hand Patterns For Improv,,Independence,,,,Improvisation & Songwriting,,,
203675,quick-tips,Identifying Major & Minor Chords,,,,Chord & Scale Theory,Key Signatures/Keys,Chording,,,
205442,quick-tips,The 3-5-1 Riff,,,,Chord & Scale Theory,,Riffs & Fills,,,
206167,quick-tips,The 4 Streams Of Jazz Soloing,Jazz/Blues,,,,,Improvisation & Songwriting,,,
206242,quick-tips,Piano Fills And Riffs,,,,,,Riffs & Fills,,,
206245,quick-tips,"Sight Reading Skills - ""Eine Kleine Nachtmusik""",Classical,,,Chord & Scale Theory,Rhythm,,,,
206247,quick-tips,Gluing Together Your Piano Phrases With Chromaticism,,Chords & Scales,,Chord & Scale Theory,Composition & Arranging,,,,
206248,quick-tips,Brilliant Blues Licks For Piano,Jazz/Blues,,,,,Riffs & Fills,Improvisation & Songwriting,,
207768,quick-tips,How To Make Your Left Hand Better At The Piano,,Independence,,,,,,,
207810,quick-tips,How To Build Complex Chords The Easy Way,,,,Chord & Scale Theory,,Chording,,,
207814,quick-tips,How To Write A Song On The Piano,,,,Composition & Arranging,,Improvisation & Songwriting,,,
207815,quick-tips,Style Switch - Simple Techniques To Switch Up Genre,,,,Chord & Scale Theory,,,,,
207816,quick-tips,How To Play The Piano And Sing At The Same Time,,Independence,,Chord & Scale Theory,,Chording,,,
207817,quick-tips,Sight Reading Focus - Super Mario Theme,,,,Chord & Scale Theory,Rhythm,,,,
209913,quick-tips,The Ultimate Piano Warm-Up Exercise Routine (Only 3 Minutes),,Independence,,,,,,Practice Tips,
209917,quick-tips,How To Actually Use The Circle Of 5ths To Create Chord Progressions,,,,Chord & Scale Theory,,,,,
209918,quick-tips,What Are Dynamics (And How They Make Your Piano Playing Amazing),,Dynamics,,,,,,,
209919,quick-tips,4 Things Most Successful Piano Players Do,,,,,,,,Practice Tips,
209921,quick-tips,How To Play Any Minor Scale On The Piano,,Chords & Scales,,Chord & Scale Theory,Chord & Scale Theory,,,,
209922,quick-tips,Use The 1-5-6-4 Progression To Play Your Favourite Pop Songs,Pop/Rock,,,Chord & Scale Theory,,Chording,,,
209923,quick-tips,The Best Blues Piano Bass Line (Left Hand Blues),Jazz/Blues,,,,,,,,
210704,quick-tips,How Do Major And Minor Keys Affect Emotion,,,,Key Signatures/Keys,Chord & Scale Theory,Improvisation & Songwriting,,,
212414,quick-tips,Chord Feature - The Minor/Major 7th,,,,Chord & Scale Theory,,,,,
212415,quick-tips,Chord Feature - The Mega 7th,,,,Chord & Scale Theory,,,,,
212416,quick-tips,Chord Feature - The Minor 7 Flat 5,,,,Chord & Scale Theory,,,,,
212647,quick-tips,5 Elements Of A Perfect Piano Practice,,,,,,,,Practice Tips,
212649,quick-tips,Proper Posture At The Piano,,,,,,,,,
212650,quick-tips,Proper Hand Posture For Piano,,Finger Strength,,,,,,Practice Tips,
212652,quick-tips,The Blues Scale Formula,Jazz/Blues,Chords & Scales,,Chord & Scale Theory,,,,,
212653,quick-tips,How To Deal With Stage Fright,,,,,,,,Practice Tips,Performance
215025,boot-camps,Beginner Left Hand Bootcamp,,Independence,Finger Strength,,,,,,
215026,quick-tips,3 Great Blues Riffs That Anyone Can Play,Jazz/Blues,,,,,Riffs & Fills,,,
215028,quick-tips,Piano Finger Speed Exercises,,Speed & Stamina,,,,,,Practice Tips,
215029,quick-tips,The Diminished 7th Chord: The Chord of Villainy,,,,Chord & Scale Theory,,Chording,,,
215032,quick-tips,Reading Chord Charts For Piano,,,,Chord & Scale Theory,,Chording,,,
215033,quick-tips,The Major 9th Chord: The Chord Of Morning Light,,,,Chord & Scale Theory,,Chording,,,
215035,quick-tips,Learn How To Play Songs On The Piano By Ear,,,,Chord & Scale Theory,,,,,
215944,quick-tips,Piano Chord Inversions,,,,,,,,,
215945,quick-tips,"How To Play Trills, Embellishments & Ornaments",,Finger Strength,,,,Riffs & Fills,,,
215947,quick-tips,Developing Dexterity On The Keys,,Finger Strength,Speed & Stamina,,,,,,
215950,quick-tips,Hand Independence For Beginners,,Independence,,,,,,,
215951,quick-tips,Tips For Playing Piano Beautifully,,Dynamics,,,,,,Practice Tips,Performance
216144,student-review,"Nelida, Tim, Jesus, Speen",,Pedaling,,Rhythm,Composition & Arranging,Chording,Improvisation & Songwriting,,
216920,student-review,"Nelida, Tim, Isabella",,Independence,Arpeggios,,,Improvisation & Songwriting,,Practice Tips,
217310,boot-camps,Hand Independence Bootcamp For Beginners,,Independence,,,,,,,
217313,quick-tips,Counting Complicated Rhythms,,,,Rhythm,,,,,
217352,quick-tips,Chord Progression Tips & Tricks,,,,Chord & Scale Theory,Composition & Arranging,Chording,,,
218413,quick-tips,Matching Chords To Piano Melodies,,,,Chord & Scale Theory,,Chording,,,
218415,quick-tips,How To Play Scales Hands Together,,Independence,Chords & Scales,Chord & Scale Theory,,,,Practice Tips,
218416,student-review,"Nelida, Salvador",,Independence,,,,Improvisation & Songwriting,,Practice Tips,
218894,quick-tips,Major Montuno with Gabriel Palatchi,,,,,,,,,
218896,quick-tips,Minor Montuno,,Independence,,Key Signatures/Keys,Chord & Scale Theory,,,,
219623,quick-tips,Understanding Intervals,,,,Chord & Scale Theory,,,,,
219624,quick-tips,How To Play A Piano Solo For Beginners,,,,Chord & Scale Theory,,Improvisation & Songwriting,Chording,,
219627,quick-tips,Piano Speed Drills: How To Play Faster And Better,,Speed & Stamina,Independence,,,,,Practice Tips,
219628,quick-tips,12-Bar Blues,Jazz/Blues,,,Chord & Scale Theory,Rhythm,,,,
219630,student-review,"Nelida, Isabella, Marce",,Finger Strength,,,,Chording,,Practice Tips,
220533,quick-tips,The Most Important Interval,,,,Chord & Scale Theory,Composition & Arranging,Improvisation & Songwriting,,,
