id,type,title,Genre,Essentials-1,Essentials-2,Theory-1,Theory-2,Creativity-1,Creativity-2,Lifestyle-1,Lifestyle-2
310416,question-and-answer,Question & Answer,,,,,,,,Podcast,Performance
310434,question-and-answer,Welcome To The Musora Family - Live Celebration!,,,,,,Chords,,Podcast,
311446,question-and-answer,Question & Answer,,,,,,,,Podcast,Practice Tips
311474,question-and-answer,New Student Webinar,,Style,,,,,,Podcast,
311475,question-and-answer,How Do I Identify The Correct Vowel Sounds In A Word?,,,,Rhythm,,,,Podcast,
311478,question-and-answer,What Are Some Extra Tips For Doing The Bubble?,,Vocal Range,,,,,,Podcast,
313534,question-and-answer,Welcome To Singeo! - Live Launch Party Event,,Routines,,,,,,Podcast,
318339,question-and-answer,Is There Anything To Help Us Expand Our Range?,,Style,,,,,,Podcast,
319194,question-and-answer,What In The World Is A Diphthong?,,Breath Support,,,,,,Podcast,
319649,question-and-answer,Can You Teach Me How To Harmonize?,,,,,,,,Podcast,Other
320619,question-and-answer,How Much And What Should We Practice?,,,,Ear Training,,,,Podcast,
321912,question-and-answer,What Is The Difference Between Pop And Opera Singers?,,,,Harmony,,,,Podcast,
322143,question-and-answer,New Student Webinar,,Vocal Range,,,,,,Podcast,
323027,question-and-answer,How To Find A Key Of A Song And Make It Work For You,,,,Harmony,,,,Podcast,
323570,question-and-answer,Why Are Vowels So Important?,,Style,,,,,,Podcast,
323576,question-and-answer,Is It Normal For Your Vocal Weaknesses To Change?,,Breath Support,Routines,,,,,Podcast,
326109,question-and-answer,New Student Webinar,,Vocal Range,,,,,,Podcast,
326113,question-and-answer,How Do You Avoid Damage To Your Vocal Cords?,,Style,,,,,,Podcast,
327685,question-and-answer,Let's Talk About Vibrato,,,,,,,,Podcast,
329665,question-and-answer,Is This Song Out Of My Vocal Range?,,Vocal Range,,,,,,Podcast,
329675,question-and-answer,New Student Webinar,,Routines,,,,,,Podcast,
329728,question-and-answer,How To Avoid Tension While Singing?,,,,Ear Training,,,,Podcast,
329876,question-and-answer,Singeo Winter Recital #1,,Routines,,,,,,Podcast,
329878,question-and-answer,Singeo's 1 Year Anniversary,,,,,,,,,
329881,question-and-answer,Singeo Winter Recital #2,,Routines,,,,,,Podcast,
331454,question-and-answer,Singeo Christmas Party,,Routines,,,,,,Podcast,
334333,question-and-answer,What Is The Easiest Path To Achieve A Mix Voice?,,,,,,Improvisation & Songwriting,,Podcast,
336532,question-and-answer,How Do You Sing On Pitch,,Routines,Vocal Range,,,,,Podcast,
336546,question-and-answer,Can You Explain Vocal Registers?,,Routines,Tension,,,,,Podcast,
337925,question-and-answer,New Student Webinar,,,,,,,,Podcast,Practice Tips
338054,question-and-answer,The Science Of Singing Better Q&A With Darcy D,,,,,,,,Performance,Gigging Tips & Gear
338648,question-and-answer,What Do The Range-Defining Numbers And Letters Mean?,,Vocal Range,,,,,,Podcast,
338655,question-and-answer,What's a Step-By-Step Process For Learning New Songs From Scratch?,,,,,,,,Performance,
338656,question-and-answer,Can You Tell Us More About Belting?,,,,,,,,Performance,
341308,question-and-answer,How Can We Add Our Own Unique Style?,,,,,,,,Performance,
342068,question-and-answer,New Student Webinar,,,,,,,,Performance,
343390,question-and-answer,What Is The Vowel Chart About And How Do We Use It?,,,,,,,,Podcast,Practice Tips
345459,question-and-answer,How Should Singers Breathe?,,,,,,,,Podcast,Performance
345462,question-and-answer,What Is The Difference Between Falsetto And Head Voice?,,,,,,,,Podcast,
348473,question-and-answer,Can You Teach Us How To Sing Harmonies?,,,,,,,,,
349380,question-and-answer,Live Q&A With Sheléa,,,,,,,,,
350330,question-and-answer,How Do I Know If I Am Singing In Head Voice Or Chest Voice?,,,,,,,,Podcast,Practice Tips
351049,question-and-answer,How Do I Know What My Vocal Range Is?,,Vocal Range,,,,,,Podcast,
351165,question-and-answer,New Student Webinar,,,,,,,,Performance,Podcast
351578,question-and-answer,Live With Hailey Benedict,,,,,,,,Performance,Podcast
352460,question-and-answer,New Student Webinar,,Style,,,,,,Podcast,
352463,question-and-answer,How Does Age Affect The Voice?,,,,,,,,Podcast,Practice Tips
353860,question-and-answer,How Can We Overcome Stagefright?,,Pitch,,,,,,Podcast,
354472,question-and-answer,How Can We Identify Damage to the Vocal Cords And Avoid It?,,Vocal Range,,,,,,Podcast,
354678,question-and-answer,New Student Welcome Party,,,,,,,,,
354801,question-and-answer,Sing & Play Live,,,,,,,,,
