id,type,title,Genre,Essentials-1,Essentials-2,Theory-1,Theory-2,Creativity-1,Creativity-2,Lifestyle-1,Lifestyle-2
305330,quick-tips,"Anyone Can Sing, And We'll Prove It",,Routines,,,,,,Performance,
305334,quick-tips,How To Sing & Play Piano (At The Same Time),,,,,,,,Other,Performance
305335,quick-tips,The Most Important Vocal Exercise,,Routines,,,,,,,
305336,quick-tips,Singing Facts & Myths,,Breath Support,,,,,,,
305340,quick-tips,Sing And Play Guitar - Tips And Tricks,,,,,,,,Other,Performance
305342,quick-tips,From Beginner To Frank Sinatra,,Routines,,,,,,Performance,
305344,quick-tips,Easy Singing Warm-Up (7 Minutes),,Routines,,,,,,,
305345,quick-tips,Instantly Improve Your Singing Voice,,Routines,,,,,,,
305346,quick-tips,I Don't Like The Sound Of My Own Voice!,,Routines,,,,,,Performance,
305347,quick-tips,Singing Hacks - How To Hit The High Notes,,Vocal Range,,,,,,,
305349,quick-tips,What Would Beyoncé Do? (Vocal Riffs & Runs),,,,,,Riffs & Runs,,,
305350,quick-tips,Pitch - How To Stop Singing Flat,,Pitch,,,,,,,
309831,quick-tips,Finding Your Unique Voice,,Style,,,,,,,
309833,quick-tips,How To Develop Accurate Pitch,,Pitch,,,,,,,
309836,quick-tips,Lorde - What Makes A Pop Star?,,Style,,,,,,,
309838,quick-tips,"Reacting To ""Butter"" By BTS",,Style,,,,,,Performance,
309844,quick-tips,"The Secret To Singing ""Drivers License""",,,,,,Song Tutorials,,,
309852,quick-tips,Perfect By Ed Sheeran,,,,,,Song Tutorials,,,
310408,quick-tips,Teaching A Metal Guitarist To Sing,,Routines,,,,,,Performance,
310409,quick-tips,How To Sing & Play Drums At The Same Time,,,,,,,,Other,
310411,quick-tips,What's My Vocal Range?,,Vocal Range,,,,,,,
310412,quick-tips,BTS - Some Of The Best Vocalists Today?,,Style,,,,,,Performance,
310413,course,How To Use Singeo,,,,,,,,Practice Tips,
310414,course,Singing Starter Kit,,Style,Pitch,,,,,Performance,
314072,quick-tips,What I Think Simon Cowell Meant To Say Was ...,,Style,,,,,,Performance,
314075,quick-tips,How To Not Embarrass Yourself Singing Karaoke,,,,,,,,Performance,
