Name,Section/Column,Due Date,Tags,Copyright,XP,Instructor,Status - Workouts,Style,Topic Filter,Difficulty,Asset Folder,Video ID - Workouts,Duration,SSID - Workouts,Chapter 1,Chapter 2,Chapter 3,Chapter 4,Chapter 5,Chapter 6,Thumbnail URL,Video Host,Thumbnail Name
Bar Chord Strength,Launch Workouts (January 1st),,,No,200,Sami Ghawi,Ready,Folk,Acoustic,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,889149615,358,r9gwc,Exercise #1:36,Exercise #2:90,Exercise #3:143,Exercise #4:196,Exercise #5:358,Outro:346,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/Bar-Chord-Strength.jpg,Vimeo,bar-chord-strength.jpg
"Changing Between The Pyramid Chords (E, Am, Dm)",Launch Workouts (January 1st),,,No,200,Sami Ghawi,Ready,Folk,Acoustic,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,889836742,655,wKgwc,Exercise #1:35,Exercise #2:215,Exercise #3:323,Exercise #4:431,Exercise #5:539,Outro:635,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/Changing-Pyramid-Chords-e-am-dm.jpg,Vimeo,changing-between-the-pyramid-chords-e-am-dm.jpg
Reggae and Ska Strumming Pattern,Launch Workouts (January 1st),,,No,200,Sami Ghawi,Ready,Latin/World,Acoustic,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,889214938,364,W-gwc,Exercise #1:36,Exercise #2:195,Exercise #3:270,Exercise #4:323,Outro:345,,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/Reggae-And-Ska-Strumming-Pattern.jpg,Vimeo,reggae-and-ska-strumming-pattern.jpg
Jim N Jack Strumming Pattern With Pick,Launch Workouts (January 1st),,,No,200,Sami Ghawi,Ready,Folk,Acoustic,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,888773110,617,dKgwc,Exercise #1:24,Exercise #2:72,Exercise #3:120,Exercise #4:232,Exercise #5:344,Outro:601,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/Jim-N-Jack-Strumming-pattern-with-pick.jpg,Vimeo,jim-n-jack-strumming-pattern-with-pick.jpg
Major Scale Warmup,Launch Workouts (January 1st),,,No,200,Kent Shores,Ready,Pop,Acoustic,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,889865851,671,1lhwc,Exercise #1:31,Exercise #2:175,Exercise #3:255,Exercise #4:335,Exercise #5:575,Wrap Up:639,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/Beginner-Major-Scale-Warmup.jpg,Vimeo,major-scale-warmup.jpg
5 Minute Fingerstyle Warmup,Launch Workouts (January 1st),,,No,200,Dave Martone,Ready,Folk,Acoustic,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,889805552,353,xmQwc,Exercise #1:30,Exercise #2:102,Exercise #3:184,Exercise #4:266,Outro:338,,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/5-Minute-Fingerstyle-Warmup.jpg,Vimeo,5-minute-fingerstyle-warmup.jpg
Fretboard Knowledge,Launch Workouts (January 1st),,,No,200,Dave Martone,Ready,Pop,Acoustic,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,888767143,355,GmQwc,Exercise #1:38,Exercise #2:113,Exercise #3:193,Exercise #4:268,Wrap Up:337,,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/Beginner-Fretboard-Knowledge.jpg,Vimeo,fretboard-knowledge.jpg
10-Minute Picking Warmup,Launch Workouts (January 1st),,,No,200,Alex Flock,Ready,Folk,Acoustic,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,887328728,634,WPswc,Exercise #1:21,Exercise #2:160,Exercise #3:298,Exercise #4:461,Outro:641,,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/10-Minute-Picking-Warmup.jpg,Vimeo,10minute-picking-warmup.jpg
Power Chords And Finger Walks Warmup,Launch Workouts (January 1st),,,No,200,Dave Martone,Ready,Folk,Acoustic,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,890193914,727,lmQwc,Warm Up/Finger Walk #1:64,Chords/Blues:216,Finger Walk #2/Blues Variation #2:352,Finger Walk #3/Blues Variation #3:504,Wrap Up:696,,https://d1923uyy6spedc.cloudfront.net/Power-Chords-and-Finger-Walks-warmup-1702661395.jpg,Vimeo,power-chords-and-finger-walks-warmup.jpg
Finger Dexterity Warmup,Launch Workouts (January 1st),,,No,200,Kent Shores,Ready,Rock,Acoustic,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,890146808,363,fcCwc,Exercise #1:28,Exercise #2:252,Exercise #3:300,Wrap Up:332,,,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/Beginner-Finger-Dexterity-Warmup.jpg,Vimeo,finger-dexterity-warmup.jpg
