Name,Section/Column,Due Date,Tags,Copyright,XP,Instructor,Style,Topic Filter,Difficulty,Asset Folder,Video ID - Workouts,Duration,SSID - Workouts,Chapter 1,Chapter 2,Chapter 3,Chapter 4,Chapter 5,Chapter 6,Thumbnail URL,Video Host,Thumbnail Name
Beginner C Major Scale,January 1st Workouts Launch,,,No,200,Lisa Witt,,Scales,2,https://drive.google.com/drive/folders/1BPOKgFgxhbK617fIo77r2iV2pjHfIdSr?usp=drive_link,880678119,363,M4MYc,Intro:0,Right Hand - Slow:15,Left Hand - Slow:152,Hands Together:290,Outro:346,,https://musora-web-platform.s3.amazonaws.com/workouts/pianote/beginner-c-major-scale.jpg,Vimeo,beginner-c-major-scale.jpg
Beginner G Major Scale,January 1st Workouts Launch,,,No,200,Lisa Witt,,Scales,2,https://drive.google.com/drive/folders/1BPOKgFgxhbK617fIo77r2iV2pjHfIdSr?usp=drive_link,880582116,356,ZyMYc,Right Hand - Slow:19,Left Hand - Slow:47,Right Hand - Fast:102,Left Hand - Fast:184,Hands Together:267,Outro:350,https://musora-web-platform.s3.amazonaws.com/workouts/pianote/beginner-g-major-scale.jpg,Vimeo,beginner-g-major-scale.jpg
Beginner F Major Scale,January 1st Workouts Launch,,,No,200,Lisa Witt,,Scales,2,https://drive.google.com/drive/folders/1BPOKgFgxhbK617fIo77r2iV2pjHfIdSr?usp=drive_link,880676688,368,qwMYc,Right Hand - Slow:17,Left Hand - Slow:99,Right Hand - Fast:127,Left Hand - Fast:209,Hands Together:305,Outro:347,https://musora-web-platform.s3.amazonaws.com/workouts/pianote/beginner-f-major-scale.jpg,Vimeo,beginner-f-major-scale.jpg
Beginner D Major Scale,January 1st Workouts Launch,,,No,200,Lisa Witt,,Scales,2,https://drive.google.com/drive/folders/1BPOKgFgxhbK617fIo77r2iV2pjHfIdSr?usp=drive_link,880977680,367,QYMYc,Left Hand - Slow:16,Right Hand - Slow:57,Right Hand - Fast:98,Left Hand - Fast:180,Hands Together:249,Outro:345,https://musora-web-platform.s3.amazonaws.com/workouts/pianote/beginner-d-major-scale.jpg,Vimeo,beginner-d-major-scale.jpg
Beginner A Minor Scale,January 1st Workouts Launch,,,No,200,Lisa Witt,,Scales,2,https://drive.google.com/drive/folders/1BPOKgFgxhbK617fIo77r2iV2pjHfIdSr?usp=drive_link,880681245,356,vYMYc,Right Hand - Slow:17,Left Hand - Slow:72,Right Hand - Fast:127,Left Hand - Fast:209,Hands Together - Slow:264,Outro:347,https://musora-web-platform.s3.amazonaws.com/workouts/pianote/beginner-a-minor-scale.jpg,Vimeo,beginner-a-minor-scale.jpg
Beginner E Minor Scale,January 1st Workouts Launch,,,No,200,Lisa Witt,,Scales,2,https://drive.google.com/drive/folders/1BPOKgFgxhbK617fIo77r2iV2pjHfIdSr?usp=drive_link,879976310,355,bgVYc,Left Hand Slow:18,Right Hand Slow:73,Left Hand Fast:128,Right Hand Fast:196,Hands Together:265,Outro:348,https://musora-web-platform.s3.amazonaws.com/workouts/pianote/beginner-e--minor-scale.jpg,Vimeo,beginner-e-minor-scale.jpg
Beginner D Minor Scale,January 1st Workouts Launch,,,No,200,Lisa Witt,,Scales,2,https://drive.google.com/drive/folders/1BPOKgFgxhbK617fIo77r2iV2pjHfIdSr?usp=drive_link,879979741,355,llMYc,Right Hand - Slow:16,Left Hand - Slow:70,Right Hand - Fast:125,Left Hand - Fast:207,Hands Together:262,Outro:345,https://musora-web-platform.s3.amazonaws.com/workouts/pianote/beginner-d-minor-scale.jpg,Vimeo,beginner-d-minor-scale.jpg
Beginner B Minor Scale,January 1st Workouts Launch,,,No,200,Lisa Witt,,Scales,2,https://drive.google.com/drive/folders/1BPOKgFgxhbK617fIo77r2iV2pjHfIdSr?usp=drive_link,879976703,363,dlMYc,Left Hand - Slow:16,Right Hand - Slow:71,Left Hand - Fast:154,Right Hand - Fast:208,Hands Together:291,Outro:346,https://musora-web-platform.s3.amazonaws.com/workouts/pianote/beginner-b-minor-scale.jpg,Vimeo,beginner-b-minor-scale.jpg
Beginner C Major Arpeggio,January 1st Workouts Launch,,,No,200,Lisa Witt,,Arpeggios,3,https://drive.google.com/drive/folders/1BPOKgFgxhbK617fIo77r2iV2pjHfIdSr?usp=drive_link,879977137,355,GjMYc,Right Hand - One Octave:16,Left Hand - One Octave:88,Hands Together - One Octave:160,Double Time:202,Two Octaves Prep:263,Outro:346,https://musora-web-platform.s3.amazonaws.com/workouts/pianote/beginner-c-major-arpeggio.jpg,Vimeo,beginner-c-major-arpeggio.jpg
Beginner G Major Arpeggio,January 1st Workouts Launch,,,No,200,Lisa Witt,,Arpeggios,3,https://drive.google.com/drive/folders/1BPOKgFgxhbK617fIo77r2iV2pjHfIdSr?usp=drive_link,880588564,356,qPMYc,Hands Separately - One Octave Slow:13,Hands Together - One Octave Slow:95,Hands Separately - One Octave Fast:136,Hands Together - One Octave Fast:218,Two Octaves Practice:239,Outro:343,https://musora-web-platform.s3.amazonaws.com/workouts/pianote/beginner-g-major-arpeggio.jpg,Vimeo,beginner-g-major-arpeggio.jpg
