Name,Section/Column,Due Date,Tags,Parent task,Copyright,XP,Instructor,Style,Topic Filter,Difficulty,Asset Folder,Video ID - Workouts,Duration,SSID - Workouts,Chapter 1,Chapter 2,Chapter 3,Chapter 4,Chapter 5,Chapter 6,Thumbnail URL,Video Host,Thumbnail Name
Ascending Vowel Agility Through The Registers,Launch Workouts (January 1st),2023-11-23,,Raymond Salgado - Workouts (Singeo),No,200,Raymond Salgado,,Technique,2,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,889355272,236,RfwYc,Intro:0,Warm-Up:8,More Intricate Ascent:117,Outro:230,,,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/ascending-vowel-agility-through-the-registers.jpg,Vimeo,ascending-vowel-agility-through-the-registers.jpg
"Harmony Practice - ""Stand By Me""",Launch Workouts (January 1st),2023-12-01,,,Yes,200,Julia Ziegler,R&B/Soul,Song,4,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,12nmsaVc9m8,465,6z2Yc,Intro:0,Singing The Melody:26,Adding A Harmony:115,Learn The Harmony:254,Keep Singing The Harmony:363,Outro:447,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/harmony-practice-stand-by-me.jpg,YouTube,harmony-practice-stand-by-me.jpg
Develop Your Mixed Voice,Launch Workouts (January 1st),2023-12-01,,,No,200,Julia Ziegler,,Technique,1,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,890496376,630,Fl2Yc,Slide On “Ng”:29,“Yeah” Descending Pattern:170,"“Nay”, “Nea” And “No” Octave Repeat:283",“Bip” And “Bup” Same Scale:455,Bratty Bubble:537,Outro:615,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/develop-your-mixed-voice.jpg,Vimeo,develop-your-mixed-voice.jpg
Develop Your Head Voice,Launch Workouts (January 1st),2023-12-01,,,No,200,Julia Ziegler,,Technique,1,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,890467334,597,gY2Yc,“Ee” On A Slide:67,High Range Bubble:162,Octave Repeat On “Oo”:269,5-Note Descending Pattern On “Ee”:378,"Wind Down On ""You"":483",Outro:587,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/develop-your-head-voice.jpg,Vimeo,develop-your-head-voice.jpg
Descending Vowel Agility Through The Registers,Launch Workouts (January 1st),2023-11-23,,Raymond Salgado - Workouts (Singeo),No,200,Raymond Salgado,,Technique,3,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,889847174,235,jfwYc,Intro:0,"Descending Scales On e, a, i, o, u:4",Break:111,More Intricate Descending Scale:116,Outro:230,,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/descending-vowel-agility-through-the-registers.jpg,Vimeo,descending-vowel-agility-through-the-registers.jpg
Vocal Riff Patterns on Vowels,Launch Workouts (January 1st),2023-11-23,,Raymond Salgado - Workouts (Singeo),No,200,Raymond Salgado,,Technique,5,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,889856551,415,NxwYc,Intro:0,"Running On ""Ee”:8",Run On “Oh”:37,Adding Some Spice:60,A New Set Of Runs:111,Outro:411,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/vocal-riff-patterns-on-vowels.jpg,Vimeo,vocal-riff-patterns-on-vowels.jpg
R&B Vocal Riff Patterns,Launch Workouts (January 1st),2023-11-23,,Raymond Salgado - Workouts (Singeo),No,200,Raymond Salgado,R&B/Soul,Technique,6,https://drive.google.com/drive/folders/1Va8U1bLL0-WkkpBdojATjrz7ynA_GfJl?usp=drive_link,890157384,304,VxwYc,Humming Riff:5,"Riff On “Oo”, ""Yay"" and ""Woo"":64",Humming Riff No. 2:128,Riff On “Oh”:149,Humming Riff No. 3:194,Outro:299,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/randb-vocal-riff-patterns.jpg,Vimeo,randb-vocal-riff-patterns.jpg
Raymond's Warm-Up,Launch Workouts (January 1st),2023-11-23,,Raymond Salgado - Workouts (Singeo),No,200,Raymond Salgado,,Essentials,1,https://drive.google.com/drive/folders/1Va8U1bLL0-WkkpBdojATjrz7ynA_GfJl?usp=drive_link,890160433,230,tfwYc,Intro:0,Lip Trills:7,Nay Scale:128,Outro:226,,,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/raymonds-warmup.jpg,Vimeo,raymonds-warmup.jpg
Vocal Reset,Launch Workouts (January 1st),2023-11-02,,,No,200,Lisa Witt,,Technique,1,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,889353633,307,lbYYc,Singing On The Bubble:10,Humming:45,Singing Woof:81,Singing Foo:158,Fill Your Cheeks:207,Outro:293,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/vocal-reset.jpg,Vimeo,vocal-reset.jpg
Unwind Your Voice,Launch Workouts (January 1st),2023-11-02,,,No,200,Lisa Witt,,Technique,1,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,890161810,310,mPlYc,"""Hoo"" Walking Down:23",Puffy Cheeks:119,"One, Five, One On The Bubble:200","""Foo"" Descending Line:246",Woof Descending Line:270,Outro:292,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/unwind-your-voice.jpg,Vimeo,unwind-your-voice.jpg
Singing Major Chord Tones,Launch Workouts (January 1st),2023-11-02,,,No,200,Lisa Witt,,Ear-Training,1,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,889350137,359,RJYYc,Intro:0,"Singing One, Three, Five:21",Mixing It Up:92,Starting On Five:159,Going Higher:227,Outro:343,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/singing-major-chord-tones.jpg,Vimeo,singing-major-chord-tones.jpg
Minor Key Workout,Launch Workouts (January 1st),2023-11-10,,,No,200,Julia Ziegler,,Scales,1,https://drive.google.com/file/d/1nJt8YPlTF-FeVbTTcxuWd-TU5Ycg20WH/view?usp=drive_link,890078899,569,TvkYc,Hum Pattern:35,No And Oh:151,Boo Octave Arpeggio:289,Long Scale Bubble:376,Long “Hoo”:473,Outro:555,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/minor-key-workout.jpg,Vimeo,minor-key-workout.jpg
Singing With Dynamics,Launch Workouts (January 1st),2023-11-01,,,No,200,Lisa Witt,,Technique,2,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,888819107,427,R8Gwc,Intro:0,Loud And Soft:25,Crescendos And Decrescendos:100,"Key Change, Loud And Soft:216","New Key, Crescendos And Decrescendos:292",Outro:398,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/singing-with-dynamics.jpg,Vimeo,singing-with-dynamics.jpg
Balancing Bratty And Dopey,Launch Workouts (January 1st),2023-11-02,,,No,200,Lisa Witt,,Technique,1,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,890073759,362,Hv6wc,"Normal, Bratty, Dopey Bubble:26",“Nuh” Pattern:86,“Gug” Pattern:152,“Bup” Pattern:295,“Uh” Pattern:327,Outro:341,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/balancing-bratty-and-dopey.jpg,Vimeo,balancing-bratty-and-dopey.jpg
Lisa's Warm-Up,Launch Workouts (January 1st),2023-11-01,,,No,200,Lisa Witt,,Essentials,1,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,890152087,428,3Q4Yc,Puffy Cheeks:21,"""Ng"" Long Scale:93",Meow And Woof Sounds:228,"""Buh"" Octave Repeat:297","""Hoo"" Exercise:366",Outro:416,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/lisas-warmup.jpg,Vimeo,lisas-warmup.jpg
Preparing To Sing,Launch Workouts (January 1st),2023-11-10,,,No,200,Julia Ziegler,,Essentials,1,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,889201215,461,bMwYc,Notice The Breath:48,Stretches:91,Neck Massage:207,Stick Out Your Tongue And Hisses:331,Box Breathing:383,Outro:444,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/preparing-to-sing.jpg,Vimeo,preparing-to-sing.jpg
Interval Practice,Launch Workouts (January 1st),2023-10-23,,,No,200,Lisa Witt,,Ear-Training,1,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,878066675,293,FXtwc,Intro:0,Interval Practice:28,Interval Practice New Key:116,Interval Practice Up One Key:196,Outro:278,,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/interval-practice.jpg,Vimeo,interval-practice.jpg
Balanced Resistance Training,Launch Workouts (January 1st),2023-09-22,,,No,200,Darcy D,,Technique,1,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,878025183,313,M61wc,Intro:0,Vowel Sounds Exercise:22,Vowel Sounds Exercise With Humming:79,"Vowel Sounds Exercise On ""Eh"":149","""Hum"" ""Me"" ""Hum"" ""Eh"" ""Hum"" Exercise:223",Outro:302,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/balanced-resistance-training.jpg,Vimeo,balanced-resistance-training.jpg
Bubble Warm-Up,Launch Workouts (January 1st),2023-09-13,,,No,200,Julia Ziegler,,Essentials,1,https://drive.google.com/drive/folders/1gg1RIBCLzID2bkaTODYUQzxvWLNpgBF0?usp=drive_link,890182348,350,bhqwc,Intro:0,Sirens:40,Octave arpeggios:133,Long scale exercise:208,Outro:347,,https://musora-web-platform.s3.amazonaws.com/workouts/singeo/bubble-warmup.jpg,Vimeo,bubble-warmup.jpg
