id,slug,title,brand,type,difficulty,xp,status,published_on,total_xp,parent_id,child_position,soundslice_slug,registration_url,topic,instructor,description,thumbnail_url,original_thumbnail_url,logo_image_url,header_image_url,chapter_1_desc,chapter_2_desc,chapter_3_desc,chapter_4_desc,chapter_5_desc,chapter_6_desc,chapter_1_timecode,chapter_2_timecode,chapter_3_timecode,chapter_4_timecode,chapter_5_timecode,chapter_6_timecode,duration,vimeo_video_id,youtube_video_id
398563,30-day-blues,30-Day Blues,pianote,challenge,5,150,published,2023-12-28 08:01:00,3450,NULL,NULL,NULL,https://www.musora.com/pianote/enrollment/30-day-blues-piano,Technique,Kevin Castro,NULL,https://d1923uyy6spedc.cloudfront.net/30dbp-1920x1080-w-logo-1691528960.png,https://d1923uyy6spedc.cloudfront.net/30dbp-1920x1080-w-logo-1691528960.png,https://d1923uyy6spedc.cloudfront.net/30dbp-logo-white-290-1690578527.png,https://d1923uyy6spedc.cloudfront.net/30dbp-pack-header-1690578744.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
398587,30-day-chops,30-Day Chops,drumeo,challenge,5,150,published,2023-12-28 08:01:00,3255,NULL,NULL,NULL,https://beta-testing.musora.com/drumeo/enrollment/30-day-chops,Grooves,Zack Grooves,"<p>Learn to explode creatively around the drums. <em>30-Day Chops</em> will teach you the fundamentals of drum chops through consistent daily practice. By the end of the month, you'll have a new arsenal of chops to help you explode in 1, 2, and 4 bar patterns anytime the song calls for it.</p>",https://d1923uyy6spedc.cloudfront.net/30DayChops-Banner-1683560940.jpg,https://d1923uyy6spedc.cloudfront.net/30DayChops-Banner-1683560940.jpg,https://d1923uyy6spedc.cloudfront.net/30DayChops-Logo-1683560809.png,https://d1923uyy6spedc.cloudfront.net/30DayChops-Header-No-Logo-1683566896.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
398609,acoustic-guitarists-start-here,Acoustic Guitarists Start Here,guitareo,challenge,1,100,published,2023-12-28 08:01:00,2500,NULL,NULL,NULL,NULL,Acoustic,Ayla Tesler-Mabe,NULL,https://d1923uyy6spedc.cloudfront.net/Acoustic Guitarists Start Here_Mobile copy 4-1700774549.jpg,https://d1923uyy6spedc.cloudfront.net/Acoustic Guitarists Start Here_Mobile copy 4-1700774549.jpg,https://d1923uyy6spedc.cloudfront.net/Acoustic Guitarists Start Here-1700774582.png,https://d1923uyy6spedc.cloudfront.net/Acoustic Guitarists Start Here_Mobile copy 3-1700774577.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
398635,30-day-drummer,30-Day Drummer,drumeo,challenge,1,100,published,2023-12-28 08:01:00,2500,NULL,NULL,NULL,NULL,30-Day Drummer,Domino Santantonio,"<p><em>30-Day Drummer: Season 3</em> is the next evolution on learning how to play drums – where you learn by actually playing the drums. By focusing on timing &amp; coordination, you’ll build your skills over thirty days following daily guided workouts with your instructor, Domino Santantonio.</p>",https://d1923uyy6spedc.cloudfront.net/30DayDrummer-16x9-1702425557.jpg,https://d1923uyy6spedc.cloudfront.net/30DayDrummer-16x9-1702425557.jpg,https://d1923uyy6spedc.cloudfront.net/30DayDrummer-Logos-07-1702425574.svg,https://d1fyshwdvi6fth.cloudfront.net/Drumeo/carousels/c81fc533-403d-4b98-9ee0-b18bbe375cdb-Desktop.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
398697,sing-better-in-30-days,Sing Better In 30 Days!,singeo,challenge,1,100,published,2023-12-28 08:01:00,2200,NULL,NULL,NULL,NULL,Essentials,Lisa Witt,NULL,https://d1923uyy6spedc.cloudfront.net/BetterSingerIn30Days-CourseCards_Mobile-16x9-1701276184.jpg,https://d1923uyy6spedc.cloudfront.net/BetterSingerIn30Days-CourseCards_Mobile-16x9-1701276178.jpg,https://d1923uyy6spedc.cloudfront.net/BetterSingerIn30Days-CourseCards-05-1702568047.svg,https://d1923uyy6spedc.cloudfront.net/test4-1702671467.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
398724,new-piano-players-start-here,New Piano Players Start Here,pianote,challenge,1,100,published,2023-12-28 08:01:00,2300,NULL,NULL,NULL,NULL,Essentials,Lisa Witt,"<p>Learning to play the piano is a lot of fun when you get to practice with Lisa on a day-to-day basis. In the next few weeks, you will gain the skills you need to play songs like a pro. You'll go step-by-step, building on skills that you learn as you work through each day. This will be a lot of fun, so let's jump right in!</p>",https://d1923uyy6spedc.cloudfront.net/YT-thumb-1920x1080_13-1676068982.jpg,https://d1923uyy6spedc.cloudfront.net/YT-thumb-1920x1080_13-1676068982.jpg,https://d1923uyy6spedc.cloudfront.net/SVG-red-highlight-1675374984.png,https://d1923uyy6spedc.cloudfront.net/1920x1080-centered-1675372872.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
398747,easy-chords,Easy Chords,pianote,challenge,3,100,published,2023-12-28 08:01:00,2300,NULL,NULL,NULL,NULL,Essentials,Lisa Witt,<p>Welcome to Easy Chords! Join Lisa and get excited about unlocking the magic of inversions. Inversion will take your from playing basic chords to making them sound amazing.</p>,https://d1923uyy6spedc.cloudfront.net/EasyChords-16x9-logo-1683323475.jpg,https://d1923uyy6spedc.cloudfront.net/EasyChords-16x9-logo-1683323475.jpg,https://d1923uyy6spedc.cloudfront.net/EasyChords_Easy-Chord-white2-1683242117.png,https://d1923uyy6spedc.cloudfront.net/EasyChords-16x9-v3-1683242775.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
398772,5-levels-of-the-1-5-6-4,5 Levels Of The 1-5-6-4,pianote,challenge,5,150,published,2023-12-28 08:01:00,750,NULL,NULL,NULL,NULL,Chording,David Bennett,NULL,https://d1923uyy6spedc.cloudfront.net/CourseThumb-1701206702.jpg,https://d1923uyy6spedc.cloudfront.net/CourseThumb-1701206702.jpg,https://d1923uyy6spedc.cloudfront.net/5LevelsOfThe1-5-6-4-11-1701388090.png,https://d1923uyy6spedc.cloudfront.net/5LevelsOfThe1-5-6-4-HeaderBanner-1701388101.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
398788,10-day-ghost-notes,10-Day Ghost Notes,drumeo,challenge,2,100,published,2023-12-28 08:01:00,1100,NULL,NULL,NULL,NULL,Grooves,Domino Santantonio,NULL,https://d1923uyy6spedc.cloudfront.net/GhostNotes-PackCards_Mobile copy 4-1695855891.jpg,https://d1923uyy6spedc.cloudfront.net/GhostNotes-PackCards_Mobile copy 4-1695855891.jpg,https://d1923uyy6spedc.cloudfront.net/GhostNotesLogo-1702680500.svg,https://d1923uyy6spedc.cloudfront.net/Headers-Ghost-Notes-Fills-01-1701991220.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
398799,10-day-fills,10-Day Fills,drumeo,challenge,2,100,published,2023-12-28 08:01:00,1100,NULL,NULL,NULL,NULL,Creativity,Domino Santantonio,"<p>Welcome to <em>10-Day Fills</em>! In this 10-day challenge, Domino will show you four easy drum fills that you can start playing right now. By the end of the series, you will be playing all of these fills, along with a full song!</p>",https://d1923uyy6spedc.cloudfront.net/Fills-PackCards-WithLogo-1695855950.jpg,https://d1923uyy6spedc.cloudfront.net/Fills-PackCards-WithLogo-1695855950.jpg,https://d1923uyy6spedc.cloudfront.net/FillsLogo--1702680617.svg,https://d1923uyy6spedc.cloudfront.net/Headers-Ghost-Notes-Fills-02-1701991165.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
