id,type,brand,assignment_id,soundslice_slug,length_in_seconds
13595,song,drumeo,260521,1D6Vc,302
13796,song,drumeo,261953,xptVc,231
13945,song,drumeo,260564,TkFVc,237
19307,song,drumeo,260581,169812,278
19758,song,drumeo,260483,9ZnVc,331
19806,song,drumeo,260535,169810,221
19999,song,drumeo,260285,7ZnVc,251
20249,song,drumeo,260317,169808,171
21264,song,drumeo,260532,169802,291
21350,song,drumeo,260352,169801,370
21376,song,drumeo,260672,169798,306
21576,song,drumeo,260546,PzgVc,296
21846,song,drumeo,260428,RtYcc,166
22154,song,drumeo,260452,2tYcc,234
22166,song,drumeo,260491,ztYcc,465
22613,song,drumeo,260533,169789,316
22734,song,drumeo,260474,PZnVc,271
22855,song,drumeo,260561,169787,259
22981,song,drumeo,260539,4QYcc,243
23042,song,drumeo,260364,MQYcc,341
23126,song,drumeo,260501,DQYcc,294
23450,song,drumeo,260476,169627,206
23454,song,drumeo,260427,169626,219
23527,song,drumeo,260640,169625,190
23556,song,drumeo,260426,169624,342
23820,song,drumeo,260588,169232,269
23826,song,drumeo,260534,224828,270
23856,song,drumeo,260466,225202,272
24244,song,drumeo,260410,163564,357
24252,song,drumeo,260443,163562,251
24391,song,drumeo,260688,169231,286
24559,song,drumeo,260605,163402,257
24670,song,drumeo,260391,163286,260
24733,song,drumeo,260421,162962,234
24769,song,drumeo,260407,163274,193
24882,song,drumeo,260568,169223,249
24947,song,drumeo,260611,163133,209
24985,song,drumeo,260355,163130,216
25013,song,drumeo,260389,163125,292
25221,song,drumeo,260673,163124,384
25244,song,drumeo,260318,163121,172
25270,song,drumeo,260473,162936,301
25335,song,drumeo,260488,169226,517
25548,song,drumeo,260512,162932,302
25556,song,drumeo,260540,169230,294
26195,song,drumeo,260331,162928,248
27164,song,drumeo,260468,hkgVc,216
27190,song,drumeo,260292,162636,209
27245,song,drumeo,260615,173467,259
27593,song,drumeo,260406,162895,183
27843,song,drumeo,260582,227161,299
27845,song,drumeo,260475,162893,233
28218,song,drumeo,260303,162892,222
28330,song,drumeo,260390,162635,273
29092,song,drumeo,260567,227104,289
29239,song,drumeo,260498,169162,888
29244,song,drumeo,260653,162624,167
29250,song,drumeo,260612,162623,220
29755,song,drumeo,260538,176791,220
30373,song,drumeo,260701,162480,302
31104,song,drumeo,260337,162475,234
31143,song,drumeo,260340,162473,213
31234,song,drumeo,260608,162471,183
31246,song,drumeo,260585,161933,255
31532,song,drumeo,260351,162463,191
190995,song,drumeo,260467,162136,240
203872,song,drumeo,260312,169227,302
210724,song,drumeo,260681,173091,281
214898,song,drumeo,260334,182346,286
220948,song,drumeo,260543,200747,393
221443,song,drumeo,260676,202321,239
260283,song,drumeo,260284,8qnVc,235
260286,song,drumeo,260287,p1nVc,310
260288,song,drumeo,260289,229550,207
260290,song,drumeo,260291,yR5Vc,292
260293,song,drumeo,260294,6MgVc,357
260295,song,drumeo,260296,lR5Vc,269
260297,song,drumeo,260298,-kgVc,293
260299,song,drumeo,260300,4R5Vc,377
260301,song,drumeo,260302,2R5Vc,341
260304,song,drumeo,260305,tStVc,252
260306,song,drumeo,260307,221321,302
260308,song,drumeo,260309,5ZQVc,349
260310,song,drumeo,260311,gStVc,329
