id,type,brand,assignment_id,soundslice_slug,length_in_seconds
377661,song,guitareo,377662,8fGkc,252
377663,song,guitareo,377664,ZCD4c,249
377665,song,guitareo,377666,pzf4c,318
377667,song,guitareo,377668,fLD4c,215
377669,song,guitareo,377670,bCf4c,292
377671,song,guitareo,377672,Ypy4c,296
377673,song,guitareo,377674,NB24c,234
377675,song,guitareo,377676,tHY4c,285
377677,song,guitareo,377678,g9k4c,284
377679,song,guitareo,377680,1544c,196
377681,song,guitareo,377682,V744c,251
377683,song,guitareo,377684,S844c,257
377685,song,guitareo,377686,qg44c,251
377687,song,guitareo,377688,lqhkc,237
377689,song,guitareo,377690,b8k4c,231
377691,song,guitareo,377692,DbM4c,247
377693,song,guitareo,377694,Gly4c,127
377695,song,guitareo,377696,vYY4c,272
377697,song,guitareo,377698,qjl4c,165
377699,song,guitareo,377700,Y8D4c,252
377701,song,guitareo,377702,VsD4c,265
377703,song,guitareo,377704,Mxtkc,163
377705,song,guitareo,377706,z6D4c,216
377707,song,guitareo,377708,HfM4c,144
377709,song,guitareo,377710,Ly44c,202
377711,song,guitareo,377712,MP44c,238
377713,song,guitareo,377714,Vt44c,208
377715,song,guitareo,377716,3Kk4c,253
377717,song,guitareo,377718,Lmk4c,245
377719,song,guitareo,377720,5YM4c,215
377721,song,guitareo,377722,cHM4c,240
377723,song,guitareo,376422,JN5kc,149
377724,song,guitareo,377725,5qw4c,213
377726,song,guitareo,377727,L4y4c,210
377728,song,guitareo,377729,yQw4c,244
377730,song,guitareo,377731,8yY4c,220
377732,song,guitareo,377733,K1y4c,178
377734,song,guitareo,377735,9dy4c,170
377736,song,guitareo,377737,Lrk4c,251
377738,song,guitareo,377739,xN44c,211
377740,song,guitareo,377741,NN44c,286
377742,song,guitareo,376424,zDf4c,225
377743,song,guitareo,377744,VS5kc,125
377745,song,guitareo,376426,dff4c,191
377746,song,guitareo,377747,4N44c,185
377748,song,guitareo,377749,qMR4c,201
377750,song,guitareo,377751,7xl4c,342
377752,song,guitareo,377753,pZl4c,216
377754,song,guitareo,377755,PC5kc,165
377756,song,guitareo,377757,t2Y4c,168
377758,song,guitareo,377759,yN44c,308
377760,song,guitareo,377761,jKtkc,357
377762,song,guitareo,377763,nC5kc,226
377764,song,guitareo,376428,P4c4c,232
377765,song,guitareo,376430,M-mkc,173
377766,song,guitareo,377767,7jY4c,230
377768,song,guitareo,383465,hjz4c,220
377770,song,guitareo,377771,B544c,217
377772,song,guitareo,376432,zzN4c,133
377773,song,guitareo,377774,Qc24c,252
377775,song,guitareo,377776,rV24c,208
377777,song,guitareo,377778,HWy4c,219
377779,song,guitareo,377780,4824c,206
377781,song,guitareo,377782,xs44c,195
377783,song,guitareo,377784,nCk4c,205
377785,song,guitareo,377786,xrz4c,285
377787,song,guitareo,377788,DJz4c,247
377789,song,guitareo,377790,J7vkc,155
377791,song,guitareo,377792,myk4c,242
377793,song,guitareo,377794,xkk4c,271
377795,song,guitareo,377796,xZl4c,199
377797,song,guitareo,377798,2J5kc,163
377799,song,guitareo,377800,MS5kc,156
377801,song,guitareo,377802,L824c,267
377803,song,guitareo,377804,H524c,235
377805,song,guitareo,377806,Xg24c,239
377807,song,guitareo,377808,zjC4c,221
377809,song,guitareo,377810,XTY4c,208
377811,song,guitareo,377812,Jhz4c,236
377813,song,guitareo,377814,CZ5kc,241
377815,song,guitareo,377816,1Z5kc,337
377817,song,guitareo,377818,Jmz4c,242
377819,song,guitareo,377820,Fmz4c,189
377821,song,guitareo,377822,7yc4c,206
377823,song,guitareo,377824,N-8Mc,143
377825,song,guitareo,377826,DCtkc,181
377827,song,guitareo,377828,jfGkc,154
377829,song,guitareo,377830,WG5kc,161
377831,song,guitareo,377832,PLz4c,237
377833,song,guitareo,377834,5s44c,251
377835,song,guitareo,377836,VBy4c,260
377837,song,guitareo,377838,cGk4c,266
377839,song,guitareo,377840,tPY4c,241
377841,song,guitareo,377842,MHy4c,179
377843,song,guitareo,377844,3N6kc,190
377845,song,guitareo,377846,1xM4c,286
377847,song,guitareo,377848,m744c,174
377849,song,guitareo,377850,pmz4c,237
377851,song,guitareo,377852,KVvkc,179
377853,song,guitareo,377854,RWY4c,227
377855,song,guitareo,377856,zP24c,247
377857,song,guitareo,377858,4vz4c,242
377859,song,guitareo,377860,svz4c,232
377861,song,guitareo,377862,zwgkc,245
377863,song,guitareo,377864,tn24c,151
377865,song,guitareo,377866,sYz4c,220
377867,song,guitareo,377868,lQM4c,240
377869,song,guitareo,377870,xvy4c,347
377871,song,guitareo,377872,NTy4c,268
377873,song,guitareo,377874,gYy4c,275
377875,song,guitareo,377876,KCf4c,396
377877,song,guitareo,377878,JN6kc,196
377879,song,guitareo,377880,vXrkc,275
377881,song,guitareo,377882,4Krkc,180
377883,song,guitareo,377884,xN6kc,194
377885,song,guitareo,377886,Kvz4c,181
377887,song,guitareo,377888,n144c,210
377889,song,guitareo,377890,QHy4c,222
377891,song,guitareo,377892,Gvz4c,224
377893,song,guitareo,377894,2Sz4c,234
