id,type,brand,assignment_id,soundslice_slug,length_in_seconds
378451,song,pianote,378452,Fs34c,221
378455,song,pianote,378456,Ks34c,234
378459,song,pianote,378460,KvR4c,189
378461,song,pianote,378462,xvR4c,244
378465,song,pianote,378466,Ps34c,205
378467,song,pianote,378468,SZR4c,324
378469,song,pianote,378470,8s34c,200
378471,song,pianote,378472,ns34c,208
378473,song,pianote,378474,gs34c,194
378475,song,pianote,378476,pZR4c,321
378477,song,pianote,378478,NLR4c,211
378479,song,pianote,378480,Zs34c,230
378481,song,pianote,378482,-vR4c,153
378483,song,pianote,383470,VLR4c,185
378485,song,pianote,378486,gvR4c,287
378487,song,pianote,378488,QvR4c,235
378489,song,pianote,378490,nvR4c,220
378491,song,pianote,378492,fLR4c,181
378495,song,pianote,378496,MLR4c,246
378497,song,pianote,378498,kLR4c,138
378499,song,pianote,378500,4LR4c,197
378501,song,pianote,378502,yLR4c,210
378503,song,pianote,378504,FvR4c,243
378505,song,pianote,378506,7s34c,199
378507,song,pianote,383471,wLR4c,249
378509,song,pianote,378510,YLR4c,229
378511,song,pianote,378512,lLR4c,259
378513,song,pianote,378514,zLR4c,172
378515,song,pianote,378516,-s34c,286
378517,song,pianote,378518,xs34c,178
378519,song,pianote,378520,ts34c,151
378521,song,pianote,378522,g-R4c,250
378523,song,pianote,378524,5s34c,270
378525,song,pianote,378526,6-R4c,200
378527,song,pianote,378528,G-R4c,223
378529,song,pianote,378530,2LR4c,202
378531,song,pianote,378532,RLR4c,225
378533,song,pianote,378534,3LR4c,127
378535,song,pianote,378536,XLR4c,277
378537,song,pianote,378538,qLR4c,240
378539,song,pianote,378540,6s34c,129
378541,song,pianote,378542,HLR4c,259
378543,song,pianote,378544,TLR4c,159
378545,song,pianote,378546,JLR4c,195
378549,song,pianote,378550,bLR4c,259
378551,song,pianote,378552,sLR4c,307
378553,song,pianote,378554,tvR4c,161
378555,song,pianote,378556,1LR4c,224
378557,song,pianote,378558,h-R4c,222
378559,song,pianote,378560,m-R4c,137
378561,song,pianote,378562,v-R4c,199
378563,song,pianote,378564,S-R4c,241
378565,song,pianote,378566,p-R4c,227
378567,song,pianote,378568,NQR4c,153
378569,song,pianote,378570,cQR4c,258
378571,song,pianote,378572,VQR4c,324
378573,song,pianote,378574,fQR4c,97
378575,song,pianote,378576,Gs34c,192
378577,song,pianote,378578,DQR4c,108
378579,song,pianote,378580,XMX4c,91
378581,song,pianote,378582,MQR4c,102
378583,song,pianote,378584,kQR4c,176
378585,song,pianote,289420,4QR4c,104
378586,song,pianote,378587,yQR4c,196
378588,song,pianote,378589,2MX4c,62
378594,song,pianote,378595,zMX4c,84
378596,song,pianote,378597,lMX4c,191
378598,song,pianote,378599,YMX4c,132
378600,song,pianote,378601,lQR4c,166
378602,song,pianote,378603,zQR4c,269
378604,song,pianote,378605,2QR4c,185
378606,song,pianote,378607,CQR4c,216
378608,song,pianote,378609,RQR4c,141
378610,song,pianote,378611,3QR4c,194
378612,song,pianote,378613,XQR4c,133
378614,song,pianote,378615,qQR4c,169
378616,song,pianote,378617,wMX4c,189
378618,song,pianote,378619,yMX4c,154
378622,song,pianote,378623,TQR4c,145
378626,song,pianote,378627,4MX4c,84
378638,song,pianote,378639,Ss34c,248
378640,song,pianote,378641,ps34c,156
378642,song,pianote,378643,vs34c,154
378644,song,pianote,378645,hs34c,158
378646,song,pianote,378647,rs34c,174
378648,song,pianote,378649,1MX4c,335
378652,song,pianote,378653,TMX4c,172
378654,song,pianote,378655,Bs34c,313
378656,song,pianote,378657,v6l4c,246
378658,song,pianote,378659,m6l4c,271
378660,song,pianote,378661,h6l4c,184
378662,song,pianote,378663,wWz4c,231
378664,song,pianote,378665,SC44c,243
378666,song,pianote,378667,SDl4c,218
378668,song,pianote,378669,N7f4c,201
378670,song,pianote,378671,c7f4c,258
378672,song,pianote,378673,qKy4c,286
378674,song,pianote,378675,pC44c,271
378676,song,pianote,378677,YWz4c,152
378678,song,pianote,378679,Z3w4c,127
378680,song,pianote,378681,vjk4c,312
378682,song,pianote,378683,lWz4c,305
378684,song,pianote,378685,cR44c,272
378686,song,pianote,383469,S9y4c,269
378688,song,pianote,378689,6Yz4c,230
378690,song,pianote,378691,pDl4c,275
378692,song,pianote,378693,Zq44c,231
378694,song,pianote,378695,XqY4c,218
378696,song,pianote,378697,GYz4c,283
378698,song,pianote,378699,nKy4c,216
378700,song,pianote,378701,txy4c,236
378702,song,pianote,378703,zWz4c,215
378704,song,pianote,378705,V7f4c,273
378706,song,pianote,378707,rYz4c,255
378708,song,pianote,378709,f7f4c,208
378710,song,pianote,378711,hYz4c,212
378712,song,pianote,378713,mYz4c,246
378714,song,pianote,378715,vYz4c,212
378716,song,pianote,378717,SYz4c,212
378718,song,pianote,378719,y-y4c,229
378720,song,pianote,378721,2Wz4c,194
378722,song,pianote,378723,CWz4c,256
378724,song,pianote,378725,RWz4c,142
378726,song,pianote,378727,jSz4c,210
378728,song,pianote,378729,Lq44c,240
378730,song,pianote,378731,fjk4c,245
378732,song,pianote,378733,PSz4c,277
378734,song,pianote,378735,9Sz4c,197
378736,song,pianote,381845,NMl4c,237
378738,song,pianote,378739,v-24c,211
378740,song,pianote,378741,KSz4c,266
378742,song,pianote,378743,xSz4c,140
378744,song,pianote,378745,jq44c,231
378746,song,pianote,378747,Pq44c,261
378750,song,pianote,378751,L3w4c,216
378752,song,pianote,378753,m3w4c,238
378754,song,pianote,378755,9q44c,239
378756,song,pianote,378757,h3w4c,232
378758,song,pianote,378759,r6l4c,257
378760,song,pianote,378761,G6l4c,197
378762,song,pianote,378763,D7f4c,293
378764,song,pianote,378765,g3w4c,236
378766,song,pianote,378767,66l4c,344
378768,song,pianote,378769,VMl4c,199
378770,song,pianote,378771,F3w4c,175
378772,song,pianote,378773,Kq44c,246
378774,song,pianote,378775,g6l4c,193
378776,song,pianote,378777,t3w4c,160
