id,brand,type,user_id,created_at,updated_at,name,description,thumbnail_url,category,private,duration,last_progress,migrated,lessons,extra_data
292939,pianote,user-playlist,560303,2023-06-09 18:22:45,2023-06-09 18:25:48,Lisa's Beautiful Arpeggios,Arpeggios sound really beautiful on the piano! These videos will show you how to play arpeggios – even if you’re a total beginner.,https://d3fzm1tzeyr5n3.cloudfront.net/playlist_thumbnail/playlists_thumbnails-1686334952-560303.jpg,General,0,4017,NULL,0,"267961,386716,221922,223641,377090,272251,370844,292405",NULL
292940,drumeo,user-playlist,560303,2023-06-09 18:27:30,2023-06-11 14:30:39,Krad’s Favorite Fills,Who doesn't love drum fills? Learn these cool fills and play them at your next gig or practice session.,https://d3fzm1tzeyr5n3.cloudfront.net/playlist_thumbnail/playlists_thumbnails-1686605680-560303.jpg,Learning,0,7347,NULL,0,"325826,353925,218678,266399,266400,255003,336474,349223,250064",NULL
292951,drumeo,user-playlist,560303,2023-06-11 14:36:05,2023-06-11 14:38:09,Brandon’s Top 10 Songs Of 2023,Jam along to some of Brandon Toews' favorite songs. There are some fantastic drum parts in these – play along to them and you might just pick up some new tricks! (For Drumeo+ Users),https://d3fzm1tzeyr5n3.cloudfront.net/playlist_thumbnail/playlists_thumbnails-1686494898-560303.jpg,Songs,0,0,2023-06-11 14:45:13,0,"270655,358930,376586,386281,327491,372740,260411,360007,284824","{""is_full_track"": true},{""is_full_track"": true},{""is_full_track"": true},{""is_full_track"": true},{""is_full_track"": true},{""is_full_track"": true},{""is_full_track"": true},{""is_full_track"": true},{""is_full_track"": true}"
292952,drumeo,user-playlist,560303,2023-06-11 14:39:05,2023-06-11 14:44:54,Fun Songs For 30-Day Drummer Grads,Did you recently finish 30-Day Drummer? Apply your new skills by playing along to these songs! (For Drumeo+ Users),https://d3fzm1tzeyr5n3.cloudfront.net/playlist_thumbnail/playlists_thumbnails-1686605725-560303.jpg,Songs,0,0,NULL,0,"296074,348770,260343,291546,309594,279129,384933,291306,377135,365666,373369,317774,260494,260551,264705,371405,291352,260528,359036","{""is_instrumentless_track"": true},{""is_instrumentless_track"": true},{""is_instrumentless_track"": true},{""is_instrumentless_track"": true},{""is_full_track"": true},{""is_instrumentless_track"": true},{""is_instrumentless_track"": true},{""is_instrumentless_track"": true},{""is_instrumentless_track"": true},{""is_instrumentless_track"": true},{""is_instrumentless_track"": true},{""is_instrumentless_track"": true},{""is_full_track"": true},{""is_instrumentless_track"": true},{""is_instrumentless_track"": true},{""is_instrumentless_track"": true},{""is_instrumentless_track"": true},{""is_instrumentless_track"": true},{""is_instrumentless_track"": true}"
292953,drumeo,user-playlist,560303,2023-06-11 14:49:49,2023-06-11 14:57:01,5 lessons to develop the Moeller Stroke,Mastering the Moeller technique will let you play faster and stronger with less effort. You can use it across various genres – from rock to jazz!,https://d3fzm1tzeyr5n3.cloudfront.net/playlist_thumbnail/playlists_thumbnails-1686494985-560303.jpg,Learning,0,2449,NULL,0,"248250,248251,248252,248253,248254",NULL
292960,pianote,user-playlist,560303,2023-06-12 15:34:45,2023-06-12 15:40:57,Pianote 101,"Do you want to quickly learn how to be more VERSATILE on the piano? Check out these videos of all our Pianote 101s for a crash course on jazz, gospel, and many other topics.",https://d3fzm1tzeyr5n3.cloudfront.net/playlist_thumbnail/playlists_thumbnails-1686584035-560303.jpg,Learning,0,5564,2023-06-12 15:38:15,0,"352968,310086,388369,359610,364378,226816,262879,276738,202599,347748",NULL
292963,pianote,user-playlist,560303,2023-06-12 15:49:43,2023-06-12 15:55:28,Easy Song Tutorials For Beginners,"Whether you’re into classical music or rock n’ roll, this playlist has many beginner-friendly songs you can learn regardless of your level.",https://d3fzm1tzeyr5n3.cloudfront.net/playlist_thumbnail/playlists_thumbnails-1686584973-560303.jpg,General,0,2964,2023-06-12 15:50:45,0,"381372,381914,381372,381915,381372,381916",NULL
292964,pianote,user-playlist,560303,2023-06-12 16:17:34,2023-06-12 16:22:19,Songs For Sight Reading,Improve your sight reading skills this eclectic mix of classical and contemporary music. (For Pianote+ members),https://d3fzm1tzeyr5n3.cloudfront.net/playlist_thumbnail/playlists_thumbnails-1686586633-560303.jpg,Songs,0,0,NULL,0,"382771,382769,382809,382803,382791,382789,382787,382783,382807,382593,379244,379890,379965,379094,379917","{""is_full_track"": true},{""is_full_track"": true},{""is_full_track"": true},{""is_full_track"": true},{""is_full_track"": true},{""is_full_track"": true},{""is_full_track"": true},{""is_full_track"": true},{""is_full_track"": true},{""is_full_track"": true},{""is_full_track"": true},{""is_full_track"": true},{""is_full_track"": true},{""is_full_track"": true},{""is_full_track"": true}"
292965,singeo,user-playlist,560303,2023-06-12 16:27:28,2023-06-12 16:29:29,Lisa’s Favorite Sing-Alongs,Sing along to some of Lisa’s favorite songs! (For Singeo+ Users),https://d3fzm1tzeyr5n3.cloudfront.net/playlist_thumbnail/playlists_thumbnails-1686587244-560303.jpg,Songs,0,0,2023-06-12 16:29:50,0,"380959,382933,380082,383983,383941,380336,380028,380170,381198,380036","{""is_full_track"": true},{""is_full_track"": true},{""is_full_track"": true},{""is_full_track"": true},{""is_full_track"": true},{""is_full_track"": true},{""is_full_track"": true},{""is_full_track"": true},{""is_full_track"": true},{""is_full_track"": true}"
292966,singeo,user-playlist,560303,2023-06-12 16:32:28,2023-06-12 16:34:55,Essential Campfire Songs,Practice these songs and amaze your friends next time you’re by the campfire! (For Singeo+ Users),https://d3fzm1tzeyr5n3.cloudfront.net/playlist_thumbnail/playlists_thumbnails-1686587474-560303.jpg,Songs,0,0,NULL,0,"383987,380292,381003,380995,380106,380916,380242,381125,381162,382829","{""is_full_track"": true},{""is_full_track"": true},{""is_full_track"": true},{""is_full_track"": true},{""is_full_track"": true},{""is_full_track"": true},{""is_full_track"": true},{""is_full_track"": true},{""is_full_track"": true},{""is_full_track"": true}"
