id,type,brand,assignment_id,soundslice_slug,length_in_seconds
379998,song,singeo,379999,sXC4c,393
380000,song,singeo,380001,1XC4c,271
380002,song,singeo,380003,BXC4c,184
380004,song,singeo,380005,ZXC4c,231
380006,song,singeo,380007,LXC4c,243
380008,song,singeo,380009,jXC4c,241
380010,song,singeo,380011,9XC4c,202
380012,song,singeo,380013,KXC4c,258
380014,song,singeo,380015,xXC4c,286
380016,song,singeo,380017,-XC4c,272
380018,song,singeo,380019,QXC4c,152
380020,song,singeo,380021,nXC4c,127
380022,song,singeo,380023,FXC4c,312
380024,song,singeo,380025,tXC4c,305
380026,song,singeo,380027,5XC4c,272
380028,song,singeo,380029,gXC4c,269
380030,song,singeo,380031,6XC4c,230
380032,song,singeo,380033,GXC4c,275
380034,song,singeo,380035,rXC4c,231
380036,song,singeo,380037,hXC4c,218
380038,song,singeo,380039,mXC4c,283
380040,song,singeo,380041,vXC4c,216
380042,song,singeo,380043,SXC4c,236
380044,song,singeo,380045,pXC4c,215
380046,song,singeo,380047,NqC4c,273
380048,song,singeo,380049,cqC4c,255
380050,song,singeo,380051,VqC4c,208
380052,song,singeo,380053,fqC4c,212
380054,song,singeo,380055,DqC4c,246
380056,song,singeo,380057,MqC4c,212
380058,song,singeo,380059,kqC4c,212
380060,song,singeo,380061,4qC4c,229
380062,song,singeo,380063,yqC4c,194
380064,song,singeo,380065,wqC4c,256
380066,song,singeo,380067,YqC4c,142
380068,song,singeo,380069,lqC4c,240
380070,song,singeo,380071,zqC4c,245
380072,song,singeo,390849,2qC4c,237
380074,song,singeo,380075,CqC4c,231
380076,song,singeo,380077,RqC4c,261
380078,song,singeo,380079,3qC4c,172
380080,song,singeo,380081,XqC4c,216
380082,song,singeo,380083,qqC4c,238
380084,song,singeo,380085,HqC4c,239
380086,song,singeo,380087,TqC4c,233
380088,song,singeo,380089,JqC4c,257
380090,song,singeo,380091,bqC4c,197
380092,song,singeo,380093,sqC4c,294
380094,song,singeo,380095,1qC4c,236
380096,song,singeo,380097,8qC4c,344
380098,song,singeo,380099,dqC4c,199
380100,song,singeo,380101,7qC4c,175
380102,song,singeo,380103,WqC4c,246
380104,song,singeo,380105,BqC4c,194
380106,song,singeo,380107,ZqC4c,161
380108,song,singeo,380109,LqC4c,195
380110,song,singeo,380111,jqC4c,238
380112,song,singeo,380113,PqC4c,247
380114,song,singeo,380115,9qC4c,181
380116,song,singeo,380117,KqC4c,227
380118,song,singeo,380119,xqC4c,247
380120,song,singeo,380121,-qC4c,247
380122,song,singeo,380123,QqC4c,176
380124,song,singeo,380125,FqC4c,221
380126,song,singeo,380127,5qC4c,213
380128,song,singeo,380129,tqC4c,256
380130,song,singeo,380131,1GC4c,185
380132,song,singeo,380133,gqC4c,243
380134,song,singeo,380135,6qC4c,249
380136,song,singeo,380137,GqC4c,198
380138,song,singeo,380139,rqC4c,239
380140,song,singeo,380141,hqC4c,193
380142,song,singeo,381292,mqC4c,179
380144,song,singeo,380145,vqC4c,237
380146,song,singeo,380147,SqC4c,206
380148,song,singeo,380149,pqC4c,291
380150,song,singeo,380151,NHC4c,239
380152,song,singeo,380153,cHC4c,233
380154,song,singeo,380155,VHC4c,171
380156,song,singeo,380157,fHC4c,235
380158,song,singeo,380159,DHC4c,214
380160,song,singeo,380161,MHC4c,337
380162,song,singeo,380163,kHC4c,290
380164,song,singeo,380165,4HC4c,272
380166,song,singeo,380167,yHC4c,233
380168,song,singeo,380169,wHC4c,232
380170,song,singeo,380171,YHC4c,185
380172,song,singeo,380173,lHC4c,256
380174,song,singeo,380175,zHC4c,200
380176,song,singeo,380177,2HC4c,203
380178,song,singeo,380179,CHC4c,173
380180,song,singeo,380181,RHC4c,268
380182,song,singeo,380183,3HC4c,269
380184,song,singeo,380185,XHC4c,235
380186,song,singeo,380187,qHC4c,229
380188,song,singeo,380189,HHC4c,227
380190,song,singeo,380191,THC4c,214
380192,song,singeo,380193,JHC4c,213
380194,song,singeo,380195,bHC4c,266
380196,song,singeo,380197,sHC4c,196
380198,song,singeo,380199,1HC4c,297
380200,song,singeo,380201,8HC4c,282
380202,song,singeo,380203,dHC4c,218
380204,song,singeo,380205,7HC4c,202
380206,song,singeo,381293,WHC4c,228
380208,song,singeo,380209,BHC4c,299
380210,song,singeo,380211,ZHC4c,199
380212,song,singeo,380213,Ln34c,190
380214,song,singeo,380215,jHC4c,282
380216,song,singeo,380217,PHC4c,235
380218,song,singeo,380219,9HC4c,249
380220,song,singeo,380221,KHC4c,206
380222,song,singeo,380223,xHC4c,217
380224,song,singeo,380225,-HC4c,235
380226,song,singeo,380227,QHC4c,214
380228,song,singeo,380229,nHC4c,268
380230,song,singeo,380231,FHC4c,230
380232,song,singeo,380233,tHC4c,193
380234,song,singeo,380235,5HC4c,233
380236,song,singeo,380237,6HC4c,265
380238,song,singeo,380239,GHC4c,236
380240,song,singeo,380241,hHC4c,219
380242,song,singeo,380243,mHC4c,161
380244,song,singeo,381294,SHC4c,296
380246,song,singeo,380245,pHC4c,247
380247,song,singeo,380248,NTC4c,186
380249,song,singeo,381295,VTC4c,263
380251,song,singeo,380250,fTC4c,258
380252,song,singeo,380253,DTC4c,263
380254,song,singeo,380255,MTC4c,426
380256,song,singeo,380257,kTC4c,239
380258,song,singeo,380259,4TC4c,220
380260,song,singeo,380261,wTC4c,162
380262,song,singeo,380263,YTC4c,264
380264,song,singeo,380265,lTC4c,267
380266,song,singeo,380267,2TC4c,261
380268,song,singeo,380269,RTC4c,168
380270,song,singeo,380271,qTC4c,190
380272,song,singeo,380273,TTC4c,271
380274,song,singeo,380275,bTC4c,229
380276,song,singeo,380277,8TC4c,162
380278,song,singeo,380279,dTC4c,195
380280,song,singeo,380281,7TC4c,238
380282,song,singeo,381296,WTC4c,218
380284,song,singeo,380285,BTC4c,243
380286,song,singeo,380287,ZTC4c,290
380288,song,singeo,380289,LTC4c,288
380290,song,singeo,380291,jTC4c,254
380292,song,singeo,380293,PTC4c,243
380294,song,singeo,380295,9TC4c,246
380296,song,singeo,380297,KTC4c,271
380298,song,singeo,380299,xTC4c,249
380300,song,singeo,380301,-TC4c,256
380302,song,singeo,380303,QTC4c,237
380304,song,singeo,380305,nTC4c,190
380306,song,singeo,380307,FTC4c,212
380308,song,singeo,380309,tTC4c,237
380310,song,singeo,381287,5TC4c,220
380312,song,singeo,380313,gTC4c,231
380314,song,singeo,380315,6TC4c,240
380316,song,singeo,380317,4bC4c,263
380318,song,singeo,380319,ybC4c,237
380320,song,singeo,380321,wbC4c,248
380322,song,singeo,380323,YbC4c,218
380324,song,singeo,380325,lbC4c,239
380326,song,singeo,380327,zbC4c,311
380328,song,singeo,380329,2bC4c,220
380330,song,singeo,380331,CbC4c,203
380332,song,singeo,380333,RbC4c,208
380334,song,singeo,380335,3bC4c,182
380336,song,singeo,380337,XbC4c,264
380338,song,singeo,380339,qbC4c,259
380340,song,singeo,380341,HbC4c,237
380342,song,singeo,380343,TbC4c,214
380344,song,singeo,380345,JbC4c,214
380346,song,singeo,380347,bbC4c,246
380348,song,singeo,380349,sbC4c,149
380350,song,singeo,380351,1bC4c,248
380352,song,singeo,380353,8bC4c,204
380354,song,singeo,380355,dbC4c,255
380356,song,singeo,380357,7bC4c,238
380358,song,singeo,380359,WbC4c,224
380360,song,singeo,380361,BbC4c,282
380362,song,singeo,380363,ZbC4c,234
380364,song,singeo,380365,LbC4c,190
380366,song,singeo,380367,jbC4c,227
380368,song,singeo,380369,PbC4c,225
380370,song,singeo,380371,9bC4c,211
380372,song,singeo,380373,xbC4c,243
380374,song,singeo,380375,-bC4c,219
380376,song,singeo,380377,nbC4c,216
380378,song,singeo,380379,tbC4c,235
380380,song,singeo,380381,5bC4c,258
380382,song,singeo,380383,gbC4c,342
380384,song,singeo,380385,GbC4c,290
380386,song,singeo,380387,hbC4c,285
380388,song,singeo,380389,mbC4c,268
380390,song,singeo,380391,SbC4c,175
380392,song,singeo,381297,pbC4c,321
380394,song,singeo,380395,csC4c,242
380396,song,singeo,380397,VsC4c,255
380398,song,singeo,380399,fsC4c,192
380400,song,singeo,380401,DsC4c,229
380402,song,singeo,380403,MsC4c,225
380404,song,singeo,380405,ksC4c,218
380406,song,singeo,380407,4sC4c,309
380408,song,singeo,380409,ysC4c,185
380410,song,singeo,380411,wsC4c,296
380412,song,singeo,380413,YsC4c,292
380414,song,singeo,380415,lsC4c,205
380416,song,singeo,380417,zsC4c,239
380418,song,singeo,380419,2sC4c,236
380420,song,singeo,380421,CsC4c,335
380422,song,singeo,380423,RsC4c,247
380424,song,singeo,380425,3sC4c,254
380426,song,singeo,380427,XsC4c,252
380428,song,singeo,380429,qsC4c,256
380430,song,singeo,380431,HsC4c,167
380432,song,singeo,380433,TsC4c,203
380434,song,singeo,380435,JsC4c,217
380436,song,singeo,380437,bsC4c,309
380438,song,singeo,380439,ssC4c,226
380440,song,singeo,380441,1sC4c,285
380442,song,singeo,380443,8sC4c,229
380444,song,singeo,380445,dsC4c,289
380446,song,singeo,380447,7sC4c,275
380448,song,singeo,380449,WsC4c,202
380450,song,singeo,380451,BsC4c,221
380452,song,singeo,380453,ZsC4c,250
380454,song,singeo,380455,LsC4c,200
380456,song,singeo,380457,jsC4c,96
380458,song,singeo,380459,PsC4c,230
380460,song,singeo,380461,9sC4c,204
380462,song,singeo,380463,rgQ4c,258
380464,song,singeo,380465,xsC4c,126
380466,song,singeo,380467,-sC4c,242
380468,song,singeo,380469,QsC4c,291
380470,song,singeo,380471,nsC4c,255
380472,song,singeo,380473,FsC4c,346
380474,song,singeo,380475,tsC4c,156
380476,song,singeo,380477,5sC4c,242
380478,song,singeo,380479,gsC4c,199
380480,song,singeo,380283,6sC4c,292
380481,song,singeo,380482,GsC4c,285
380483,song,singeo,380484,rsC4c,238
380485,song,singeo,380486,hsC4c,180
380487,song,singeo,380488,msC4c,285
380489,song,singeo,380490,vsC4c,225
380491,song,singeo,380492,SsC4c,228
380493,song,singeo,380494,psC4c,224
380495,song,singeo,380496,N1C4c,292
380497,song,singeo,380498,c1C4c,213
380499,song,singeo,380500,V1C4c,170
380501,song,singeo,380502,f1C4c,215
380503,song,singeo,380504,D1C4c,270
380506,song,singeo,380507,w1C4c,181
380508,song,singeo,380509,Y1C4c,236
380510,song,singeo,380511,l1C4c,232
380512,song,singeo,376442,z1C4c,145
380513,song,singeo,380514,21C4c,276
380515,song,singeo,380516,C1C4c,229
380517,song,singeo,380518,R1C4c,162
380519,song,singeo,380520,31C4c,150
380521,song,singeo,380522,X1C4c,220
380523,song,singeo,380524,q1C4c,235
380525,song,singeo,380526,H1C4c,256
380527,song,singeo,380528,T1C4c,511
380529,song,singeo,380530,J1C4c,245
380531,song,singeo,380532,b1C4c,310
380533,song,singeo,380534,s1C4c,208
380535,song,singeo,380536,11C4c,234
380537,song,singeo,380538,81C4c,233
380539,song,singeo,380540,d1C4c,283
380541,song,singeo,380542,71C4c,378
380543,song,singeo,380544,W1C4c,325
380545,song,singeo,380546,B1C4c,297
380547,song,singeo,380548,Z1C4c,231
380549,song,singeo,380550,L1C4c,337
380551,song,singeo,376444,j1C4c,123
380552,song,singeo,380553,P1C4c,129
380554,song,singeo,376446,91C4c,133
380555,song,singeo,380556,K1C4c,156
380557,song,singeo,380558,x1C4c,160
380559,song,singeo,380560,-1C4c,243
380561,song,singeo,380562,Q1C4c,250
380563,song,singeo,376448,n1C4c,256
380564,song,singeo,380565,F1C4c,160
380566,song,singeo,376450,t1C4c,182
380567,song,singeo,376452,51C4c,228
380568,song,singeo,376454,g1C4c,221
380569,song,singeo,380570,61C4c,229
380571,song,singeo,376456,G1C4c,295
380572,song,singeo,376458,r1C4c,330
380573,song,singeo,380574,h1C4c,192
380575,song,singeo,380576,m1C4c,187
380577,song,singeo,380578,v1C4c,212
380579,song,singeo,380580,S1C4c,130
380581,song,singeo,380582,p1C4c,144
380583,song,singeo,380584,N8C4c,190
380585,song,singeo,380586,c8C4c,242
380587,song,singeo,380588,V8C4c,217
380589,song,singeo,380590,f8C4c,213
380591,song,singeo,380592,D8C4c,226
380593,song,singeo,376440,M8C4c,186
380594,song,singeo,380595,k8C4c,167
380596,song,singeo,380597,48C4c,185
380598,song,singeo,380599,y8C4c,231
380600,song,singeo,380601,w8C4c,360
380602,song,singeo,380603,Y8C4c,218
380604,song,singeo,380605,l8C4c,299
380606,song,singeo,380607,z8C4c,180
380608,song,singeo,380609,28C4c,231
380610,song,singeo,380611,C8C4c,177
380612,song,singeo,380613,R8C4c,232
380614,song,singeo,380615,38C4c,209
380616,song,singeo,380617,X8C4c,269
380618,song,singeo,380619,q8C4c,310
380620,song,singeo,380621,H8C4c,191
380622,song,singeo,380623,T8C4c,293
380624,song,singeo,380625,J8C4c,219
380626,song,singeo,380627,b8C4c,168
380628,song,singeo,380629,s8C4c,169
380630,song,singeo,380631,18C4c,142
380632,song,singeo,380633,88C4c,176
380634,song,singeo,380635,d8C4c,217
380636,song,singeo,380637,78C4c,129
380638,song,singeo,380639,W8C4c,134
380640,song,singeo,380641,B8C4c,100
380642,song,singeo,380643,Z8C4c,148
380644,song,singeo,380645,L8C4c,148
380646,song,singeo,380647,j8C4c,128
380648,song,singeo,380649,P8C4c,150
380650,song,singeo,380651,98C4c,155
380652,song,singeo,380653,K8C4c,166
380654,song,singeo,380655,x8C4c,126
380656,song,singeo,380657,-8C4c,138
380658,song,singeo,380659,Q8C4c,131
380660,song,singeo,380661,n8C4c,260
380662,song,singeo,380663,F8C4c,169
380664,song,singeo,380665,t8C4c,127
380666,song,singeo,380667,58C4c,149
380668,song,singeo,380669,g8C4c,146
380670,song,singeo,380671,68C4c,146
380672,song,singeo,380673,G8C4c,162
380674,song,singeo,380675,r8C4c,189
380676,song,singeo,380677,h8C4c,184
380678,song,singeo,380679,m8C4c,218
380680,song,singeo,380681,S8C4c,158
380682,song,singeo,380683,p8C4c,285
380684,song,singeo,380685,NdC4c,164
380686,song,singeo,380687,cdC4c,255
380688,song,singeo,380689,VdC4c,148
380690,song,singeo,380691,fdC4c,134
380692,song,singeo,380693,DdC4c,244
380694,song,singeo,380695,MdC4c,133
380696,song,singeo,380697,kdC4c,197
380698,song,singeo,380699,4dC4c,427
380700,song,singeo,380701,ydC4c,166
380702,song,singeo,380703,wdC4c,214
