brand;artist;title;album;style;difficulty;total_xp;artwork_filename;pdf_filename;assignment_title;assignment_xp;soundslice_slug;publishing_status;instrument_removed;pdf_filename_tabs_and_notation
Guitareo;AC/DC;Back in Black;Back In Black;Rock;9;200;acdc-back-in-black.jpg;acdc-back-in-black-tab.pdf;Back in Black;25;8fGkc;Published;0;acdc-back-in-black-tab-standard.pdf
Guitareo;AC/DC;Meanstreak;Blow Up Your Video;Rock;8;200;acdc-blow-up-your-video.jpg;acdc-meanstreak-tab.pdf;Meanstreak;25;ZCD4c;Published;0;acdc-meanstreak-tab-standard.pdf
Guitareo;AC/DC;Shoot To Thrill;Back In Black;Rock;9;200;acdc-back-in-black.jpg;acdc-shoot-to-thrill-tab.pdf;Shoot To Thrill;25;pzf4c;Published;0;acdc-shoot-to-thrill-tab-standard.pdf
Guitareo;AC/DC;TNT;High Voltage;Rock;6;150;acdc-high-voltage.jpg;acdc-tnt-tab.pdf;TNT;25;fLD4c;Published;0;acdc-tnt-tab-standard.pdf
Guitareo;AC/DC;Thunderstruck;The Razors Edge;Rock;9;200;acdc-the-razors-edge.jpg;acdc-thunderstruck-tab.pd;Thunderstruck;25;bCf4c;Published;0;acdc-thunderstruck-tab-standard.pd
Guitareo;Adele;Hello;25;Pop;6;150;adele-25.jpg;adele-hello-tab.pdf;Hello;25;Ypy4c;Published;0;adele-hello-tab-standard.pdf
Guitareo;Adele;Rolling In The Deep;21;Pop;5;150;adele-21.jpg;adele-rolling-in-the-deep-tab.pdf;Rolling In The Deep;25;kCY4c;Published;0;adele-rolling-in-the-deep-tab-standard.pdf
Guitareo;Adele;Someone Like You;21;Pop;6;150;adele-21.jpg;adele-someone-like-you-tab.pdf;Someone Like You;25;tHY4c;Published;0;adele-someone-like-you-tab-standard.pdf
Guitareo;Alice In Chains;Man In The Box;Facelift;Rock;8;200;alice-in-chains-facelift.jpg;alice-in-chains-man-in-the-box-tab.pdf;Man In The Box;25;g9k4c;Published;0;alice-in-chains-man-in-the-box-tab-standard.pdf
Guitareo;Alicia Keys;Fallin';Songs in A Minor;R&B/Soul;5;150;alicia-keys-songs-in-a-minor.jpg;alicia-keys-fallin-tab.pdf;Fallin';25;1544c;Published;0;alicia-keys-fallin-tab-standard.pdf
Guitareo;Alicia Keys;No One;As I Am;R&B/Soul;6;150;alicia-keys-as-i-am.jpg;alicia-keys-no-one-tab.pdf;No One;25;V744c;Published;0;alicia-keys-no-one-tab-standard.pdf
Guitareo;All-4-One;I Swear;All-4-One;Pop;6;150;all4one-all4one.jpg;all4one-i-swear-tab.pdf;I Swear;25;NN44c;Published;0;all4one-i-swear-tab-standard.pdf
Guitareo;America;A Horse With No Name;America;Folk;3;100;america-america.jpg;america-a-horse-with-no-name-tab.pdf;A Horse With No Name;25;qg44c;Published;0;america-a-horse-with-no-name-tab-standard.pdf
Guitareo;Amy Winehouse;Back To Black;Back To Black;R&B/Soul;4;150;amy-winehouse-back-to-black.jpg;amy-winehouse-back-to-black-tab;Back To Black;25;lqhkc;Published;0;amy-winehouse-back-to-black-tab-standard
Guitareo;Amy Winehouse;Rehab;Back To Black;R&B/Soul;5;150;amy-winehouse-back-to-black.jpg;amy-winehouse-rehab-tab.pdf;Rehab;25;xRR4c;Published;0;amy-winehouse-rehab-tab-standard.pdf
Guitareo;Amy Winehouse;Valerie;Valerie;Pop;7;200;amy-winehouse-valerie.jpg;amy-winehouse-valerie-tab.pdf;Valerie;25;b8k4c;Published;0;amy-winehouse-valerie-tab-standard.pdf
Guitareo;Andra Day;Rise Up;Cheers to the Fall;Pop;5;150;andra-day-cheers-to-the-fall.jpg;andra-day-rise-up-tab.pdf;Rise Up;25;DbM4c;Published;0;andra-day-rise-up-tab-standard.pdf
Guitareo;Anna Kendrick;Cups;Pitch Perfect Soundtrack;Pop;5;150;anna-kendrick-pitch-perfect-soundtrack.jpg;anna-kendrick-cups--tab.pdf;Cups;25;Gly4c;Published;0;anna-kendrick-cups--tab-standard.pdf
Guitareo;Anna Nalick;Breathe (2 AM);Wreck of the Day;Pop;5;150;anna-nalick-wreck-of-the-day.jpg;anna-nalick-breathe-2-am-tab.pdf;Breathe (2 AM);25;vYY4c;Published;0;anna-nalick-breathe-2-am-tab-standard.pdf
Guitareo;Archies;"Sugar; Sugar";"Sugar; Sugar";Pop;2;100;archies-sugar-sugar.jpg;archies-sugar-sugar-tab.pdf;"Sugar; Sugar";25;qjl4c;Published;0;archies-sugar-sugar-tab-standard.pdf
Guitareo;Arctic Monkeys;505;Favorite Worst Nightmare;Rock;4;150;arctic-monkeys-favorite-worst-nightmare.jpg;arctic-monkeys-505-tab.pdf;505;25;Y8D4c;Published;0;arctic-monkeys-505-tab-standard.pdf
Guitareo;Arctic Monkeys;Do I Wanna Know?;AM;Rock;6;150;arctic-monkeys-am.jpg;arctic-monkeys-do-i-wanna-know-tab.pdf;Do I Wanna Know?;25;VsD4c;Published;0;arctic-monkeys-do-i-wanna-know-tab-standard.pdf
Guitareo;Aretha Franklin;Chain Of Fools;The Best Of Aretha Franklin;R&B/Soul;7;200;aretha-franklin-the-best-of-aretha-franklin.jpg;aretha-franklin-chain-of-fools-tab.pdf;Chain Of Fools;25;Mxtkc;Published;0;aretha-franklin-chain-of-fools-tab-standard.pdf
Guitareo;Aretha Franklin;I Say A Little Prayer;Aretha Now;R&B/Soul;5;150;aretha-franklin-aretha-now.jpg;aretha-franklin-i-say-a-little-prayer-tab.pdf;I Say A Little Prayer;25;z6D4c;Published;0;aretha-franklin-i-say-a-little-prayer-tab-standard.pdf
