brand;artist;title;album;style;difficulty;total_xp;artwork_filename;pdf_filename;assignment_title;assignment_xp;soundslice_slug;publishing_status;instrument_removed;pdf_filename_tabs_and_notation;content_id
guitareo;AC/DC;Back in Black;Back In Black;Rock;9;200;acdc-back-in-black.jpg;acdc-back-in-black-tab-standard.pdf;Back in Black;25;8fGkc;Published;FALSE;acdc-back-in-black-tab.pdf;
guitareo;AC/DC;Meanstreak;Blow Up Your Video;Rock;8;200;acdc-blow-up-your-video.jpg;acdc-meanstreak-tab-standard.pdf;Meanstreak;25;ZCD4c;Published;FALSE;acdc-meanstreak-tab.pdf;
guitareo;AC/DC;Shoot To Thrill;Back In Black;Rock;9;200;acdc-back-in-black.jpg;acdc-shoot-to-thrill-tab-standard.pdf;Shoot To Thrill;25;pzf4c;Published;FALSE;acdc-shoot-to-thrill-tab.pdf;
guitareo;AC/DC;TNT;High Voltage;Rock;6;150;acdc-high-voltage.jpg;acdc-tnt-tab-standard.pdf;TNT;25;fLD4c;Published;FALSE;acdc-tnt-tab.pdf;
guitareo;AC/DC;Thunderstruck;The Razors Edge;Rock;9;200;acdc-the-razors-edge.jpg;acdc-thunderstruck-tab-standard.pd;Thunderstruck;25;bCf4c;Published;FALSE;acdc-thunderstruck-tab.pd;
guitareo;Adele;Hello;25;Pop;6;150;adele-25.jpg;adele-hello-tab-standard.pdf;Hello;25;Ypy4c;Published;FALSE;adele-hello-tab.pdf;
guitareo;Adele;Rolling In The Deep;21;Pop;5;150;adele-21.jpg;adele-rolling-in-the-deep-tab-standard.pdf;Rolling In The Deep;25;kCY4c;Published;FALSE;adele-rolling-in-the-deep-tab.pdf;
guitareo;Adele;Someone Like You;21;Pop;6;150;adele-21.jpg;adele-someone-like-you-tab-standard.pdf;Someone Like You;25;tHY4c;Published;FALSE;adele-someone-like-you-tab.pdf;
guitareo;Alice In Chains;Man In The Box;Facelift;Rock;8;200;alice-in-chains-facelift.jpg;alice-in-chains-man-in-the-box-tab-standard.pdf;Man In The Box;25;g9k4c;Published;FALSE;alice-in-chains-man-in-the-box-tab.pdf;
guitareo;Alicia Keys;Fallin';Songs in A Minor;R&B/Soul;5;150;alicia-keys-songs-in-a-minor.jpg;alicia-keys-fallin-tab-standard.pdf;Fallin';25;1544c;Published;FALSE;alicia-keys-fallin-tab.pdf;
guitareo;Alicia Keys;No One;As I Am;R&B/Soul;6;150;alicia-keys-as-i-am.jpg;alicia-keys-no-one-tab-standard.pdf;No One;25;V744c;Published;FALSE;alicia-keys-no-one-tab.pdf;
guitareo;All-4-One;I Swear;All-4-One;Pop;6;150;all4one-all4one.jpg;all4one-i-swear-tab-standard.pdf;I Swear;25;NN44c;Published;FALSE;all4one-i-swear-tab.pdf;
guitareo;America;A Horse With No Name;America;Folk;3;100;america-america.jpg;america-a-horse-with-no-name-tab-standard.pdf;A Horse With No Name;25;qg44c;Published;FALSE;america-a-horse-with-no-name-tab.pdf;
guitareo;Amy Winehouse;Back To Black;Back To Black;R&B/Soul;4;150;amy-winehouse-back-to-black.jpg;amy-winehouse-back-to-black-tab-standard;Back To Black;25;lqhkc;Published;FALSE;amy-winehouse-back-to-black-tab;
guitareo;Amy Winehouse;Valerie;Valerie;Pop;7;200;amy-winehouse-valerie.jpg;amy-winehouse-valerie-tab-standard.pdf;Valerie;25;b8k4c;Published;FALSE;amy-winehouse-valerie-tab.pdf;
guitareo;Andra Day;Rise Up;Cheers to the Fall;Pop;5;150;andra-day-cheers-to-the-fall.jpg;andra-day-rise-up-tab-standard.pdf;Rise Up;25;DbM4c;Published;FALSE;andra-day-rise-up-tab.pdf;
guitareo;Anna Kendrick;Cups;Ultimate Pitch Perfect: Original Motion Picture Soundtrack;Pop;5;150;anna-kendrick-ultimate-pitch-perfect-original-motion-picture-soundtrack.jpg;anna-kendrick-cups--tab-standard.pdf;Cups;25;Gly4c;Published;FALSE;anna-kendrick-cups--tab.pdf;
guitareo;Anna Nalick;Breathe (2 AM);Wreck of the Day;Pop;5;150;anna-nalick-wreck-of-the-day.jpg;anna-nalick-breathe-2-am-tab-standard.pdf;Breathe (2 AM);25;vYY4c;Published;FALSE;anna-nalick-breathe-2-am-tab.pdf;
guitareo;Archies;Sugar, Sugar;Sugar, Sugar;Pop;2;100;archies-sugar-sugar.jpg;archies-sugar-sugar-tab-standard.pdf;Sugar, Sugar;25;qjl4c;Published;FALSE;archies-sugar-sugar-tab.pdf;
guitareo;Arctic Monkeys;505;Favorite Worst Nightmare;Rock;4;150;arctic-monkeys-favorite-worst-nightmare.jpg;arctic-monkeys-505-tab-standard.pdf;505;25;Y8D4c;Published;FALSE;arctic-monkeys-505-tab.pdf;
guitareo;Arctic Monkeys;Do I Wanna Know?;AM;Rock;6;150;arctic-monkeys-am.jpg;arctic-monkeys-do-i-wanna-know-tab-standard.pdf;Do I Wanna Know?;25;VsD4c;Published;FALSE;arctic-monkeys-do-i-wanna-know-tab.pdf;
guitareo;Aretha Franklin;Chain Of Fools;The Best Of Aretha Franklin;R&B/Soul;7;200;aretha-franklin-the-best-of-aretha-franklin.jpg;aretha-franklin-chain-of-fools-tab-standard.pdf;Chain Of Fools;25;Mxtkc;Published;FALSE;aretha-franklin-chain-of-fools-tab.pdf;
guitareo;Aretha Franklin;I Say A Little Prayer;Aretha Now;R&B/Soul;5;150;aretha-franklin-aretha-now.jpg;aretha-franklin-i-say-a-little-prayer-tab-standard.pdf;I Say A Little Prayer;25;z6D4c;Published;FALSE;aretha-franklin-i-say-a-little-prayer-tab.pdf;
guitareo;Aretha Franklin;Respect;I Never Loved a Man the Way I Love You;R&B/Soul;5;150;aretha-franklin-i-never-loved-a-man-the-way-i-love-you.jpg;aretha-franklin-respect-tab-standard.pdf;Respect;25;HfM4c;Published;FALSE;aretha-franklin-respect-tab.pdf;
guitareo;Ariana Grande;Breathin;Sweetener;Pop;6;150;ariana-grande-sweetener.jpg;ariana-grande-breathin-tab-standard.pdf;Breathin;25;Ly44c;Published;FALSE;ariana-grande-breathin-tab.pdf;
guitareo;Ariana Grande;No Tears Left To Cry;Sweetener;Pop;5;150;ariana-grande-sweetener.jpg;ariana-grande-no-tears-left-to-cry-tab-standard.pdf;No Tears Left To Cry;25;MP44c;Published;FALSE;ariana-grande-no-tears-left-to-cry-tab.pdf;
guitareo;Ariana Grande;Thank U, Next;Thank U, Next;Pop;6;150;ariana-grande-thank-u-next.jpg;ariana-grande-thank-u-next-tab-standard.pdf;Thank U, Next;25;Vt44c;Published;FALSE;ariana-grande-thank-u-next-tab.pdf;
guitareo;Avicii;Hey Brother;TRUE;Electronic;5;150;avicii-true-.jpg;avicii-hey-brother-tab-standard.pdf;Hey Brother;25;3Kk4c;Published;FALSE;avicii-hey-brother-tab.pdf;
guitareo;Avril Lavigne;Complicated;Let Go;Rock;6;150;avril-lavigne-let-go.jpg;avril-lavigne-complicated-tab-standard.pdf;Complicated;25;Lmk4c;Published;FALSE;avril-lavigne-complicated-tab.pdf;
guitareo;Avril Lavigne;Girlfriend;The Best Damn Thing;Rock;5;150;avril-lavigne-the-best-damn-thing.jpg;avril-lavigne-girlfriend-tab-standard.pdf;Girlfriend;25;5YM4c;Published;FALSE;avril-lavigne-girlfriend-tab.pdf;
guitareo;Avril Lavigne;Keep Holding On;The Best Damn Thing;Rock;6;150;avril-lavigne-the-best-damn-thing.jpg;avril-lavigne-keep-holding-on-tab-standard.pdf;Keep Holding On;25;cHM4c;Published;FALSE;avril-lavigne-keep-holding-on-tab.pdf;
