brand;artist;title;album;style;difficulty;total_xp;artwork_filename;pdf_filename;assignment_title;assignment_xp;soundslice_slug;publishing_status;instrument_removed;pdf_filename_tabs_and_notation;content_id
drumeo;10 Years;The Shift;;;;;;;;;;;1;;374523
drumeo;3 Doors Down;It's Not My Time;;;;;;;;;;;1;;373786
drumeo;3 Doors Down;Kryptonite;;;;;;;;;;;1;;255144
drumeo;311;Beautiful Disaster;;;;;;;;;;;1;;284668
drumeo;38 Special;Hold On Loosely;;;;;;;;;;;1;;284670
drumeo;4 Non Blondes;What's Up;;;;;;;;;;;1;;314501
drumeo;5 Seconds Of Summer;She Looks So Perfect;;;;;;;;;;;1;;284672
drumeo;801;East Of Asteroid;;;;;;;;;;;1;;375856
drumeo;A Day To Remember;Sometimes You're The Hammer, Sometimes You're The Nail;;;;;;;;;;;1;;275326
drumeo;A Day To Remember;I Surrender;;;;;;;;;;;1;;284674
drumeo;A Day To Remember;If It Means A Lot To You;;;;;;;;;;;1;;278879
drumeo;A Day To Remember;2nd Sucks;;;;;;;;;;;1;;284676
drumeo;A Day To Remember;Right Back At It Again;;;;;;;;;;;1;;278877
drumeo;A Perfect Circle;Judith;;;;;;;;;;;1;;291178
drumeo;A Perfect Circle;Weak And Powerless;;;;;;;;;;;1;;291180
drumeo;A Perfect Circle;The Outsider;;;;;;;;;;;1;;284678
drumeo;A Perfect Circle;3 Libras;;;;;;;;;;;1;;278881
drumeo;A Taste Of Honey;Boogie Oogie Oogie;;;;;;;;;;;1;;291182
drumeo;a-ha;Take On Me;;;;;;;;;;;1;;275328
drumeo;Aaron Parks;Nemesis;;;;;;;;;;;1;;270297
drumeo;ABBA;Voulez-Vous;;;;;;;;;;;1;;275330
drumeo;ABBA;Mamma Mia;;;;;;;;;;;1;;270299
drumeo;ABBA;Knowing Me, Knowing You;;;;;;;;;;;1;;284682
drumeo;ABBA;The Visitors;;;;;;;;;;;1;;374525
drumeo;ABBA;Dancing Queen;;;;;;;;;;;1;;284680
drumeo;ABBA;I Still Have Faith In You;;;;;;;;;;;1;;356069
drumeo;ABBA;Super Trouper;;;;;;;;;;;1;;284684
drumeo;ABBA;The Winner Takes It All;;;;;;;;;;;1;;270301
drumeo;AC/DC;Back In Black;;;;;;;;;;;1;;19999
drumeo;AC/DC;It's A Long Way To The Top (If You Wanna Rock 'N' Roll);;;;;;;;;;;1;;264251
drumeo;AC/DC;Dirty Deeds Done Dirt Cheap;;;;;;;;;;;1;;264247
drumeo;AC/DC;Highway To Hell;;;;;;;;;;;1;;234247
drumeo;AC/DC;Bad Boy Boogie;;;;;;;;;;;1;;296529
drumeo;AC/DC;Breaking The Rules;;;;;;;;;;;1;;296483
drumeo;AC/DC;C.O.D.;;;;;;;;;;;1;;296485
drumeo;AC/DC;Fire Your Guns;;;;;;;;;;;1;;270313
drumeo;AC/DC;Crabsody In Blue;;;;;;;;;;;1;;296469
drumeo;AC/DC;Shot In The Dark;;;;;;;;;;;1;;284696
drumeo;AC/DC;Evil Walks;;;;;;;;;;;1;;296489
drumeo;AC/DC;Love Hungry Man;;;;;;;;;;;1;;296521
drumeo;AC/DC;I Put The Finger On You;;;;;;;;;;;1;;296491
drumeo;AC/DC;Night Prowler;;;;;;;;;;;1;;296523
drumeo;AC/DC;Givin' The Dog A Bone;;;;;;;;;;;1;;284686
drumeo;AC/DC;Girls Got Rhythm;;;;;;;;;;;1;;270311
drumeo;AC/DC;Who Made Who;;;;;;;;;;;1;;284698
drumeo;AC/DC;For Those About To Rock (We Salute You);;;;;;;;;;;1;;264249
drumeo;AC/DC;Go Down;;;;;;;;;;;1;;296531
drumeo;AC/DC;Hells Bells;;;;;;;;;;;1;;255148
drumeo;AC/DC;Can I Sit Next To You Girl;;;;;;;;;;;1;;296506
drumeo;AC/DC;Beating Around The Bush;;;;;;;;;;;1;;296517
drumeo;AC/DC;T.N.T.;;;;;;;;;;;1;;264259
drumeo;AC/DC;Let There Be Rock;;;;;;;;;;;1;;275332
drumeo;AC/DC;Dog Eat Dog;;;;;;;;;;;1;;278885
drumeo;Adele;Skyfall;;;;;;;;;;;1;;328146
drumeo;Adele;Rolling In The Deep;;;;;;;;;;;1;;264261
drumeo;Aerosmith;Home Tonight;;;;;;;;;;;1;;284708
drumeo;Aerosmith;What Could Have Been Love;;;;;;;;;;;1;;270317
drumeo;Aerosmith;Back In The Saddle;;;;;;;;;;;1;;278891
drumeo;Aerosmith;Cryin';;;;;;;;;;;1;;270315
drumeo;Aerosmith;Sweet Emotion;;;;;;;;;;;1;;294505
drumeo;Aerosmith;Dude (Looks Like A Lady);;;;;;;;;;;1;;278889
drumeo;Aerosmith;Walk This Way;;;;;;;;;;;1;;28218
drumeo;Aerosmith;Dream On;;;;;;;;;;;1;;260295
drumeo;Aerosmith;I Don't Want To Miss A Thing;;;;;;;;;;;1;;260297
drumeo;Aerosmith;Jaded;;;;;;;;;;;1;;278887
drumeo;Aerosmith;Love In An Elevator;;;;;;;;;;;1;;260301
drumeo;Aerosmith;Get A Grip;;;;;;;;;;;1;;284704
drumeo;Aerosmith;Last Child;;;;;;;;;;;1;;275334
drumeo;Aerosmith;Make It;;;;;;;;;;;1;;284700
drumeo;Aerosmith;Heart's Done Time;;;;;;;;;;;1;;284706
drumeo;Aerosmith;Amazing;;;;;;;;;;;1;;260293
drumeo;Aerosmith;Livin' On The Edge;;;;;;;;;;;1;;260299
drumeo;Aerosmith;Janie's Got A Gun;;;;;;;;;;;1;;270319
drumeo;Aerosmith;Eat The Rich;;;;;;;;;;;1;;284702
drumeo;Air Supply;All Out Of Love;;;;;;;;;;;1;;275336
drumeo;Airbag;Colors;;;;;;;;;;;1;;349668
drumeo;Airbourne;Too Much, Too Young, Too Fast;;;;;;;;;;;1;;275338
drumeo;Airbourne;Diamond In The Rough;;;;;;;;;;;1;;284710
drumeo;Al Jarreau;Spain (I Can Recall);;;;;;;;;;;1;;295630
drumeo;Al Jarreau;Mornin';;;;;;;;;;;1;;295188
drumeo;Alan Jackson;Chattahoochee;;;;;;;;;;;1;;284712
drumeo;Alanis Morissette;Uninvited;;;;;;;;;;;1;;291184
drumeo;Alanis Morissette;Ironic;;;;;;;;;;;1;;322451
drumeo;Alanis Morissette;Forgiven;;;;;;;;;;;1;;291186
drumeo;Albert King;Born Under A Bad Sign;;;;;;;;;;;1;;264263
drumeo;Alessia Cara;Make It To Christmas;;;;;;;;;;;1;;375642
drumeo;Alessia Cara;Here;;;;;;;;;;;1;;275340
drumeo;Alice Cooper;I'm Eighteen;;;;;;;;;;;1;;278893
drumeo;Alice Cooper;Welcome To My Nightmare;;;;;;;;;;;1;;373790
drumeo;Alice Cooper;Poison;;;;;;;;;;;1;;305644
drumeo;Alice Cooper;Hey Stoopid;;;;;;;;;;;1;;373788
drumeo;Alice Cooper;No More Mr. Nice Guy;;;;;;;;;;;1;;291188
drumeo;Alice Cooper;Muscle Of Love;;;;;;;;;;;1;;291190
drumeo;Alice In Chains;Rain When I Die;;;;;;;;;;;1;;359967
drumeo;Alice In Chains;No Excuses;;;;;;;;;;;1;;260304
drumeo;Alice In Chains;Would?;;;;;;;;;;;1;;264265
drumeo;Alice In Chains;Man In The Box;;;;;;;;;;;1;;270321
drumeo;Alice In Chains;Again;;;;;;;;;;;1;;364651
drumeo;Alice In Chains;Them Bones;;;;;;;;;;;1;;284714
drumeo;Alice In Chains;Rooster;;;;;;;;;;;1;;275346
drumeo;Alice In Chains;Down In A Hole;;;;;;;;;;;1;;275344
drumeo;Alice In Chains;Over Now;;;;;;;;;;;1;;328148
drumeo;Alice In Chains;Check My Brain;;;;;;;;;;;1;;373792
drumeo;Alicia Keys;Fallin';;;;;;;;;;;1;;352677
drumeo;Alicia Keys;If I Ain’t Got You;;;;;;;;;;;1;;284716
drumeo;Alien Ant Farm;Smooth Criminal;;;;;;;;;;;1;;302626
drumeo;Alkaline Trio;Private Eye;;;;;;;;;;;1;;349673
drumeo;All Sons & Daughters;Great Are You Lord;;;;;;;;;;;1;;278895
drumeo;All Time Low;Damned If I Do Ya (Damned If I Don't);;;;;;;;;;;1;;373794
drumeo;Alphaville;Forever Young;;;;;;;;;;;1;;270323
drumeo;alt-J;Intro;;;;;;;;;;;1;;375189
drumeo;Amy Winehouse;Rehab;;;;;;;;;;;1;;291192
drumeo;Amy Winehouse;Love Is A Losing Game;;;;;;;;;;;1;;264267
drumeo;Amy Winehouse;You Know I’m No Good;;;;;;;;;;;1;;264269
drumeo;Anberlin;Feel Good Drag;;;;;;;;;;;1;;270325
