Public/Owned	CONTENT_ID	MLC	ISRC	ISWC	TITLE	ARTIST	SMP	UMP	BMG	KOBALT	WCM	ABKCO	AUDIAM	BELIEVE	CONCORD	DMG	DST	HAL	HIPGNOSIS	PEER	RESERVOIR	ROUND HILL	SPIRIT	WIXEN	OTHER	Risk
FALSE	264563	10008D		T0702486267	Killing In The Name	Rage Against The Machine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	Red
FALSE	269470	10008D		T0702486267	Killing in the name	Rage Against The Machine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	Red
FALSE	274659	10008D		T0702486267	Killing In The Name	Rage Against The Machine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	Red
FALSE	287375	10008D		T0702486267	Killing In The Name	Rage Against The Machine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	Red
FALSE	301389	10008D		T0702486267	Killing In The Name	Rage Against The Machine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	Red
FALSE	306575	10008D		T0702486267	Killing In The Name	Rage Against The Machine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	Red
FALSE	329053	10008D		T0702486267	Killing In The Name	Rage Against The Machine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	Red
FALSE	381922	10008D		T0702486267	Killing in the Name	Rage Against the Machine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	Red
FALSE	383307	10008D		T0702486267	Killing in the Name	Rage Against the Machine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	Red
FALSE	394948	10008D		T0702486267	Killing In The Name (Easy Version)	Rage Against The Machine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	Red
FALSE	409070	10008D		T0702486267	Killing In The Name	Rage Against The Machine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	Red
FALSE	284922	1000HZ	USCH38200032	not found	The Only One	Huey Lewis And The News	0	0	0	0	99.98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Red
FALSE	383947	1000OD		T0713585137	Picture	Kid Rock feat. Sheryl Crow	0	0	0	0	95	0	0	0	0	0	0	0	0	0	5	0	0	0	0	Red
FALSE	384041	1000OD		T0713585137	Picture	Kid Rock feat. Sheryl Crow	0	0	0	0	95	0	0	0	0	0	0	0	0	0	5	0	0	0	0	Red
FALSE	404288	1B1OHD			16 Carriages (Full Version)	Beyonce	60	5	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	Red
FALSE	404281	1B1OHD			16 Carriages (Easy Version)	Beyonce	60	5	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	Red
FALSE	379549	1B69ON		T9294783178	10,000 Hours	Dan + Shay / Justin Bieber	0	10	10	0	58	0	0	0	2	0	0	0	0	0	0	0	0	0	20	Red
FALSE	380517	1B69ON		T9294783178	10,000 Hours	Dan + Shay & Justin Bieber	0	10	10	0	58	0	0	0	2	0	0	0	0	0	0	0	0	0	20	Red
FALSE	352007	1C1OA9	USM2C2100307		1000 Names	Phil Wickham	25	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	Red
FALSE	378662	2E6A2H		T0609003180	20 Good Reasons	Thirsty Merc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	Red
FALSE	380004	2E6A2H		T0609003180	20 Good Reasons	Thirsty Merc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	Red
FALSE	391810	2E6A2H		T0609003180	20 Good Reasons	Thirsty Merc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	Red
FALSE	407243	3A3USL	DEKH61400015		Anton Diabelli - Allegretto Op. 39, N. 4	Neal Fitzpatrick	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	Red
FALSE	388928	5C37XH		T3057619208	5 Leaf Clover	Luke Combs	4.17	66.68	0	0	29.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Red
FALSE	242564	6C0JIF		T9312663186	60 and 9	The Simple Black	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	Red
FALSE	384217	7E4D1V		T9275213995	7 Rings	Ariana Grande	0	1.2	7.1	0	1.2	0	0	0	90	0	0.5	0	0	0	0	0	0	0	0	Red
FALSE	362453	7E51VC		T3076332924	777	Silk Sonic	0	33.75	36.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	Red
FALSE	390609	8A487Q	FR96X1736014		84 - '85	Subcarpati	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Red
FALSE	291652	8A5H1Y		T9042863343	867-5309/Jenny	Tommy Tutone	0	0	0	0	68.13	0	0	0	0	0	0	0	0	0	0	0	0	0	31.87	Red
FALSE	270665	908716		T0702899511	Beneath, Between & Behind	Rush	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	Red
FALSE	336850	908716		T0702899511	Beneath, Between, and Behind	Rush	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	Red
FALSE	264589	908892		T0702899566	Best I Can	Rush	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	Red
FALSE	336850	908892		T0702899566	Best I Can	Rush	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	Red
FALSE	306501	912405			Carmina Burana: O Fortuna	The Alexandrov Ensemble	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	Red
FALSE	374877	912405			O Fortuna	Carmina Burana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	Red
FALSE	384303	930739	USMC17346841		Farther Up The Road	Bobby Blue Bland	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	Red
FALSE	379892	951100			Mack The Knife	Bert Brecht / Marc Blitzstein / Kurt Weill	0	0	59.38	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Red
FALSE	336850	973294		T0703546013	Rivendell	Rush	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	Red
