CONTENT_ID	Brand	Lesson Title	Content Type	CMS URL	Permission IDs	Parent Title
212113	drumeo	Behind The Scenes With Kaz Rodriguez	behind-the-scenes	https://admin.musora.com/admin#/content/drumeo/212113	92;94;78;88;89;90	
221434	drumeo	NAMM 2019	behind-the-scenes	https://admin.musora.com/admin#/content/drumeo/221434	92;94;78;88;89;90	
208708	drumeo	VIP Left Hand Boot Camp #4	boot-camps	https://admin.musora.com/admin#/content/drumeo/208708	92;94;78;88;89;90	
267953	pianote	Play Beautiful Chord Patterns With Lisa	boot-camps	https://admin.musora.com/admin#/content/pianote/267953	92;94;78;88;89;90	
190984	drumeo	One Exercise To Help You Sound More Articulate	challenges	https://admin.musora.com/admin#/content/drumeo/190984	92;94;78;88;89;90	
26305	drumeo	Sight Reading Challenge #3	challenges	https://admin.musora.com/admin#/content/drumeo/26305	92;94;78;88;89;90	
281287	drumeo	Learning Songs	coach-stream	https://admin.musora.com/admin#/content/drumeo/281287	92;94;78;88;89;90	
301362	drumeo	The Todd Sucherman Show #23 - Tony Williams	coach-stream	https://admin.musora.com/admin#/content/drumeo/301362	92;94;78;88;89;90	
301378	drumeo	How To Turn Negative Ranting Into Positive Drumming	coach-stream	https://admin.musora.com/admin#/content/drumeo/301378	92;94;78;88;89;90	
292765	drumeo	Rosanna On Steroids	coach-stream	https://admin.musora.com/admin#/content/drumeo/292765	92;94;78;88;89;90	
292742	drumeo	Hand Drumming 101	coach-stream	https://admin.musora.com/admin#/content/drumeo/292742	92;94;78;88;89;90	
292733	drumeo	How To Practice!	coach-stream	https://admin.musora.com/admin#/content/drumeo/292733	92;94;78;88;89;90	
281193	drumeo	Using Drumeo Play-Alongs	coach-stream	https://admin.musora.com/admin#/content/drumeo/281193	92;94;78;88;89;90	
346231	drumeo	Click-A-Dee-Click - How To Feel It Instead of Just Hearing It - Q&A	coach-stream	https://admin.musora.com/admin#/content/drumeo/346231	92;94;78;88;89;90	
319273	drumeo	Live Requests With Domino!	coach-stream	https://admin.musora.com/admin#/content/drumeo/319273	92;94;78;88;89;90	
323256	drumeo	Playing Iconic Songs	coach-stream	https://admin.musora.com/admin#/content/drumeo/323256	92;94;78;88;89;90	
322933	drumeo	The Todd Sucherman Show #44 - Listening Party	coach-stream	https://admin.musora.com/admin#/content/drumeo/322933	92;94;78;88;89;90	
301378	drumeo	How To Turn Negative Ranting Into Positive Drumming	coach-stream	https://admin.musora.com/admin#/content/drumeo/301378	92;94;78;88;89;90	
341988	drumeo	Creating Your Own Pop Grooves & Fills - Q&A	coach-stream	https://admin.musora.com/admin#/content/drumeo/341988	92;94;78;88;89;90	
350625	drumeo	Roast & Review: Episode 2	coach-stream	https://admin.musora.com/admin#/content/drumeo/350625	92;94;78;88;89;90	
319273	drumeo	Live Requests With Domino!	coach-stream	https://admin.musora.com/admin#/content/drumeo/319273	92;94;78;88;89;90	
295419	drumeo	The Difference Between Music Now And Then	coach-stream	https://admin.musora.com/admin#/content/drumeo/295419	92;94;78;88;89;90	
306580	drumeo	Drummers On Instagram You Should Follow	coach-stream	https://admin.musora.com/admin#/content/drumeo/306580	92;94;78;88;89;90	
321077	drumeo	Schack's Q&A Helps To Keep The Drumming Doctor Away!	coach-stream	https://admin.musora.com/admin#/content/drumeo/321077	92;94;78;88;89;90	
350625	drumeo	Roast & Review: Episode 2	coach-stream	https://admin.musora.com/admin#/content/drumeo/350625	92;94;78;88;89;90	
306517	drumeo	The Todd Sucherman Show #34 - Brian Wilson And A Little Luck	coach-stream	https://admin.musora.com/admin#/content/drumeo/306517	92;94;78;88;89;90	
322315	drumeo	The Todd Sucherman Show #39 - Songs In 5	coach-stream	https://admin.musora.com/admin#/content/drumeo/322315	92;94;78;88;89;90	
292742	drumeo	Hand Drumming 101	coach-stream	https://admin.musora.com/admin#/content/drumeo/292742	92;94;78;88;89;90	
306483	drumeo	Domino Performs Live!	coach-stream	https://admin.musora.com/admin#/content/drumeo/306483	92;94;78;88;89;90	
306565	drumeo	Discussing Self Expression	coach-stream	https://admin.musora.com/admin#/content/drumeo/306565	92;94;78;88;89;90	
301386	drumeo	Q&A + Monthly Recap	coach-stream	https://admin.musora.com/admin#/content/drumeo/301386	92;94;78;88;89;90	
349936	drumeo	Hi-Hat - The Most Important Subdividing Instrument - Q&A	coach-stream	https://admin.musora.com/admin#/content/drumeo/349936	92;94;78;88;89;90	
319942	drumeo	Domino's Top 10 Pop Songs for 2021!	coach-stream	https://admin.musora.com/admin#/content/drumeo/319942	92;94;78;88;89;90	
281241	drumeo	Accents Should Have Impact!	coach-stream	https://admin.musora.com/admin#/content/drumeo/281241	92;94;78;88;89;90	
306508	drumeo	Wham, Bam, Flam!	coach-stream	https://admin.musora.com/admin#/content/drumeo/306508	92;94;78;88;89;90	
321076	drumeo	How To Play Your Toms – FAST!	coach-stream	https://admin.musora.com/admin#/content/drumeo/321076	92;94;78;88;89;90	
301389	drumeo	Discussing Musical Influences	coach-stream	https://admin.musora.com/admin#/content/drumeo/301389	92;94;78;88;89;90	
